energy,step_type
-22154.42574812,scf_step
-22154.65977985,scf_step
-22154.60771773,scf_step
-22154.72568069,scf_step
-22154.72943983,scf_step
-22154.73624227,scf_step
-22154.73642983,scf_step
-22154.73643385,scf_step
-22154.73643739,scf_step
-22154.7364411,scf_step
-22154.73644123,BFGS_step
-22154.7365484,scf_step
-22154.73654798,scf_step
-22154.73655225,scf_step
-22154.73655319,BFGS_step
-22154.73665481,scf_step
-22154.73662103,scf_step
-22154.73667048,scf_step
-22154.73667082,scf_step
-22154.73667085,scf_step
-22154.73667085,BFGS_step
-22154.7368432,scf_step
-22154.73684285,scf_step
-22154.73684428,scf_step
-22154.73684456,scf_step
-22154.7368447,scf_step
-22154.73684474,BFGS_step
-22154.73708499,scf_step
-22154.73708405,scf_step
-22154.73708547,scf_step
-22154.73708638,scf_step
-22154.7370866,scf_step
-22154.73708669,scf_step
-22154.73708671,BFGS_step
-22154.73740873,scf_step
-22154.73740928,scf_step
-22154.73740823,scf_step
-22154.73741008,scf_step
-22154.73741042,scf_step
-22154.73741051,BFGS_step
-22154.73780161,scf_step
-22154.7378019,scf_step
-22154.73780014,scf_step
-22154.73780431,scf_step
-22154.73780543,scf_step
-22154.73780567,scf_step
-22154.73780573,BFGS_step
-22154.73818809,scf_step
-22154.73819109,scf_step
-22154.73818512,scf_step
-22154.73819529,scf_step
-22154.73819608,scf_step
-22154.73819667,scf_step
-22154.73819675,scf_step
-22154.73819675,BFGS_step
-22154.73832976,scf_step
-22154.73833669,scf_step
-22154.73833213,scf_step
-22154.73833884,scf_step
-22154.73834384,scf_step
-22154.7383446,scf_step
-22154.7383448,scf_step
-22154.73834481,BFGS_step
-22154.73836034,scf_step
-22154.73836046,scf_step
-22154.73836049,scf_step
-22154.73836054,scf_step
-22154.73836067,scf_step
-22154.73836071,scf_step
-22154.73836071,BFGS_step
-22154.73838304,scf_step
-22154.73838289,scf_step
-22154.73838299,scf_step
-22154.73838322,scf_step
-22154.73838332,scf_step
-22154.73838333,scf_step
-22154.73838334,BFGS_step
-22154.73842642,scf_step
-22154.73842624,scf_step
-22154.73842642,scf_step
-22154.7384268,scf_step
-22154.73842691,scf_step
-22154.73842692,scf_step
-22154.73842693,BFGS_step
-22154.73849279,scf_step
-22154.73849233,scf_step
-22154.73849288,scf_step
-22154.73849381,scf_step
-22154.73849409,scf_step
-22154.73849413,scf_step
-22154.73849416,BFGS_step
-22154.73855725,scf_step
-22154.73855651,scf_step
-22154.73855718,scf_step
-22154.73855924,scf_step
-22154.73855983,scf_step
-22154.73855993,scf_step
-22154.73855998,BFGS_step
-22154.7385957,scf_step
-22154.73859516,scf_step
-22154.73859506,scf_step
-22154.73859782,scf_step
-22154.73859861,scf_step
-22154.73859878,scf_step
-22154.73859879,BFGS_step
-22154.73861675,scf_step
-22154.73861688,scf_step
-22154.73861635,scf_step
-22154.73861784,scf_step
-22154.73861833,scf_step
-22154.7386184,scf_step
-22154.73861842,BFGS_step
-22154.73863818,scf_step
-22154.738638,scf_step
-22154.73863829,scf_step
-22154.73863846,scf_step
-22154.73863863,scf_step
-22154.73863863,BFGS_step
-22154.73865589,scf_step
-22154.73865596,scf_step
-22154.73865617,scf_step
-22154.73865622,scf_step
-22154.7386563,scf_step
-22154.73865631,scf_step
-22154.73865631,BFGS_step
-22154.73866709,scf_step
-22154.73866707,scf_step
-22154.73866729,scf_step
-22154.73866736,scf_step
-22154.73866745,scf_step
-22154.73866746,scf_step
-22154.73866746,BFGS_step
-22154.73867828,scf_step
-22154.73867794,scf_step
-22154.73867841,scf_step
-22154.73867857,scf_step
-22154.7386786,scf_step
-22154.73867862,scf_step
-22154.73867862,BFGS_step
-22154.73868236,scf_step
-22154.73868222,scf_step
-22154.73868242,scf_step
-22154.73868248,scf_step
-22154.7386825,scf_step
-22154.7386825,scf_step
-22154.7386825,BFGS_step
