energy,step_type
-22154.19617536,scf_step
-22154.45550481,scf_step
-22154.42574595,scf_step
-22154.48588864,scf_step
-22154.49074043,scf_step
-22154.49134618,scf_step
-22154.49150809,scf_step
-22154.49157728,scf_step
-22154.49158136,scf_step
-22154.49158381,scf_step
-22154.49158438,scf_step
-22154.49158467,BFGS_step
-22154.49189025,scf_step
-22154.49189055,scf_step
-22154.49189165,scf_step
-22154.49190113,scf_step
-22154.49190487,scf_step
-22154.49190618,scf_step
-22154.49190644,scf_step
-22154.49190648,scf_step
-22154.49190649,BFGS_step
-22154.49221607,scf_step
-22154.4922251,scf_step
-22154.49222258,scf_step
-22154.4922276,scf_step
-22154.49223294,scf_step
-22154.49223329,scf_step
-22154.49223344,scf_step
-22154.49223345,BFGS_step
-22154.49282203,scf_step
-22154.49284299,scf_step
-22154.49284911,scf_step
-22154.49285369,scf_step
-22154.49285552,scf_step
-22154.49285728,scf_step
-22154.49285799,scf_step
-22154.49285801,scf_step
-22154.49285806,BFGS_step
-22154.49394389,scf_step
-22154.4939608,scf_step
-22154.49390694,scf_step
-22154.49399512,scf_step
-22154.49400983,scf_step
-22154.49401594,scf_step
-22154.49401726,scf_step
-22154.49401737,scf_step
-22154.49401753,BFGS_step
-22154.49526876,scf_step
-22154.4952566,scf_step
-22154.49514418,scf_step
-22154.49534243,scf_step
-22154.49535017,scf_step
-22154.49535624,scf_step
-22154.49535706,scf_step
-22154.49535723,scf_step
-22154.49535739,scf_step
-22154.49535741,BFGS_step
-22154.49599334,scf_step
-22154.49598532,scf_step
-22154.49598893,scf_step
-22154.4960034,scf_step
-22154.4960058,scf_step
-22154.49600672,scf_step
-22154.49600693,scf_step
-22154.49600695,scf_step
-22154.49600697,BFGS_step
-22154.49627398,scf_step
-22154.49627847,scf_step
-22154.49627832,scf_step
-22154.49629192,scf_step
-22154.49629385,scf_step
-22154.49629474,scf_step
-22154.49629516,scf_step
-22154.49629518,scf_step
-22154.4962952,BFGS_step
-22154.49637525,scf_step
-22154.49637692,scf_step
-22154.49637647,scf_step
-22154.4963779,scf_step
-22154.49637843,scf_step
-22154.49637858,scf_step
-22154.49637865,BFGS_step
-22154.4965427,scf_step
-22154.49654384,scf_step
-22154.49654514,scf_step
-22154.49654606,scf_step
-22154.49654654,scf_step
-22154.4965471,scf_step
-22154.49654718,scf_step
-22154.49654719,BFGS_step
-22154.49682351,scf_step
-22154.49682512,scf_step
-22154.49682328,scf_step
-22154.49682777,scf_step
-22154.49683021,scf_step
-22154.49683076,scf_step
-22154.49683085,scf_step
-22154.49683087,scf_step
-22154.49683088,BFGS_step
-22154.49725809,scf_step
-22154.49725761,scf_step
-22154.49724368,scf_step
-22154.49726317,scf_step
-22154.4972652,scf_step
-22154.49726578,scf_step
-22154.49726588,scf_step
-22154.4972659,scf_step
-22154.4972659,BFGS_step
-22154.49783066,scf_step
-22154.49782313,scf_step
-22154.49778458,scf_step
-22154.49783779,scf_step
-22154.49784676,scf_step
-22154.49784822,scf_step
-22154.49784841,scf_step
-22154.49784846,scf_step
-22154.49784848,BFGS_step
-22154.49846814,scf_step
-22154.49844929,scf_step
-22154.49832977,scf_step
-22154.49850087,scf_step
-22154.49851213,scf_step
-22154.49851391,scf_step
-22154.49851461,scf_step
-22154.49851473,scf_step
