,index,energy,energy_error,gradient_error
0,0,-22331.5336679,0.0,0.0033
1,1,-22331.53369161,2.4e-05,0.0046
2,2,-22331.5337321,4e-05,0.0025
3,3,-22331.53376488,3.3e-05,0.0022
4,4,-22331.53380485,4e-05,0.0028
5,5,-22331.53385218,4.7e-05,0.0034
6,6,-22331.53390667,5.4e-05,0.0032
7,7,-22331.53396676,6e-05,0.0029
8,8,-22331.53403775,7.1e-05,0.0026
9,9,-22331.53411642,7.9e-05,0.0025
10,10,-22331.5341889,7.2e-05,0.0022
11,11,-22331.5343111,0.00012,0.0023
12,12,-22331.53445317,0.00014,0.0028
13,13,-22331.53457071,0.00012,0.0036
14,14,-22331.534693,0.00012,0.0051
15,15,-22331.53487116,0.00018,0.005
16,16,-22331.53515365,0.00028,0.0036
17,17,-22331.53539203,0.00024,0.0047
18,18,-22331.53551398,0.00012,0.0059
19,19,-22331.53565882,0.00014,0.0035
20,20,-22331.53583366,0.00017,0.0077
21,21,-22331.5359774,0.00014,0.0054
22,22,-22331.53609872,0.00012,0.0024
23,23,-22331.53619558,9.7e-05,0.0028
24,24,-22331.53629293,9.7e-05,0.0042
25,25,-22331.53637144,7.9e-05,0.0036
26,26,-22331.53650842,0.00014,0.0036
27,27,-22331.53666595,0.00016,0.0042
28,28,-22331.53684957,0.00018,0.0047
29,29,-22331.53697829,0.00013,0.0026
30,30,-22331.53711606,0.00014,0.0026
31,31,-22331.53729247,0.00018,0.0034
32,32,-22331.53749705,0.0002,0.0053
33,33,-22331.5377318,0.00023,0.01
34,34,-22331.53810793,0.00038,0.0048
35,35,-22331.53834816,0.00024,0.0043
36,36,-22331.53867115,0.00032,0.0047
37,37,-22331.53908091,0.00041,0.0068
38,38,-22331.53955117,0.00047,0.0078
39,39,-22331.53994132,0.00039,0.0077
40,40,-22331.54047071,0.00053,0.0059
41,41,-22331.54079811,0.00033,0.0039
42,42,-22331.54108277,0.00028,0.0031
43,43,-22331.5413207,0.00024,0.004
44,44,-22331.5414894,0.00017,0.0046
45,45,-22331.54167204,0.00018,0.0036
46,46,-22331.54181601,0.00014,0.0037
47,0,-22331.54195747,0.00014,0.0036
48,1,-22331.54209694,0.00014,0.005
49,2,-22331.54225286,0.00016,0.0053
50,3,-22331.54243162,0.00018,0.006
51,4,-22331.54258219,0.00015,0.0041
52,5,-22331.54269527,0.00011,0.0041
53,6,-22331.54283097,0.00014,0.0044
54,7,-22331.5429385,0.00011,0.0043
55,8,-22331.54301624,7.8e-05,0.0036
56,9,-22331.5431455,0.00013,0.0037
57,10,-22331.54328342,0.00014,0.0036
58,11,-22331.54339389,0.00011,0.0048
59,12,-22331.5435084,0.00011,0.0049
60,13,-22331.54366716,0.00016,0.0041
61,14,-22331.54383231,0.00017,0.0026
62,15,-22331.54401498,0.00018,0.0027
63,16,-22331.54417821,0.00016,0.0044
64,17,-22331.54438845,0.00021,0.0058
65,18,-22331.54456966,0.00018,0.0059
66,19,-22331.5447801,0.00021,0.006
67,20,-22331.54500312,0.00022,0.0051
68,21,-22331.54524491,0.00024,0.0034
69,22,-22331.54548435,0.00024,0.0027
70,23,-22331.54561878,0.00013,0.0038
71,24,-22331.54573252,0.00011,0.0025
72,25,-22331.5458509,0.00012,0.0026
73,26,-22331.54593177,8.1e-05,0.0026
74,27,-22331.54602713,9.5e-05,0.0025
75,28,-22331.54614844,0.00012,0.0024
76,29,-22331.54629274,0.00014,0.002
77,30,-22331.54653342,0.00024,0.0046
78,31,-22331.54663176,9.8e-05,0.0024
79,32,-22331.54678208,0.00015,0.0028
80,33,-22331.54701814,0.00024,0.005
81,34,-22331.54735138,0.00033,0.0025
82,35,-22331.54754968,0.0002,0.0072
83,36,-22331.54781525,0.00027,0.003
84,37,-22331.54796692,0.00015,0.0037
85,38,-22331.54815843,0.00019,0.0018
86,39,-22331.54830986,0.00015,0.0023
87,40,-22331.54843767,0.00013,0.0033
88,41,-22331.54852465,8.7e-05,0.0025
89,42,-22331.54864047,0.00012,0.0024
90,43,-22331.54877814,0.00014,0.0039
91,44,-22331.54884217,6.4e-05,0.0024
92,45,-22331.5490281,0.00019,0.0035
93,46,-22331.54916379,0.00014,0.0029
94,47,-22331.5492993,0.00014,0.0034
95,48,-22331.54941723,0.00012,0.0026
96,49,-22331.54950363,8.6e-05,0.0036
97,50,-22331.54965455,0.00015,0.0043
98,51,-22331.54987201,0.00022,0.0035
99,52,-22331.55006078,0.00019,0.0032
100,53,-22331.55024161,0.00018,0.0023
101,54,-22331.55039898,0.00016,0.0022
102,55,-22331.55054714,0.00015,0.0027
103,0,-22331.55070679,0.0,0.0037
104,1,-22331.55072025,1.3e-05,0.012
105,2,-22331.55080751,8.7e-05,0.005
106,3,-22331.55088272,7.5e-05,0.0051
107,4,-22331.55094514,6.2e-05,0.0039
108,5,-22331.5509898,4.5e-05,0.0019
109,6,-22331.55103745,4.8e-05,0.0025
110,7,-22331.55108184,4.4e-05,0.0033
111,8,-22331.55112509,4.3e-05,0.0033
112,9,-22331.5511784,5.3e-05,0.002
113,10,-22331.55123799,6e-05,0.0017
114,11,-22331.55128775,5e-05,0.0023
115,12,-22331.55135166,6.4e-05,0.0025
116,13,-22331.55138977,3.8e-05,0.0017
117,14,-22331.55141248,2.3e-05,0.0015
118,15,-22331.55145437,4.2e-05,0.0012
119,16,-22331.55149489,4.1e-05,0.0022
120,17,-22331.55155064,5.6e-05,0.0027
121,18,-22331.55160536,5.5e-05,0.0023
122,19,-22331.55167372,6.8e-05,0.002
123,20,-22331.5517711,9.7e-05,0.0024
124,21,-22331.55186854,9.7e-05,0.0031
125,22,-22331.5520156,0.00015,0.0032
126,23,-22331.55210339,8.8e-05,0.0022
127,24,-22331.55218141,7.8e-05,0.002
128,25,-22331.55231376,0.00013,0.0026
129,26,-22331.55243524,0.00012,0.0034
130,27,-22331.55252395,8.9e-05,0.0038
131,28,-22331.55263968,0.00012,0.0039
132,29,-22331.55284635,0.00021,0.0032
133,30,-22331.55303517,0.00019,0.0029
134,31,-22331.55321146,0.00018,0.0036
135,32,-22331.55349145,0.00028,0.0049
136,33,-22331.55376872,0.00028,0.0054
137,34,-22331.55421686,0.00045,0.0044
138,35,-22331.55452045,0.0003,0.0047
139,36,-22331.5549045,0.00038,0.0044
140,37,-22331.55541529,0.00051,0.0036
141,38,-22331.55582375,0.00041,0.0044
142,39,-22331.55622788,0.0004,0.0043
143,40,-22331.55664344,0.00042,0.0044
144,41,-22331.55715864,0.00052,0.0042
145,42,-22331.55766852,0.00051,0.0034
146,43,-22331.55810619,0.00044,0.0052
147,44,-22331.5585027,0.0004,0.0049
148,45,-22331.55877864,0.00028,0.0047
149,46,-22331.55958464,0.00081,0.0047
150,47,-22331.55990339,0.00032,0.0042
151,48,-22331.56010579,0.0002,0.0039
152,49,-22331.56032575,0.00022,0.0035
153,50,-22331.56090676,0.00058,0.0038
154,51,-22331.56124811,0.00034,0.0059
155,52,-22331.56159599,0.00035,0.0054
156,53,-22331.56197178,0.00038,0.0041
157,54,-22331.56221825,0.00025,0.0036
158,55,-22331.56248027,0.00026,0.004
159,56,-22331.56263174,0.00015,0.0046
160,0,-22331.56288007,0.0,0.0048
161,1,-22331.56297259,9.3e-05,0.0032
162,2,-22331.56306541,9.3e-05,0.0036
163,3,-22331.56318728,0.00012,0.0024
164,4,-22331.56332669,0.00014,0.0034
165,5,-22331.5634521,0.00013,0.0037
166,6,-22331.56357397,0.00012,0.004
167,7,-22331.56372003,0.00015,0.0031
168,8,-22331.56387464,0.00015,0.0022
169,9,-22331.56411695,0.00024,0.0038
170,10,-22331.56432213,0.00021,0.0057
171,11,-22331.5645652,0.00024,0.0043
172,12,-22331.56486158,0.0003,0.0031
173,13,-22331.56504711,0.00019,0.0042
174,14,-22331.56517622,0.00013,0.0044
175,15,-22331.56540809,0.00023,0.0043
176,16,-22331.56564584,0.00024,0.0045
177,17,-22331.56591022,0.00026,0.004
178,18,-22331.56619864,0.00029,0.0038
179,19,-22331.56652928,0.00033,0.0045
180,20,-22331.56686977,0.00034,0.0051
181,21,-22331.56716321,0.00029,0.005
182,22,-22331.5675629,0.0004,0.0044
183,23,-22331.56796137,0.0004,0.0055
184,24,-22331.56824562,0.00028,0.0063
185,25,-22331.56845407,0.00021,0.0052
186,26,-22331.56871074,0.00026,0.0057
187,27,-22331.56904913,0.00034,0.0055
188,28,-22331.56926982,0.00022,0.005
189,29,-22331.56951502,0.00025,0.0034
190,30,-22331.56968256,0.00017,0.003
191,31,-22331.56985835,0.00018,0.0031
192,32,-22331.57002544,0.00017,0.0039
193,33,-22331.57024325,0.00022,0.0046
194,34,-22331.57044562,0.0002,0.0036
195,35,-22331.57061711,0.00017,0.0044
196,36,-22331.57077033,0.00015,0.0035
197,37,-22331.57097543,0.00021,0.0029
198,38,-22331.57110985,0.00013,0.003
199,39,-22331.57125147,0.00014,0.003
200,40,-22331.57140572,0.00015,0.0027
201,41,-22331.571592,0.00019,0.0032
202,42,-22331.57176952,0.00018,0.0033
203,43,-22331.57194198,0.00017,0.0034
204,44,-22331.57212497,0.00018,0.0024
205,45,-22331.57227214,0.00015,0.0025
206,46,-22331.57237581,0.0001,0.0018
207,47,-22331.57246875,9.3e-05,0.0024
208,48,-22331.57259665,0.00013,0.0034
209,49,-22331.57275557,0.00016,0.0036
210,50,-22331.57293382,0.00018,0.0031
211,51,-22331.57310382,0.00017,0.0025
212,52,-22331.57322802,0.00012,0.0031
213,53,-22331.57341887,0.00019,0.0038
214,54,-22331.5736312,0.00021,0.0036
215,55,-22331.57380975,0.00018,0.0026
216,56,-22331.57398307,0.00017,0.0025
217,57,-22331.5741091,0.00013,0.0027
218,58,-22331.57418495,7.6e-05,0.0023
219,59,-22331.57427837,9.3e-05,0.0018
220,60,-22331.57435082,7.2e-05,0.0017
221,61,-22331.57442378,7.3e-05,0.0013
222,62,-22331.57447539,5.2e-05,0.0012
223,63,-22331.57453823,6.3e-05,0.0015
224,64,-22331.57459052,5.2e-05,0.0014
225,65,-22331.57464944,5.9e-05,0.0014
226,66,-22331.57470828,5.9e-05,0.0017
227,67,-22331.57474941,4.1e-05,0.0015
228,68,-22331.5748058,5.6e-05,0.001
229,69,-22331.57483984,3.4e-05,0.0011
230,70,-22331.57488781,4.8e-05,0.0012
231,71,-22331.57492984,4.2e-05,0.0013
232,72,-22331.57497127,4.1e-05,0.0016
233,73,-22331.57501377,4.2e-05,0.0014
234,74,-22331.57510113,8.7e-05,0.0015
235,75,-22331.57513324,3.2e-05,0.0012
236,76,-22331.57516377,3.1e-05,0.0014
237,77,-22331.57520395,4e-05,0.0017
238,78,-22331.57524583,4.2e-05,0.0017
239,79,-22331.5752726,2.7e-05,0.0017
240,80,-22331.57531537,4.3e-05,0.0016
241,81,-22331.57536336,4.8e-05,0.0017
242,82,-22331.57542144,5.8e-05,0.0019
243,83,-22331.57548848,6.7e-05,0.0021
244,84,-22331.57554836,6e-05,0.0023
245,85,-22331.57563092,8.3e-05,0.0024
246,86,-22331.5757796,0.00015,0.0024
247,87,-22331.57596752,0.00019,0.0032
248,88,-22331.57612063,0.00015,0.0058
249,89,-22331.57616954,4.9e-05,0.0098
