energy,step_type
-22326.39268147,scf_step
-22309.44532409,scf_step
-22330.51721694,scf_step
-22331.206381,scf_step
-22331.54921685,scf_step
-22331.54892408,scf_step
-22331.550987,scf_step
-22331.54883039,scf_step
-22331.54631101,scf_step
-22331.54218216,scf_step
-22331.53044621,scf_step
-22331.53359023,scf_step
-22331.53365408,scf_step
-22331.53366375,scf_step
-22331.53366382,scf_step
-22331.53366773,scf_step
-22331.5336679,BFGS_step
-22331.5336691,scf_step
-22331.53364659,scf_step
-22331.5336874,scf_step
-22331.5336913,scf_step
-22331.53369161,BFGS_step
-22331.53372969,scf_step
-22331.53372996,scf_step
-22331.53373065,scf_step
-22331.53373149,scf_step
-22331.53373205,scf_step
-22331.53373209,scf_step
-22331.5337321,BFGS_step
-22331.53376389,scf_step
-22331.53376425,scf_step
-22331.53376385,scf_step
-22331.53376472,scf_step
-22331.53376488,scf_step
-22331.53376488,BFGS_step
-22331.53380341,scf_step
-22331.53380356,scf_step
-22331.53380265,scf_step
-22331.53380455,scf_step
-22331.53380482,scf_step
-22331.53380485,scf_step
-22331.53380485,BFGS_step
-22331.53384924,scf_step
-22331.53385012,scf_step
-22331.53384894,scf_step
-22331.53385134,scf_step
-22331.5338521,scf_step
-22331.53385217,scf_step
-22331.53385218,BFGS_step
-22331.53390207,scf_step
-22331.53390373,scf_step
-22331.53390047,scf_step
-22331.53390549,scf_step
-22331.53390655,scf_step
-22331.53390666,scf_step
-22331.53390667,BFGS_step
-22331.53395768,scf_step
-22331.5339604,scf_step
-22331.53395082,scf_step
-22331.53396538,scf_step
-22331.53396645,scf_step
-22331.53396673,scf_step
-22331.53396676,BFGS_step
-22331.53401868,scf_step
-22331.53402513,scf_step
-22331.53400695,scf_step
-22331.53403359,scf_step
-22331.53403703,scf_step
-22331.53403763,scf_step
-22331.53403775,scf_step
-22331.53403775,BFGS_step
-22331.53411149,scf_step
-22331.53411255,scf_step
-22331.53411004,scf_step
-22331.53411393,scf_step
-22331.53411633,scf_step
-22331.53411642,scf_step
-22331.53411642,BFGS_step
-22331.53418354,scf_step
-22331.53418599,scf_step
-22331.53418289,scf_step
-22331.53418692,scf_step
-22331.53418868,scf_step
-22331.53418887,scf_step
-22331.5341889,scf_step
-22331.5341889,BFGS_step
-22331.53429606,scf_step
-22331.53430203,scf_step
-22331.53429217,scf_step
-22331.53430552,scf_step
-22331.53431054,scf_step
-22331.534311,scf_step
-22331.5343111,scf_step
-22331.5343111,BFGS_step
-22331.53442011,scf_step
-22331.53443409,scf_step
-22331.53441094,scf_step
-22331.53444188,scf_step
-22331.53445198,scf_step
-22331.53445295,scf_step
-22331.53445314,scf_step
-22331.53445316,scf_step
-22331.53445317,BFGS_step
-22331.53449817,scf_step
-22331.53452532,scf_step
-22331.53446358,scf_step
-22331.53455034,scf_step
-22331.53456795,scf_step
-22331.53457007,scf_step
-22331.53457061,scf_step
-22331.53457069,scf_step
-22331.53457071,BFGS_step
-22331.53456106,scf_step
-22331.53461123,scf_step
-22331.53450345,scf_step
-22331.5346551,scf_step
-22331.53468794,scf_step
-22331.53469182,scf_step
-22331.53469281,scf_step
-22331.53469297,scf_step
-22331.534693,BFGS_step
-22331.53468389,scf_step
-22331.53475984,scf_step
-22331.53461663,scf_step
-22331.53481306,scf_step
-22331.53486383,scf_step
-22331.53486943,scf_step
-22331.53487092,scf_step
-22331.53487113,scf_step
-22331.53487116,BFGS_step
-22331.5349406,scf_step
-22331.53501968,scf_step
-22331.53484687,scf_step
-22331.53509375,scf_step
-22331.53514514,scf_step
-22331.5351518,scf_step
-22331.53515336,scf_step
-22331.53515362,scf_step
-22331.53515365,BFGS_step
-22331.53533855,scf_step
-22331.53535827,scf_step
-22331.53531745,scf_step
