energy,energy_error,gradient_error
-22331.54195747,0.00014,0.0036
-22331.54209694,0.00014,0.005
-22331.54225286,0.00016,0.0053
-22331.54243162,0.00018,0.006
-22331.54258219,0.00015,0.0041
-22331.54269527,0.00011,0.0041
-22331.54283097,0.00014,0.0044
-22331.5429385,0.00011,0.0043
-22331.54301624,7.8e-05,0.0036
-22331.5431455,0.00013,0.0037
-22331.54328342,0.00014,0.0036
-22331.54339389,0.00011,0.0048
-22331.5435084,0.00011,0.0049
-22331.54366716,0.00016,0.0041
-22331.54383231,0.00017,0.0026
-22331.54401498,0.00018,0.0027
-22331.54417821,0.00016,0.0044
-22331.54438845,0.00021,0.0058
-22331.54456966,0.00018,0.0059
-22331.5447801,0.00021,0.006
-22331.54500312,0.00022,0.0051
-22331.54524491,0.00024,0.0034
-22331.54548435,0.00024,0.0027
-22331.54561878,0.00013,0.0038
-22331.54573252,0.00011,0.0025
-22331.5458509,0.00012,0.0026
-22331.54593177,8.1e-05,0.0026
-22331.54602713,9.5e-05,0.0025
-22331.54614844,0.00012,0.0024
-22331.54629274,0.00014,0.002
-22331.54653342,0.00024,0.0046
-22331.54663176,9.8e-05,0.0024
-22331.54678208,0.00015,0.0028
-22331.54701814,0.00024,0.005
-22331.54735138,0.00033,0.0025
-22331.54754968,0.0002,0.0072
-22331.54781525,0.00027,0.003
-22331.54796692,0.00015,0.0037
-22331.54815843,0.00019,0.0018
-22331.54830986,0.00015,0.0023
-22331.54843767,0.00013,0.0033
-22331.54852465,8.7e-05,0.0025
-22331.54864047,0.00012,0.0024
-22331.54877814,0.00014,0.0039
-22331.54884217,6.4e-05,0.0024
-22331.5490281,0.00019,0.0035
-22331.54916379,0.00014,0.0029
-22331.5492993,0.00014,0.0034
-22331.54941723,0.00012,0.0026
-22331.54950363,8.6e-05,0.0036
-22331.54965455,0.00015,0.0043
-22331.54987201,0.00022,0.0035
-22331.55006078,0.00019,0.0032
-22331.55024161,0.00018,0.0023
-22331.55039898,0.00016,0.0022
-22331.55054714,0.00015,0.0027
