,index,energy,energy_error,gradient_error
0,0,-22331.55927512,0.0,0.0073
1,1,-22331.55927508,4e-08,0.013
2,2,-22331.55933577,6.1e-05,0.005
3,3,-22331.55936765,3.2e-05,0.01
4,4,-22331.55953492,0.00017,0.0035
5,5,-22331.55965918,0.00012,0.0047
6,6,-22331.55980663,0.00015,0.0062
7,7,-22331.56000069,0.00019,0.007
8,8,-22331.56023291,0.00023,0.0074
9,9,-22331.56051132,0.00028,0.0071
10,10,-22331.56077519,0.00026,0.0065
11,11,-22331.56113808,0.00036,0.0051
12,12,-22331.56149806,0.00036,0.0047
13,13,-22331.56174206,0.00024,0.0062
14,14,-22331.56221007,0.00047,0.0094
15,15,-22331.56261708,0.00041,0.0082
16,16,-22331.56290009,0.00028,0.0035
17,17,-22331.56314521,0.00025,0.0038
18,18,-22331.56337341,0.00023,0.0045
19,19,-22331.56363007,0.00026,0.0052
20,20,-22331.56384363,0.00021,0.0054
21,21,-22331.56406192,0.00022,0.0038
22,22,-22331.56439735,0.00034,0.0049
23,23,-22331.56471008,0.00031,0.0057
24,24,-22331.56489956,0.00019,0.0057
25,25,-22331.56506891,0.00017,0.0033
26,26,-22331.56525813,0.00019,0.004
27,27,-22331.56547099,0.00021,0.0059
28,28,-22331.56582402,0.00035,0.0077
29,29,-22331.56619165,0.00037,0.0081
30,30,-22331.56662955,0.00044,0.0087
31,31,-22331.5670498,0.00042,0.0085
32,32,-22331.56752918,0.00048,0.007
33,33,-22331.56799467,0.00047,0.0044
34,34,-22331.56854315,0.00055,0.0043
35,35,-22331.56896779,0.00042,0.0067
36,36,-22331.56938432,0.00042,0.0085
37,37,-22331.56983497,0.00045,0.0078
38,38,-22331.57033226,0.0005,0.004
39,39,-22331.57058725,0.00025,0.004
40,40,-22331.57089371,0.00031,0.0039
41,41,-22331.57121604,0.00032,0.0045
42,42,-22331.57138984,0.00017,0.0045
43,43,-22331.57155743,0.00017,0.0036
44,44,-22331.57180835,0.00025,0.0021
45,45,-22331.57196713,0.00016,0.0024
46,46,-22331.57210781,0.00014,0.0026
47,47,-22331.57221921,0.00011,0.0032
48,48,-22331.57233785,0.00012,0.0032
49,49,-22331.57241176,7.4e-05,0.0025
50,50,-22331.57251042,9.9e-05,0.0031
51,51,-22331.57262165,0.00011,0.0036
52,52,-22331.57272108,9.9e-05,0.0023
53,53,-22331.57281459,9.4e-05,0.0016
54,54,-22331.57285427,4e-05,0.0023
55,55,-22331.57291876,6.4e-05,0.0022
56,56,-22331.57297442,5.6e-05,0.0014
57,57,-22331.57303432,6e-05,0.0016
58,58,-22331.57306877,3.4e-05,0.002
59,59,-22331.57311084,4.2e-05,0.002
60,60,-22331.57316941,5.9e-05,0.0021
61,61,-22331.57324617,7.7e-05,0.0022
62,62,-22331.57331962,7.3e-05,0.0022
63,63,-22331.57339357,7.4e-05,0.0023
64,64,-22331.57345747,6.4e-05,0.0026
65,65,-22331.5735421,8.5e-05,0.0024
66,66,-22331.5736404,9.8e-05,0.0017
67,67,-22331.57374623,0.00011,0.0029
68,68,-22331.57385902,0.00011,0.0028
69,69,-22331.57400288,0.00014,0.0027
70,70,-22331.57418747,0.00018,0.0037
71,71,-22331.57430351,0.00012,0.0027
72,0,-22331.57444368,0.00014,0.0031
73,1,-22331.57460962,0.00017,0.0042
74,2,-22331.57485582,0.00025,0.0041
75,3,-22331.57514449,0.00029,0.0043
76,4,-22331.57525132,0.00011,0.0097
77,5,-22331.57555468,0.0003,0.0064
78,6,-22331.57575689,0.0002,0.0028
79,7,-22331.57589072,0.00013,0.002
80,8,-22331.57601494,0.00012,0.0022
81,9,-22331.5760913,7.6e-05,0.0027
82,10,-22331.57615629,6.5e-05,0.0025
83,11,-22331.57620705,5.1e-05,0.0023
84,12,-22331.57627062,6.4e-05,0.0013
85,13,-22331.57632876,5.8e-05,0.0018
86,14,-22331.57637516,4.6e-05,0.0016
87,15,-22331.57643675,6.2e-05,0.0015
88,16,-22331.57648765,5.1e-05,0.0019
89,17,-22331.57651223,2.5e-05,0.0015
90,18,-22331.57653839,2.6e-05,0.0018
91,19,-22331.57657395,3.6e-05,0.0015
92,20,-22331.57660756,3.4e-05,0.0013
93,21,-22331.57664141,3.4e-05,0.0013
94,22,-22331.57666162,2e-05,0.00082
95,23,-22331.57668427,2.3e-05,0.00077
96,24,-22331.57670351,1.9e-05,0.00094
97,25,-22331.57672034,1.7e-05,0.00098
98,26,-22331.57673432,1.4e-05,0.00069
99,27,-22331.57675087,1.7e-05,0.00068
100,28,-22331.57676805,1.7e-05,0.00099
101,29,-22331.57678293,1.5e-05,0.0011
102,30,-22331.57679456,1.2e-05,0.00078
103,31,-22331.57680483,1e-05,0.00064
104,32,-22331.57681253,7.7e-06,0.00062
105,33,-22331.57681942,6.9e-06,0.00067
106,34,-22331.57682667,7.2e-06,0.00074
107,0,-22331.57683276,1.9e-06,0.00067
108,1,-22331.57683465,4.4e-06,0.00051
109,2,-22331.57683905,4.4e-06,0.00056
110,3,-22331.5768453,6.3e-06,0.00044
