energy,step_type
-22326.84805831,scf_step
-22312.56993904,scf_step
-22330.09962876,scf_step
-22331.39424333,scf_step
-22331.5686819,scf_step
-22331.56730852,scf_step
-22331.56906255,scf_step
-22331.56753549,scf_step
-22331.56557746,scf_step
-22331.56312342,scf_step
-22331.55749761,scf_step
-22331.55924418,scf_step
-22331.5592665,scf_step
-22331.5592685,scf_step
-22331.55927167,scf_step
-22331.55927519,scf_step
-22331.55927512,BFGS_step
-22331.55924082,scf_step
-22331.55924895,scf_step
-22331.55925616,scf_step
-22331.55926785,scf_step
-22331.55927438,scf_step
-22331.55927508,BFGS_step
-22331.55932944,scf_step
-22331.55933152,scf_step
-22331.5593323,scf_step
-22331.55933374,scf_step
-22331.55933561,scf_step
-22331.55933577,BFGS_step
-22331.55935567,scf_step
-22331.55936371,scf_step
-22331.559366,scf_step
-22331.55936534,scf_step
-22331.55936742,scf_step
-22331.55936763,scf_step
-22331.55936765,BFGS_step
-22331.55952851,scf_step
-22331.55953061,scf_step
-22331.55952633,scf_step
-22331.55953427,scf_step
-22331.55953477,scf_step
-22331.55953489,scf_step
-22331.55953492,BFGS_step
-22331.55965431,scf_step
-22331.55965628,scf_step
-22331.55965284,scf_step
-22331.55965841,scf_step
-22331.55965908,scf_step
-22331.55965918,scf_step
-22331.55965918,BFGS_step
-22331.55979692,scf_step
-22331.55980065,scf_step
-22331.55979303,scf_step
-22331.55980538,scf_step
-22331.55980641,scf_step
-22331.55980661,scf_step
-22331.55980663,BFGS_step
-22331.55998082,scf_step
-22331.55998886,scf_step
-22331.55997282,scf_step
-22331.55999802,scf_step
-22331.56000032,scf_step
-22331.56000068,scf_step
-22331.56000069,BFGS_step
-22331.56018725,scf_step
-22331.56020715,scf_step
-22331.56017615,scf_step
-22331.56022475,scf_step
-22331.56023198,scf_step
-22331.5602327,scf_step
-22331.56023287,scf_step
-22331.56023291,BFGS_step
-22331.56045789,scf_step
-22331.56048367,scf_step
-22331.56045553,scf_step
-22331.56049854,scf_step
-22331.56051055,scf_step
-22331.56051118,scf_step
-22331.56051132,scf_step
-22331.56051132,BFGS_step
-22331.56071063,scf_step
-22331.56074535,scf_step
-22331.56071144,scf_step
-22331.56076132,scf_step
-22331.56077414,scf_step
-22331.56077502,scf_step
-22331.56077518,scf_step
-22331.56077519,BFGS_step
-22331.5609757,scf_step
-22331.56106707,scf_step
-22331.56099886,scf_step
-22331.56109787,scf_step
-22331.56113505,scf_step
-22331.56113719,scf_step
-22331.56113792,scf_step
-22331.56113806,scf_step
-22331.56113808,BFGS_step
-22331.56111017,scf_step
-22331.56135349,scf_step
-22331.56120561,scf_step
-22331.56140775,scf_step
-22331.56149019,scf_step
-22331.56149638,scf_step
-22331.56149776,scf_step
-22331.56149803,scf_step
-22331.56149806,BFGS_step
-22331.56162327,scf_step
-22331.56170189,scf_step
-22331.56166525,scf_step
-22331.56171451,scf_step
-22331.56173939,scf_step
-22331.56174138,scf_step
-22331.56174197,scf_step
-22331.56174205,scf_step
-22331.56174206,BFGS_step
-22331.56195356,scf_step
-22331.56211584,scf_step
-22331.56198719,scf_step
-22331.56216299,scf_step
-22331.56220378,scf_step
-22331.56220895,scf_step
-22331.56220986,scf_step
