energy,step_type
-22327.15233618,scf_step
-22312.94495191,scf_step
-22330.03103464,scf_step
-22331.43196188,scf_step
-22331.58047939,scf_step
-22331.5772173,scf_step
-22331.57909562,scf_step
-22331.5783165,scf_step
-22331.5772491,scf_step
-22331.5757793,scf_step
-22331.57358661,scf_step
-22331.57443038,scf_step
-22331.57443887,scf_step
-22331.57444063,scf_step
-22331.57444213,scf_step
-22331.57444348,scf_step
-22331.57444368,BFGS_step
-22331.57452224,scf_step
-22331.57453295,scf_step
-22331.57444001,scf_step
-22331.57459937,scf_step
-22331.57460692,scf_step
-22331.57460907,scf_step
-22331.57460955,scf_step
-22331.57460961,scf_step
-22331.57460962,BFGS_step
-22331.57466219,scf_step
-22331.57479957,scf_step
-22331.57473658,scf_step
-22331.57481789,scf_step
-22331.57484966,scf_step
-22331.57485434,scf_step
-22331.57485567,scf_step
-22331.57485581,scf_step
-22331.57485582,BFGS_step
-22331.57500501,scf_step
-22331.57510832,scf_step
-22331.57512049,scf_step
-22331.57512966,scf_step
-22331.57513435,scf_step
-22331.57514307,scf_step
-22331.57514436,scf_step
-22331.57514449,scf_step
-22331.57514449,BFGS_step
-22331.5750271,scf_step
-22331.5751323,scf_step
-22331.57499796,scf_step
-22331.57517119,scf_step
-22331.57524188,scf_step
-22331.57524815,scf_step
-22331.5752511,scf_step
-22331.57525129,scf_step
-22331.57525132,BFGS_step
-22331.57540401,scf_step
-22331.57545107,scf_step
-22331.57528826,scf_step
-22331.57553837,scf_step
-22331.5755496,scf_step
-22331.57555336,scf_step
-22331.57555449,scf_step
-22331.57555466,scf_step
-22331.57555468,BFGS_step
-22331.57571395,scf_step
-22331.57574267,scf_step
-22331.57571707,scf_step
-22331.5757503,scf_step
-22331.57575526,scf_step
-22331.57575662,scf_step
-22331.57575686,scf_step
-22331.57575689,BFGS_step
-22331.57585832,scf_step
-22331.57587692,scf_step
-22331.57584971,scf_step
-22331.5758869,scf_step
-22331.57588973,scf_step
-22331.57589056,scf_step
-22331.57589071,scf_step
-22331.57589072,BFGS_step
-22331.57590477,scf_step
-22331.57597035,scf_step
-22331.57588477,scf_step
-22331.57600525,scf_step
-22331.57601156,scf_step
-22331.57601427,scf_step
-22331.57601486,scf_step
-22331.57601493,scf_step
-22331.57601494,BFGS_step
-22331.57592096,scf_step
-22331.57601755,scf_step
-22331.57588383,scf_step
-22331.57607468,scf_step
-22331.57608539,scf_step
-22331.5760902,scf_step
-22331.5760912,scf_step
-22331.57609129,scf_step
-22331.5760913,BFGS_step
-22331.57615412,scf_step
-22331.57615533,scf_step
-22331.5761555,scf_step
-22331.57615558,scf_step
-22331.57615612,scf_step
-22331.57615627,scf_step
-22331.57615629,BFGS_step
-22331.57620251,scf_step
-22331.57620464,scf_step
-22331.57620062,scf_step
-22331.57620647,scf_step
-22331.57620689,scf_step
-22331.57620703,scf_step
-22331.57620705,BFGS_step
-22331.5762654,scf_step
-22331.57626757,scf_step
-22331.57626295,scf_step
-22331.57626894,scf_step
-22331.57627032,scf_step
-22331.57627059,scf_step
-22331.57627062,scf_step
-22331.57627062,BFGS_step
-22331.57632026,scf_step
-22331.57632555,scf_step
