,index,energy,energy_error,gradient_error
0,0,-22331.52321418,0.0,0.0039
1,1,-22331.52322562,1.1e-05,0.0044
2,2,-22331.52324606,2e-05,0.0034
3,3,-22331.52325438,8.3e-06,0.0087
4,4,-22331.52328121,2.7e-05,0.0034
5,5,-22331.52329418,1.3e-05,0.0016
6,6,-22331.52330542,1.1e-05,0.0024
7,7,-22331.52332816,2.3e-05,0.0032
8,8,-22331.52336498,3.7e-05,0.0035
9,9,-22331.52340868,4.4e-05,0.0022
10,10,-22331.52344916,4e-05,0.0022
11,11,-22331.52349842,4.9e-05,0.0027
12,12,-22331.52354223,4.4e-05,0.0023
13,13,-22331.52358532,4.3e-05,0.0018
14,14,-22331.523637,5.2e-05,0.0018
15,15,-22331.52367581,3.9e-05,0.0019
16,16,-22331.52371035,3.5e-05,0.0021
17,17,-22331.52375241,4.2e-05,0.0021
18,18,-22331.52378533,3.3e-05,0.0016
19,19,-22331.52382843,4.3e-05,0.0013
20,20,-22331.52387064,4.2e-05,0.0017
21,21,-22331.52390654,3.6e-05,0.0025
22,22,-22331.5239508,4.4e-05,0.002
23,23,-22331.52399723,4.6e-05,0.0022
24,24,-22331.52406991,7.3e-05,0.0021
25,25,-22331.5241531,8.3e-05,0.0021
26,26,-22331.52426427,0.00011,0.0024
27,27,-22331.52441317,0.00015,0.0031
28,28,-22331.52456745,0.00015,0.0046
29,29,-22331.5247369,0.00017,0.005
30,30,-22331.52490275,0.00017,0.0051
31,31,-22331.52518921,0.00029,0.0051
32,32,-22331.52569345,0.0005,0.0051
33,33,-22331.52596421,0.00027,0.0064
34,34,-22331.52627375,0.00031,0.0066
35,35,-22331.52683194,0.00056,0.0057
36,36,-22331.52730722,0.00048,0.0058
37,37,-22331.52774745,0.00044,0.007
38,38,-22331.52812324,0.00038,0.006
39,39,-22331.52834733,0.00022,0.0058
40,40,-22331.52858641,0.00024,0.0056
41,41,-22331.52894164,0.00036,0.0051
42,42,-22331.52930078,0.00036,0.0043
43,0,-22331.52968908,0.0,0.0037
44,1,-22331.52982502,0.00014,0.0038
45,2,-22331.52993504,0.00011,0.0037
46,3,-22331.53006155,0.00013,0.0034
47,4,-22331.53019593,0.00013,0.0043
48,5,-22331.53031902,0.00012,0.0031
49,6,-22331.53041579,9.7e-05,0.0029
50,7,-22331.53052377,0.00011,0.0037
51,8,-22331.53064816,0.00012,0.0031
52,9,-22331.53072159,7.3e-05,0.0016
53,10,-22331.53078969,6.8e-05,0.002
54,11,-22331.53082999,4e-05,0.0028
55,12,-22331.53088293,5.3e-05,0.002
56,13,-22331.53092027,3.7e-05,0.002
57,14,-22331.53095238,3.2e-05,0.0017
58,15,-22331.53097223,2e-05,0.0017
59,16,-22331.53101905,4.7e-05,0.0013
60,17,-22331.5310483,2.9e-05,0.0019
61,18,-22331.53107227,2.4e-05,0.0018
62,19,-22331.53109279,2.1e-05,0.0014
63,20,-22331.53111408,2.1e-05,0.0011
64,21,-22331.53112608,1.2e-05,0.0012
65,22,-22331.53113958,1.3e-05,0.0013
66,23,-22331.53116046,2.1e-05,0.0014
67,24,-22331.53118265,2.2e-05,0.0011
68,25,-22331.53120099,1.8e-05,0.00093
69,26,-22331.53121351,1.3e-05,0.00097
70,27,-22331.5312375,2.4e-05,0.0013
71,28,-22331.53125624,1.9e-05,0.0014
72,29,-22331.53127537,1.9e-05,0.0016
73,30,-22331.53129548,2e-05,0.0012
74,31,-22331.53131062,1.5e-05,0.0006
75,32,-22331.53131918,8.6e-06,0.00072
76,33,-22331.53132517,6e-06,0.00061
77,34,-22331.53132838,3.2e-06,0.00062
78,35,-22331.53133288,4.5e-06,0.00079
79,36,-22331.53134471,1.2e-05,0.0012
80,37,-22331.53135667,1.2e-05,0.0011
81,38,-22331.53137197,1.5e-05,0.0011
82,39,-22331.53139021,1.8e-05,0.00093
83,40,-22331.53140737,1.7e-05,0.00081
84,41,-22331.531426,1.9e-05,0.00078
85,42,-22331.53144089,1.5e-05,0.001
86,43,-22331.53145564,1.5e-05,0.00097
87,44,-22331.53147821,2.3e-05,0.0011
88,45,-22331.53149269,1.4e-05,0.0011
89,46,-22331.53151709,2.4e-05,0.0011
90,47,-22331.53154875,3.2e-05,0.0011
91,48,-22331.53157796,2.9e-05,0.0013
92,49,-22331.53160964,3.2e-05,0.0018
93,50,-22331.5316456,3.6e-05,0.0018
94,51,-22331.5316858,4e-05,0.0015
95,52,-22331.53174162,5.6e-05,0.0013
96,53,-22331.53177605,3.4e-05,0.0015
97,54,-22331.53181745,4.1e-05,0.0016
98,55,-22331.53187483,5.7e-05,0.0011
99,56,-22331.53190193,2.7e-05,0.00076
100,0,-22331.53192522,0.0,0.00079
101,1,-22331.53193525,1e-05,0.00084
102,2,-22331.53194578,1.1e-05,0.0007
103,3,-22331.5319587,1.3e-05,0.0007
104,4,-22331.53197318,1.4e-05,0.0019
105,5,-22331.53198723,1.4e-05,0.0015
106,6,-22331.53199569,8.5e-06,0.00081
107,7,-22331.53200299,7.3e-06,0.00062
108,8,-22331.53201673,1.4e-05,0.00051
109,9,-22331.53202596,9.2e-06,0.00072
110,10,-22331.5320319,5.9e-06,0.00059
111,11,-22331.5320376,5.7e-06,0.00065
112,12,-22331.53204538,7.8e-06,0.00071
113,13,-22331.5320535,8.1e-06,0.00053
114,14,-22331.53206024,6.7e-06,0.00063
115,15,-22331.53206435,4.1e-06,0.00061
116,16,-22331.53206818,3.8e-06,0.0005
