energy,energy_error,gradient_error
-22331.52321418,0.0,0.0039
-22331.52322562,1.1e-05,0.0044
-22331.52324606,2e-05,0.0034
-22331.52325438,8.3e-06,0.0087
-22331.52328121,2.7e-05,0.0034
-22331.52329418,1.3e-05,0.0016
-22331.52330542,1.1e-05,0.0024
-22331.52332816,2.3e-05,0.0032
-22331.52336498,3.7e-05,0.0035
-22331.52340868,4.4e-05,0.0022
-22331.52344916,4e-05,0.0022
-22331.52349842,4.9e-05,0.0027
-22331.52354223,4.4e-05,0.0023
-22331.52358532,4.3e-05,0.0018
-22331.523637,5.2e-05,0.0018
-22331.52367581,3.9e-05,0.0019
-22331.52371035,3.5e-05,0.0021
-22331.52375241,4.2e-05,0.0021
-22331.52378533,3.3e-05,0.0016
-22331.52382843,4.3e-05,0.0013
-22331.52387064,4.2e-05,0.0017
-22331.52390654,3.6e-05,0.0025
-22331.5239508,4.4e-05,0.002
-22331.52399723,4.6e-05,0.0022
-22331.52406991,7.3e-05,0.0021
-22331.5241531,8.3e-05,0.0021
-22331.52426427,0.00011,0.0024
-22331.52441317,0.00015,0.0031
-22331.52456745,0.00015,0.0046
-22331.5247369,0.00017,0.005
-22331.52490275,0.00017,0.0051
-22331.52518921,0.00029,0.0051
-22331.52569345,0.0005,0.0051
-22331.52596421,0.00027,0.0064
-22331.52627375,0.00031,0.0066
-22331.52683194,0.00056,0.0057
-22331.52730722,0.00048,0.0058
-22331.52774745,0.00044,0.007
-22331.52812324,0.00038,0.006
-22331.52834733,0.00022,0.0058
-22331.52858641,0.00024,0.0056
-22331.52894164,0.00036,0.0051
-22331.52930078,0.00036,0.0043
