energy,energy_error,gradient_error
-22331.21501943,0.0,0.0084
-22331.21504494,2.6e-05,0.01
-22331.21511321,6.8e-05,0.0036
-22331.21513745,2.4e-05,0.014
-22331.21521396,7.7e-05,0.0063
-22331.21527049,5.7e-05,0.0047
-22331.21530485,3.4e-05,0.0032
-22331.21533151,2.7e-05,0.0026
-22331.21535445,2.3e-05,0.0022
-22331.21537624,2.2e-05,0.0022
-22331.21538681,1.1e-05,0.0017
-22331.21540009,1.3e-05,0.002
-22331.21541557,1.5e-05,0.0025
-22331.21542642,1.1e-05,0.0013
-22331.21543696,1.1e-05,0.0017
-22331.21544743,1e-05,0.0014
-22331.21546008,1.3e-05,0.0015
-22331.21547267,1.3e-05,0.0012
-22331.21548844,1.6e-05,0.0013
-22331.2155146,2.6e-05,0.0017
-22331.21555113,3.7e-05,0.0027
-22331.2155954,4.4e-05,0.0033
-22331.21564182,4.6e-05,0.0035
-22331.21568445,4.3e-05,0.0026
-22331.21575118,6.7e-05,0.0019
