energy,step_type
-22326.2972556,scf_step
-22310.60595039,scf_step
-22330.59968754,scf_step
-22330.78307454,scf_step
-22331.22003744,scf_step
-22331.23346404,scf_step
-22331.23338852,scf_step
-22331.23103161,scf_step
-22331.23052713,scf_step
-22331.22698586,scf_step
-22331.21153443,scf_step
-22331.21482324,scf_step
-22331.21498954,scf_step
-22331.21498526,scf_step
-22331.21497721,scf_step
-22331.21501604,scf_step
-22331.21501844,scf_step
-22331.21501911,scf_step
-22331.21501927,scf_step
-22331.21501943,BFGS_step
-22331.21503135,scf_step
-22331.21502438,scf_step
-22331.21502596,scf_step
-22331.21504325,scf_step
-22331.21504491,scf_step
-22331.21504494,BFGS_step
-22331.21509307,scf_step
-22331.21508908,scf_step
-22331.21511236,scf_step
-22331.21511258,scf_step
-22331.21511273,scf_step
-22331.21511311,scf_step
-22331.21511321,scf_step
-22331.21511321,BFGS_step
-22331.21512732,scf_step
-22331.21513026,scf_step
-22331.21512554,scf_step
-22331.21513655,scf_step
-22331.21513728,scf_step
-22331.21513739,scf_step
-22331.21513746,scf_step
-22331.21513745,BFGS_step
-22331.2152054,scf_step
-22331.21520884,scf_step
-22331.21521206,scf_step
-22331.21521327,scf_step
-22331.2152133,scf_step
-22331.21521385,scf_step
-22331.21521394,scf_step
-22331.21521396,BFGS_step
-22331.21526846,scf_step
-22331.21526852,scf_step
-22331.21526767,scf_step
-22331.2152701,scf_step
-22331.21527038,scf_step
-22331.21527045,scf_step
-22331.21527048,scf_step
-22331.21527049,BFGS_step
-22331.21530349,scf_step
-22331.21530363,scf_step
-22331.21530285,scf_step
-22331.21530438,scf_step
-22331.21530475,scf_step
-22331.21530483,scf_step
-22331.21530485,scf_step
-22331.21530485,BFGS_step
-22331.21533014,scf_step
-22331.21533029,scf_step
-22331.21532992,scf_step
-22331.21533055,scf_step
-22331.21533136,scf_step
-22331.21533146,scf_step
-22331.2153315,scf_step
-22331.21533151,BFGS_step
-22331.21535375,scf_step
-22331.21535397,scf_step
-22331.21535347,scf_step
-22331.21535418,scf_step
-22331.2153544,scf_step
-22331.21535444,scf_step
-22331.21535445,scf_step
-22331.21535445,BFGS_step
-22331.21537548,scf_step
-22331.21537557,scf_step
-22331.21537486,scf_step
-22331.21537569,scf_step
-22331.21537615,scf_step
-22331.21537623,scf_step
-22331.21537624,BFGS_step
-22331.21538623,scf_step
-22331.21538617,scf_step
-22331.21538637,scf_step
-22331.21538649,scf_step
-22331.21538669,scf_step
-22331.21538679,scf_step
-22331.21538681,BFGS_step
-22331.21539945,scf_step
-22331.21539949,scf_step
-22331.21539941,scf_step
-22331.21539958,scf_step
-22331.21539999,scf_step
-22331.21540007,scf_step
-22331.21540009,scf_step
-22331.21540009,BFGS_step
-22331.21541475,scf_step
-22331.21541462,scf_step
-22331.21541306,scf_step
-22331.21541504,scf_step
-22331.21541546,scf_step
-22331.21541556,scf_step
-22331.21541557,scf_step
-22331.21541557,BFGS_step
-22331.21542566,scf_step
-22331.2154256,scf_step
-22331.21542514,scf_step
-22331.21542578,scf_step
-22331.21542625,scf_step
-22331.2154264,scf_step
-22331.21542641,scf_step
-22331.21542642,BFGS_step
-22331.21543587,scf_step
-22331.21543572,scf_step
-22331.21543453,scf_step
-22331.21543668,scf_step
-22331.21543683,scf_step
-22331.21543695,scf_step
-22331.21543696,scf_step
-22331.21543696,BFGS_step
-22331.21544622,scf_step
-22331.21544613,scf_step
-22331.21544472,scf_step
-22331.21544696,scf_step
-22331.21544727,scf_step
-22331.2154474,scf_step
-22331.21544742,scf_step
-22331.21544743,BFGS_step
-22331.21545839,scf_step
-22331.21545741,scf_step
-22331.21545395,scf_step
-22331.21545932,scf_step
-22331.21545974,scf_step
-22331.21546004,scf_step
-22331.21546006,scf_step
-22331.21546008,scf_step
-22331.21546008,BFGS_step
-22331.21547086,scf_step
-22331.21546924,scf_step
-22331.21546371,scf_step
-22331.21547205,scf_step
-22331.21547242,scf_step
-22331.21547262,scf_step
-22331.21547266,scf_step
-22331.21547267,scf_step
-22331.21547267,BFGS_step
-22331.21548649,scf_step
-22331.2154843,scf_step
-22331.21547768,scf_step
-22331.21548765,scf_step
-22331.2154881,scf_step
-22331.21548839,scf_step
-22331.21548843,scf_step
-22331.21548844,scf_step
-22331.21548844,BFGS_step
-22331.21551086,scf_step
-22331.21550527,scf_step
-22331.21549151,scf_step
-22331.21551276,scf_step
-22331.21551394,scf_step
-22331.2155145,scf_step
-22331.21551456,scf_step
-22331.2155146,scf_step
-22331.2155146,BFGS_step
-22331.21554341,scf_step
-22331.21553113,scf_step
-22331.21550167,scf_step
-22331.21554744,scf_step
-22331.21554976,scf_step
-22331.21555093,scf_step
-22331.21555107,scf_step
-22331.21555112,scf_step
-22331.21555113,BFGS_step
-22331.21557794,scf_step
-22331.2155498,scf_step
-22331.21548582,scf_step
-22331.2155874,scf_step
-22331.2155925,scf_step
-22331.21559499,scf_step
-22331.2155953,scf_step
-22331.21559538,scf_step
-22331.2155954,BFGS_step
-22331.21560414,scf_step
-22331.21554082,scf_step
-22331.21540898,scf_step
-22331.21562472,scf_step
-22331.21563573,scf_step
-22331.2156409,scf_step
-22331.21564149,scf_step
-22331.21564175,scf_step
-22331.21564182,scf_step
-22331.21564182,BFGS_step
-22331.21567585,scf_step
-22331.2156618,scf_step
-22331.21563145,scf_step
-22331.21568104,scf_step
-22331.21568346,scf_step
-22331.21568423,scf_step
-22331.21568441,scf_step
-22331.21568443,scf_step
-22331.21568445,BFGS_step
-22331.21573952,scf_step
-22331.21572326,scf_step
-22331.215687,scf_step
-22331.2157461,scf_step
-22331.21574969,scf_step
-22331.2157509,scf_step
-22331.21575107,scf_step
-22331.21575116,scf_step
-22331.21575118,BFGS_step
