,index,energy,energy_error,gradient_error
0,0,-22331.21538257,0.0,0.0049
1,1,-22331.21540842,2.6e-05,0.0063
2,2,-22331.21546104,5.3e-05,0.004
3,3,-22331.21547933,1.8e-05,0.013
4,4,-22331.21555242,7.3e-05,0.005
5,5,-22331.21558805,3.6e-05,0.0027
6,6,-22331.21560979,2.2e-05,0.0022
7,7,-22331.21563701,2.7e-05,0.0023
8,8,-22331.21566984,3.3e-05,0.0027
9,9,-22331.21569962,3e-05,0.0016
10,10,-22331.21572632,2.7e-05,0.0018
11,11,-22331.21576662,4e-05,0.0028
12,12,-22331.21582961,6.3e-05,0.0045
13,13,-22331.21589796,6.8e-05,0.0041
14,14,-22331.21595623,5.8e-05,0.0017
15,15,-22331.21602482,6.9e-05,0.0027
16,16,-22331.21610994,8.5e-05,0.0032
17,17,-22331.21621914,0.00011,0.0055
18,18,-22331.21632922,0.00011,0.0063
19,19,-22331.21646095,0.00013,0.0049
20,20,-22331.21662288,0.00016,0.0031
21,21,-22331.21673924,0.00012,0.0037
22,22,-22331.2167907,5.1e-05,0.0027
23,23,-22331.21686487,7.4e-05,0.0039
24,24,-22331.21694945,8.5e-05,0.0044
25,25,-22331.21703307,8.4e-05,0.0042
26,26,-22331.21710369,7.1e-05,0.0028
27,27,-22331.21714545,4.2e-05,0.0017
28,28,-22331.21719195,4.7e-05,0.002
29,29,-22331.21722443,3.2e-05,0.0022
30,30,-22331.21726234,3.8e-05,0.0023
31,31,-22331.21729875,3.6e-05,0.0021
32,32,-22331.21735534,5.7e-05,0.0015
33,33,-22331.2174086,5.3e-05,0.0015
34,34,-22331.21745579,4.7e-05,0.0016
35,35,-22331.21750707,5.1e-05,0.0021
36,36,-22331.21757277,6.6e-05,0.0028
37,37,-22331.21767293,0.0001,0.0028
38,38,-22331.21776984,9.7e-05,0.003
39,39,-22331.21784786,7.8e-05,0.0026
40,40,-22331.21792133,7.3e-05,0.002
41,41,-22331.2179989,7.8e-05,0.0015
42,42,-22331.2180343,3.5e-05,0.0017
43,43,-22331.21808515,5.1e-05,0.0017
44,44,-22331.21813939,5.4e-05,0.002
45,45,-22331.21820876,6.9e-05,0.0025
