energy,step_type
-22326.32747635,scf_step
-22310.89428393,scf_step
-22330.46232407,scf_step
-22330.80808956,scf_step
-22331.22113176,scf_step
-22331.23253572,scf_step
-22331.23249661,scf_step
-22331.23030361,scf_step
-22331.22995599,scf_step
-22331.22639601,scf_step
-22331.21213082,scf_step
-22331.21513988,scf_step
-22331.2153341,scf_step
-22331.21531823,scf_step
-22331.21534879,scf_step
-22331.21537464,scf_step
-22331.21538127,scf_step
-22331.21538242,scf_step
-22331.21538262,scf_step
-22331.21538257,BFGS_step
-22331.21538945,scf_step
-22331.21537921,scf_step
-22331.21539942,scf_step
-22331.21540615,scf_step
-22331.2154087,scf_step
-22331.21540842,BFGS_step
-22331.21544756,scf_step
-22331.21544699,scf_step
-22331.21545832,scf_step
-22331.21546043,scf_step
-22331.21546079,scf_step
-22331.21546102,scf_step
-22331.21546105,scf_step
-22331.21546104,BFGS_step
-22331.21546653,scf_step
-22331.21547163,scf_step
-22331.21546713,scf_step
-22331.21547727,scf_step
-22331.21547877,scf_step
-22331.21547924,scf_step
-22331.21547931,scf_step
-22331.21547933,BFGS_step
-22331.21553933,scf_step
-22331.21554733,scf_step
-22331.2155507,scf_step
-22331.21555049,scf_step
-22331.21555144,scf_step
-22331.21555233,scf_step
-22331.21555238,scf_step
-22331.21555242,scf_step
-22331.21555242,BFGS_step
-22331.21558589,scf_step
-22331.21558731,scf_step
-22331.21558657,scf_step
-22331.21558779,scf_step
-22331.21558797,scf_step
-22331.21558804,scf_step
-22331.21558805,BFGS_step
-22331.21560809,scf_step
-22331.21560803,scf_step
-22331.2156091,scf_step
-22331.21560947,scf_step
-22331.21560943,scf_step
-22331.21560975,scf_step
-22331.21560978,scf_step
-22331.21560979,BFGS_step
-22331.21563542,scf_step
-22331.21563471,scf_step
-22331.21563195,scf_step
-22331.21563609,scf_step
-22331.21563689,scf_step
-22331.21563699,scf_step
-22331.215637,scf_step
-22331.21563701,BFGS_step
-22331.21566782,scf_step
-22331.21566695,scf_step
-22331.21566349,scf_step
-22331.21566795,scf_step
-22331.21566955,scf_step
-22331.21566977,scf_step
-22331.21566982,scf_step
-22331.21566984,BFGS_step
-22331.21569861,scf_step
-22331.21569783,scf_step
-22331.2156943,scf_step
-22331.21569892,scf_step
-22331.21569952,scf_step
-22331.2156996,scf_step
-22331.21569961,scf_step
-22331.21569962,BFGS_step
-22331.2157247,scf_step
-22331.21572322,scf_step
-22331.21572091,scf_step
-22331.21572434,scf_step
-22331.21572612,scf_step
-22331.21572629,scf_step
-22331.21572631,scf_step
-22331.21572632,BFGS_step
-22331.21576418,scf_step
-22331.2157614,scf_step
-22331.21575348,scf_step
-22331.21576526,scf_step
-22331.21576631,scf_step
-22331.21576659,scf_step
-22331.2157666,scf_step
-22331.21576662,BFGS_step
-22331.21582134,scf_step
-22331.2158131,scf_step
-22331.21578814,scf_step
-22331.21582419,scf_step
-22331.21582779,scf_step
-22331.21582939,scf_step
-22331.21582949,scf_step
-22331.2158296,scf_step
-22331.21582961,BFGS_step
-22331.21586211,scf_step
-22331.21583062,scf_step
-22331.21572924,scf_step
-22331.21588515,scf_step
-22331.21589427,scf_step
-22331.21589703,scf_step
-22331.21589766,scf_step
-22331.21589791,scf_step
-22331.21589796,BFGS_step
-22331.21595071,scf_step
-22331.21595044,scf_step
-22331.21594146,scf_step
-22331.21595421,scf_step
-22331.21595563,scf_step
-22331.21595615,scf_step
-22331.21595624,scf_step
-22331.21595623,BFGS_step
-22331.21601764,scf_step
-22331.21601564,scf_step
-22331.21600688,scf_step
-22331.21602104,scf_step
-22331.21602387,scf_step
-22331.21602463,scf_step
-22331.21602477,scf_step
-22331.21602482,BFGS_step
-22331.21609734,scf_step
-22331.21609014,scf_step
-22331.21606355,scf_step
-22331.21610588,scf_step
-22331.21610797,scf_step
-22331.21610972,scf_step
-22331.21610985,scf_step
-22331.21610992,scf_step
-22331.21610994,BFGS_step
-22331.2161914,scf_step
-22331.21617781,scf_step
-22331.21611745,scf_step
-22331.21621206,scf_step
-22331.21621612,scf_step
-22331.21621853,scf_step
-22331.21621903,scf_step
-22331.21621911,scf_step
-22331.21621914,BFGS_step
-22331.2162737,scf_step
-22331.21622732,scf_step
-22331.21608713,scf_step
-22331.21631362,scf_step
-22331.21632257,scf_step
-22331.21632807,scf_step
-22331.21632904,scf_step
-22331.21632919,scf_step
-22331.21632922,BFGS_step
-22331.21645194,scf_step
-22331.21644937,scf_step
-22331.21643807,scf_step
-22331.21645485,scf_step
-22331.21645997,scf_step
-22331.21646072,scf_step
-22331.21646092,scf_step
-22331.21646095,BFGS_step
-22331.21659957,scf_step
-22331.21656221,scf_step
-22331.2164774,scf_step
-22331.21661695,scf_step
-22331.2166209,scf_step
-22331.21662223,scf_step
-22331.21662266,scf_step
-22331.21662283,scf_step
-22331.21662288,BFGS_step
-22331.2167261,scf_step
