,index,energy,energy_error,gradient_error
0,0,-22331.24687385,0.0,0.0073
1,1,-22331.24688014,6.3e-06,0.014
2,2,-22331.24697815,9.8e-05,0.011
3,3,-22331.24704652,6.8e-05,0.012
4,4,-22331.24719114,0.00014,0.0029
5,5,-22331.2473602,0.00017,0.0044
6,6,-22331.24757202,0.00021,0.01
7,7,-22331.24776488,0.00019,0.0073
8,8,-22331.24795536,0.00019,0.0034
9,9,-22331.24814027,0.00018,0.0035
10,10,-22331.24845548,0.00032,0.0087
11,11,-22331.24878236,0.00033,0.013
12,12,-22331.24915712,0.00037,0.0073
13,13,-22331.24952993,0.00037,0.0061
14,14,-22331.24995277,0.00042,0.0075
15,15,-22331.25025343,0.0003,0.0065
16,16,-22331.25064384,0.00039,0.0069
17,17,-22331.25113116,0.00049,0.0056
18,18,-22331.2518166,0.00069,0.0085
19,19,-22331.25255427,0.00074,0.0082
20,20,-22331.25332516,0.00077,0.0082
21,21,-22331.25394691,0.00062,0.0054
22,22,-22331.25434508,0.0004,0.0058
23,23,-22331.25467837,0.00033,0.0053
24,24,-22331.2549784,0.0003,0.0057
25,25,-22331.25532842,0.00035,0.0076
26,26,-22331.25560725,0.00028,0.0057
27,27,-22331.25590357,0.0003,0.0061
28,28,-22331.25608979,0.00019,0.0037
29,29,-22331.25626932,0.00018,0.0054
30,30,-22331.25640619,0.00014,0.004
31,31,-22331.25656212,0.00016,0.0048
32,32,-22331.25671921,0.00016,0.0045
33,33,-22331.25687912,0.00016,0.0053
34,34,-22331.2570833,0.0002,0.0055
35,35,-22331.25731022,0.00023,0.0052
36,36,-22331.25752133,0.00021,0.0044
37,37,-22331.25774599,0.00022,0.0048
38,38,-22331.25799479,0.00025,0.0045
39,39,-22331.25821682,0.00022,0.0045
40,40,-22331.25836763,0.00015,0.0034
41,41,-22331.25850891,0.00014,0.0033
42,42,-22331.25860261,9.4e-05,0.0037
43,43,-22331.25873243,0.00013,0.0041
44,44,-22331.25885478,0.00012,0.0042
45,45,-22331.25895125,9.6e-05,0.0019
46,46,-22331.25902582,7.5e-05,0.0028
47,47,-22331.25908585,6e-05,0.0021
48,48,-22331.25913991,5.4e-05,0.0025
49,49,-22331.25920074,6.1e-05,0.0025
50,50,-22331.25928325,8.3e-05,0.0015
51,51,-22331.25930376,2.1e-05,0.0012
52,52,-22331.25933181,2.8e-05,0.0011
53,53,-22331.25935953,2.8e-05,0.001
54,54,-22331.25939889,3.9e-05,0.00099
55,55,-22331.25942574,2.7e-05,0.0014
56,56,-22331.25945012,2.4e-05,0.0012
57,57,-22331.25947039,2e-05,0.0011
58,58,-22331.2594982,2.8e-05,0.00087
59,59,-22331.25952474,2.7e-05,0.00085
60,60,-22331.25954226,1.8e-05,0.0011
61,61,-22331.2595637,2.1e-05,0.0011
62,62,-22331.25958567,2.2e-05,0.00094
63,63,-22331.25961316,2.7e-05,0.00085
64,64,-22331.25965236,3.9e-05,0.0008
65,0,-22331.25969945,4.7e-05,0.00088
66,1,-22331.25971681,1.7e-05,0.0012
67,2,-22331.25973517,1.8e-05,0.001
68,3,-22331.25976339,2.8e-05,0.00075
69,4,-22331.2597825,1.9e-05,0.0007
70,5,-22331.25980817,2.6e-05,0.00067
71,6,-22331.25984256,3.4e-05,0.00073
72,7,-22331.25988894,4.6e-05,0.00083
73,8,-22331.25995238,6.3e-05,0.00099
74,9,-22331.26001553,6.3e-05,0.0017
75,10,-22331.26009151,7.6e-05,0.0025
76,11,-22331.26016753,7.6e-05,0.0033
77,12,-22331.26024628,7.9e-05,0.0033
78,13,-22331.26040655,0.00016,0.003
79,14,-22331.26067498,0.00027,0.0026
80,15,-22331.26098273,0.00031,0.0025
81,16,-22331.26134722,0.00036,0.0033
82,17,-22331.26189216,0.00054,0.0054
83,18,-22331.26234064,0.00045,0.0085
84,19,-22331.26317503,0.00083,0.0064
85,20,-22331.26433426,0.0012,0.0064
86,21,-22331.26542729,0.0011,0.0071
87,22,-22331.2674114,0.002,0.012
88,23,-22331.26855958,0.0011,0.014
89,24,-22331.27040468,0.0018,0.013
90,25,-22331.27120749,0.0008,0.0084
91,26,-22331.27202045,0.00081,0.0071
92,27,-22331.2736938,0.0017,0.012
93,28,-22331.27526271,0.0016,0.012
94,29,-22331.27704458,0.0018,0.018
95,30,-22331.27884412,0.0018,0.012
96,31,-22331.28005305,0.0012,0.0096
97,32,-22331.28096029,0.00091,0.0079
98,33,-22331.28153641,0.00058,0.0074
99,34,-22331.28237544,0.00084,0.008
100,35,-22331.28302966,0.00065,0.0077
101,36,-22331.28372291,0.00069,0.0085
102,37,-22331.28426907,0.00055,0.0053
103,38,-22331.28493862,0.00067,0.0047
104,39,-22331.28539345,0.00045,0.0045
105,40,-22331.28577851,0.00039,0.0038
106,41,-22331.28610906,0.00033,0.0027
107,42,-22331.28635903,0.00025,0.0028
108,43,-22331.2866283,0.00027,0.0029
109,44,-22331.2868537,0.00023,0.0037
110,45,-22331.28707956,0.00023,0.0034
111,46,-22331.28726796,0.00019,0.0024
