energy,energy_error,gradient_error
-22331.25969945,4.7e-05,0.00088
-22331.25971681,1.7e-05,0.0012
-22331.25973517,1.8e-05,0.001
-22331.25976339,2.8e-05,0.00075
-22331.2597825,1.9e-05,0.0007
-22331.25980817,2.6e-05,0.00067
-22331.25984256,3.4e-05,0.00073
-22331.25988894,4.6e-05,0.00083
-22331.25995238,6.3e-05,0.00099
-22331.26001553,6.3e-05,0.0017
-22331.26009151,7.6e-05,0.0025
-22331.26016753,7.6e-05,0.0033
-22331.26024628,7.9e-05,0.0033
-22331.26040655,0.00016,0.003
-22331.26067498,0.00027,0.0026
-22331.26098273,0.00031,0.0025
-22331.26134722,0.00036,0.0033
-22331.26189216,0.00054,0.0054
-22331.26234064,0.00045,0.0085
-22331.26317503,0.00083,0.0064
-22331.26433426,0.0012,0.0064
-22331.26542729,0.0011,0.0071
-22331.2674114,0.002,0.012
-22331.26855958,0.0011,0.014
-22331.27040468,0.0018,0.013
-22331.27120749,0.0008,0.0084
-22331.27202045,0.00081,0.0071
-22331.2736938,0.0017,0.012
-22331.27526271,0.0016,0.012
-22331.27704458,0.0018,0.018
-22331.27884412,0.0018,0.012
-22331.28005305,0.0012,0.0096
-22331.28096029,0.00091,0.0079
-22331.28153641,0.00058,0.0074
-22331.28237544,0.00084,0.008
-22331.28302966,0.00065,0.0077
-22331.28372291,0.00069,0.0085
-22331.28426907,0.00055,0.0053
-22331.28493862,0.00067,0.0047
-22331.28539345,0.00045,0.0045
-22331.28577851,0.00039,0.0038
-22331.28610906,0.00033,0.0027
-22331.28635903,0.00025,0.0028
-22331.2866283,0.00027,0.0029
-22331.2868537,0.00023,0.0037
-22331.28707956,0.00023,0.0034
-22331.28726796,0.00019,0.0024
-22331.28745925,0.00019,0.0026
-22331.28769931,0.00024,0.0035
-22331.28798423,0.00028,0.0035
-22331.28823482,0.00025,0.0037
-22331.28856941,0.00033,0.0039
-22331.28882591,0.00026,0.0044
-22331.28908515,0.00026,0.0045
-22331.28941663,0.00033,0.0045
-22331.289797,0.00038,0.0045
-22331.29009193,0.00029,0.0047
-22331.29037395,0.00028,0.0037
-22331.2907061,0.00033,0.0051
-22331.29098724,0.00028,0.0046
-22331.291324,0.00034,0.0047
-22331.29164008,0.00032,0.0035
-22331.29186661,0.00023,0.0029
-22331.29200405,0.00014,0.0022
-22331.29208408,8e-05,0.0021
-22331.29223818,0.00015,0.0023
-22331.29239013,0.00015,0.0022
-22331.29249582,0.00011,0.0023
-22331.29259956,0.0001,0.0019
-22331.29266089,6.1e-05,0.0016
-22331.29271293,5.2e-05,0.0019
-22331.29276506,5.2e-05,0.0016
-22331.29281067,4.6e-05,0.0014
-22331.29283819,2.8e-05,0.0011
-22331.29285986,2.2e-05,0.0011
-22331.29289256,3.3e-05,0.001
-22331.29291999,2.7e-05,0.0017
-22331.29294772,2.8e-05,0.0016
-22331.29296977,2.2e-05,0.0009
-22331.2929841,1.4e-05,0.0006
-22331.29300163,1.8e-05,0.0009
-22331.29302024,1.9e-05,0.0012
-22331.29303754,1.7e-05,0.0012
-22331.29305311,1.6e-05,0.0011
-22331.2930604,7.3e-06,0.00076
-22331.29306834,7.9e-06,0.00064
-22331.29308256,1.4e-05,0.001
-22331.29309443,1.2e-05,0.0012
-22331.29310917,1.5e-05,0.0013
-22331.29312181,1.3e-05,0.0011
-22331.29313666,1.5e-05,0.0009
-22331.29315707,2e-05,0.00082
-22331.29318327,2.6e-05,0.00073
-22331.29320874,2.5e-05,0.0014
-22331.2932403,3.2e-05,0.0019
-22331.29326841,2.8e-05,0.0018
-22331.2933061,3.8e-05,0.0013
