energy,step_type
-22336.5319677,scf_step
-22331.21849047,scf_step
-22331.21854282,scf_step
-22331.21856683,scf_step
-22331.2185775,BFGS_step
-22331.21856507,scf_step
-22331.21856405,scf_step
-22331.21856834,scf_step
-22331.21856856,scf_step
-22331.21857255,scf_step
-22331.21857308,scf_step
-22331.21857322,scf_step
-22331.21857322,BFGS_step
-22331.21858527,scf_step
-22331.21858481,scf_step
-22331.21858404,scf_step
-22331.21858607,scf_step
-22331.21858663,scf_step
-22331.21858668,scf_step
-22331.21858671,BFGS_step
-22331.21860585,scf_step
-22331.21860228,scf_step
-22331.21859575,scf_step
-22331.2186056,scf_step
-22331.21860751,scf_step
-22331.21860808,scf_step
-22331.21860813,scf_step
-22331.21860816,scf_step
-22331.21860816,BFGS_step
-22331.21863224,scf_step
-22331.21863061,scf_step
-22331.21862174,scf_step
-22331.21863264,scf_step
-22331.21863411,scf_step
-22331.21863428,scf_step
-22331.21863433,scf_step
-22331.21863435,scf_step
-22331.21863436,BFGS_step
-22331.21865113,scf_step
-22331.21864778,scf_step
-22331.21862925,scf_step
-22331.21865177,scf_step
-22331.21865491,scf_step
-22331.21865565,scf_step
-22331.21865576,scf_step
-22331.2186558,scf_step
-22331.2186558,BFGS_step
-22331.21866106,scf_step
-22331.21866125,scf_step
-22331.2186586,scf_step
-22331.21866028,scf_step
-22331.21866252,scf_step
-22331.21866269,scf_step
-22331.21866273,scf_step
-22331.21866273,BFGS_step
-22331.21866234,scf_step
-22331.21866206,scf_step
-22331.21866231,scf_step
-22331.21866226,scf_step
-22331.21866278,scf_step
-22331.21866283,scf_step
-22331.21866285,scf_step
-22331.21866285,BFGS_step
-22331.21866109,scf_step
-22331.21866097,scf_step
-22331.21865975,scf_step
-22331.21866121,scf_step
-22331.21866147,scf_step
-22331.2186615,scf_step
-22331.21866151,scf_step
-22331.21866151,BFGS_step
-22331.21866229,scf_step
-22331.21866192,scf_step
-22331.21866188,scf_step
-22331.21866205,scf_step
-22331.21866268,scf_step
-22331.21866275,scf_step
-22331.21866276,scf_step
-22331.21866276,BFGS_step
-22331.21866283,scf_step
-22331.21866282,scf_step
-22331.21866282,scf_step
-22331.21866283,scf_step
-22331.21866285,scf_step
-22331.21866285,BFGS_step
-22331.2186627,scf_step
-22331.21866266,scf_step
-22331.21866284,scf_step
-22331.21866284,BFGS_step
-22331.21867089,scf_step
-22331.21866855,scf_step
-22331.2186719,scf_step
-22331.21867199,scf_step
-22331.21867203,scf_step
-22331.21867205,scf_step
-22331.21867205,scf_step
-22331.21867205,BFGS_step
-22331.21868212,scf_step
