energy,energy_error,gradient_error
-22330.98011146,0.0,0.012
-22330.98012935,1.8e-05,0.012
-22330.98021063,8.1e-05,0.0028
-22330.98022005,9.4e-06,0.011
-22330.98026197,4.2e-05,0.0044
-22330.98030073,3.9e-05,0.0025
-22330.98033698,3.6e-05,0.0031
-22330.98037129,3.4e-05,0.0036
-22330.98040066,2.9e-05,0.0027
-22330.98042807,2.7e-05,0.0019
-22330.98045691,2.9e-05,0.0019
-22330.98047221,1.5e-05,0.0019
-22330.98049041,1.8e-05,0.0021
-22330.98051272,2.2e-05,0.0015
-22330.9805331,2e-05,0.002
-22330.98055345,2e-05,0.0017
-22330.98058011,2.7e-05,0.003
-22330.98060641,2.6e-05,0.0025
-22330.98064438,3.8e-05,0.0026
-22330.98069807,5.4e-05,0.0031
-22330.98078794,9e-05,0.0035
-22330.98087069,8.3e-05,0.0043
-22330.98102133,0.00015,0.0043
-22330.98112104,0.0001,0.0038
-22330.98117748,5.6e-05,0.0038
-22330.98126452,8.7e-05,0.0046
-22330.98139035,0.00013,0.0071
-22330.98152307,0.00013,0.0069
-22330.98168187,0.00016,0.0019
-22330.98175454,7.3e-05,0.002
-22330.98183728,8.3e-05,0.0032
-22330.98195249,0.00012,0.0043
-22330.98214665,0.00019,0.0066
-22330.98242428,0.00028,0.0075
-22330.98286858,0.00044,0.0074
-22330.98315473,0.00029,0.0041
-22330.98340186,0.00025,0.0027
-22330.98365631,0.00025,0.0046
-22330.98408966,0.00043,0.0096
-22330.9845738,0.00048,0.01
-22330.98499673,0.00042,0.0047
-22330.9852843,0.00029,0.0037
-22330.9855457,0.00026,0.0057
-22330.98576612,0.00022,0.0066
-22330.98606688,0.0003,0.0038
-22330.98631835,0.00025,0.0036
-22330.98649408,0.00018,0.0044
-22330.98677505,0.00028,0.0059
-22330.98709682,0.00032,0.0048
-22330.98734383,0.00025,0.0033
-22330.98759825,0.00025,0.0035
-22330.98780454,0.00021,0.0041
-22330.98802417,0.00022,0.0043
-22330.98822227,0.0002,0.0036
-22330.98843412,0.00021,0.0024
-22330.98855446,0.00012,0.0031
-22330.98873995,0.00019,0.004
-22330.98895745,0.00022,0.0048
-22330.98930995,0.00035,0.0058
-22330.98956711,0.00026,0.0065
-22330.98990727,0.00034,0.0053
-22330.99018436,0.00028,0.0044
-22330.99068728,0.0005,0.0041
-22330.99125177,0.00056,0.0047
-22330.99200541,0.00075,0.0076
-22330.99298041,0.00098,0.011
-22330.99449828,0.0015,0.014
-22330.9967659,0.0023,0.017
-22330.99904943,0.0023,0.013
-22331.00124793,0.0022,0.0081
-22331.00340664,0.0022,0.0098
-22331.00557518,0.0022,0.015
-22331.00677663,0.0012,0.016
-22331.00984254,0.0031,0.013
-22331.01268594,0.0028,0.0091
-22331.0157276,0.003,0.008
-22331.01793268,0.0022,0.0095
-22331.0200217,0.0021,0.011
-22331.02206837,0.002,0.011
-22331.02509516,0.003,0.0078
-22331.02734339,0.0022,0.006
-22331.02937193,0.002,0.0088
-22331.03117591,0.0018,0.0088
-22331.03274529,0.0016,0.0083
-22331.03403282,0.0013,0.0057
-22331.03478805,0.00076,0.0052
-22331.03513271,0.00034,0.0035
-22331.03546764,0.00033,0.0038
-22331.0357717,0.0003,0.0042
-22331.03598003,0.00021,0.0023
-22331.03614409,0.00016,0.0017
-22331.03628164,0.00014,0.003
-22331.03643451,0.00015,0.0044
-22331.03657741,0.00014,0.004
-22331.03668978,0.00011,0.002
-22331.03677377,8.4e-05,0.002
-22331.03684527,7.1e-05,0.0017
-22331.03693395,8.9e-05,0.0012
-22331.03700113,6.7e-05,0.0014
-22331.03703941,3.8e-05,0.0012
