energy,energy_error,gradient_error
-22331.03709479,0.0,0.0015
-22331.03710576,1.1e-05,0.0049
-22331.03713605,3e-05,0.002
-22331.03716307,2.7e-05,0.0011
-22331.03717888,1.6e-05,0.0016
-22331.03719197,1.3e-05,0.001
-22331.03720584,1.4e-05,0.0008
-22331.03722328,1.7e-05,0.00072
-22331.03724321,2e-05,0.0011
-22331.03726164,1.8e-05,0.0014
-22331.03728215,2.1e-05,0.0013
-22331.03731088,2.9e-05,0.00087
-22331.03734274,3.2e-05,0.0012
-22331.03736994,2.7e-05,0.0018
-22331.03739722,2.7e-05,0.0016
-22331.03743842,4.1e-05,0.0014
-22331.03747961,4.1e-05,0.0012
-22331.0375225,4.3e-05,0.002
-22331.03757755,5.5e-05,0.0025
-22331.03763537,5.8e-05,0.0025
-22331.03770451,6.9e-05,0.0014
-22331.03776359,5.9e-05,0.0013
-22331.03781179,4.8e-05,0.0018
-22331.03787361,6.2e-05,0.0021
-22331.03793884,6.5e-05,0.0025
-22331.03800422,6.5e-05,0.0016
-22331.03808015,7.6e-05,0.0015
-22331.03813725,5.7e-05,0.0018
-22331.03818706,5e-05,0.0018
-22331.03827794,9.1e-05,0.0019
-22331.03840344,0.00013,0.0032
-22331.03849337,9e-05,0.0018
-22331.03861638,0.00012,0.0018
-22331.0386865,7e-05,0.0021
-22331.03879336,0.00011,0.0025
-22331.03892181,0.00013,0.0027
-22331.03904452,0.00012,0.0024
-22331.03917159,0.00013,0.0018
