energy,step_type
-22326.24756975,scf_step
-22311.74764403,scf_step
-22330.52439982,scf_step
-22330.62343402,scf_step
-22331.00153051,scf_step
-22331.00243103,scf_step
-22331.001094,scf_step
-22330.99918773,scf_step
-22330.99797791,scf_step
-22330.99476826,scf_step
-22330.97600801,scf_step
-22330.97995112,scf_step
-22330.98002243,scf_step
-22330.98001528,scf_step
-22330.98006382,scf_step
-22330.98010868,scf_step
-22330.98011058,scf_step
-22330.98011118,scf_step
-22330.98011186,scf_step
-22330.98011146,BFGS_step
-22330.9800821,scf_step
-22330.98006983,scf_step
-22330.9801206,scf_step
-22330.98011945,scf_step
-22330.98012814,scf_step
-22330.98012899,scf_step
-22330.98012935,BFGS_step
-22330.98019647,scf_step
-22330.98018639,scf_step
-22330.9802035,scf_step
-22330.98020738,scf_step
-22330.98021031,scf_step
-22330.98021047,scf_step
-22330.98021062,scf_step
-22330.98021063,scf_step
-22330.98021063,BFGS_step
-22330.98021411,scf_step
-22330.98021735,scf_step
-22330.98021693,scf_step
-22330.98021905,scf_step
-22330.9802198,scf_step
-22330.98022004,scf_step
-22330.98022006,scf_step
-22330.98022005,BFGS_step
-22330.98025915,scf_step
-22330.980259,scf_step
-22330.98026127,scf_step
-22330.98026189,scf_step
-22330.98026189,scf_step
-22330.98026193,scf_step
-22330.98026196,scf_step
-22330.98026197,BFGS_step
-22330.98029983,scf_step
-22330.98029998,scf_step
-22330.9802998,scf_step
-22330.98030046,scf_step
-22330.98030066,scf_step
-22330.98030073,BFGS_step
-22330.9803358,scf_step
-22330.98033562,scf_step
-22330.98033579,scf_step
-22330.98033638,scf_step
-22330.98033688,scf_step
-22330.98033697,scf_step
-22330.98033698,scf_step
-22330.98033698,BFGS_step
-22330.98036987,scf_step
-22330.98037029,scf_step
-22330.98037015,scf_step
-22330.98037108,scf_step
-22330.98037112,scf_step
-22330.98037125,scf_step
-22330.98037129,scf_step
-22330.98037129,BFGS_step
-22330.98039873,scf_step
-22330.98039779,scf_step
-22330.98039795,scf_step
-22330.98039918,scf_step
-22330.98040056,scf_step
-22330.98040063,scf_step
-22330.98040067,scf_step
-22330.98040066,BFGS_step
-22330.98042673,scf_step
-22330.98042644,scf_step
-22330.98042707,scf_step
-22330.98042756,scf_step
-22330.9804279,scf_step
-22330.98042804,scf_step
-22330.98042806,scf_step
-22330.98042807,scf_step
-22330.98042807,BFGS_step
-22330.98045564,scf_step
-22330.98045634,scf_step
-22330.9804562,scf_step
-22330.98045676,scf_step
-22330.98045677,scf_step
-22330.9804569,scf_step
-22330.98045692,scf_step
-22330.98045691,BFGS_step
-22330.98047104,scf_step
-22330.98047037,scf_step
-22330.98047182,scf_step
-22330.98047161,scf_step
-22330.98047217,scf_step
-22330.98047219,scf_step
-22330.98047221,BFGS_step
-22330.9804893,scf_step
-22330.98048916,scf_step
-22330.9804887,scf_step
-22330.98048979,scf_step
-22330.98049032,scf_step
-22330.98049039,scf_step
-22330.98049041,scf_step
-22330.98049041,scf_step
-22330.98049041,BFGS_step
-22330.9805108,scf_step
-22330.98051151,scf_step
-22330.9805111,scf_step
-22330.98051199,scf_step
-22330.98051244,scf_step
-22330.98051269,scf_step
-22330.98051272,scf_step
-22330.98051272,BFGS_step
-22330.9805309,scf_step
-22330.98053142,scf_step
-22330.98053052,scf_step
-22330.98053216,scf_step
-22330.9805328,scf_step
-22330.98053305,scf_step
-22330.98053308,scf_step
-22330.9805331,scf_step
-22330.9805331,BFGS_step
-22330.98055188,scf_step
-22330.98055279,scf_step
-22330.98055287,scf_step
-22330.98055315,scf_step
-22330.98055326,scf_step
-22330.98055342,scf_step
-22330.98055345,scf_step
-22330.98055345,BFGS_step
-22330.98057602,scf_step
-22330.98057731,scf_step
-22330.98057509,scf_step
-22330.98057816,scf_step
-22330.98057962,scf_step
-22330.98058003,scf_step
-22330.98058008,scf_step
-22330.98058011,scf_step
-22330.98058011,BFGS_step
-22330.98060203,scf_step
-22330.98060417,scf_step
-22330.98060262,scf_step
-22330.98060474,scf_step
-22330.98060587,scf_step
-22330.98060632,scf_step
-22330.9806064,scf_step
-22330.98060641,scf_step
-22330.98060641,BFGS_step
-22330.98063565,scf_step
-22330.98063809,scf_step
-22330.9806323,scf_step
-22330.98064028,scf_step
-22330.98064367,scf_step
-22330.98064422,scf_step
-22330.9806443,scf_step
-22330.98064437,scf_step
-22330.98064438,BFGS_step
-22330.98068209,scf_step
-22330.98068909,scf_step
-22330.98067649,scf_step
-22330.9806929,scf_step
-22330.98069664,scf_step
-22330.98069776,scf_step
-22330.98069798,scf_step
-22330.98069805,scf_step
-22330.98069807,BFGS_step
-22330.98076577,scf_step
-22330.98077425,scf_step
-22330.98075177,scf_step
-22330.98078171,scf_step
-22330.9807861,scf_step
-22330.98078756,scf_step
-22330.98078779,scf_step
-22330.98078792,scf_step
-22330.98078794,BFGS_step
-22330.98084432,scf_step
-22330.98085214,scf_step
-22330.98082482,scf_step
-22330.98086119,scf_step
-22330.98086872,scf_step
-22330.98087018,scf_step
-22330.98087045,scf_step
-22330.98087064,scf_step
-22330.98087069,BFGS_step
-22330.98096119,scf_step
-22330.9809748,scf_step
-22330.98088175,scf_step
-22330.98101045,scf_step
-22330.98101635,scf_step
-22330.98102028,scf_step
-22330.98102097,scf_step
-22330.98102124,scf_step
-22330.98102131,scf_step
-22330.98102133,BFGS_step
-22330.98107364,scf_step
-22330.98108103,scf_step
-22330.98100516,scf_step
-22330.98110979,scf_step
-22330.98111714,scf_step
-22330.98112064,scf_step
-22330.98112082,scf_step
-22330.98112101,scf_step
-22330.98112104,BFGS_step
-22330.98116332,scf_step
-22330.98116808,scf_step
-22330.98115971,scf_step
-22330.98117154,scf_step
-22330.98117607,scf_step
-22330.98117722,scf_step
-22330.98117743,scf_step
-22330.98117747,scf_step
-22330.98117748,BFGS_step
-22330.98125521,scf_step
-22330.98125543,scf_step
-22330.9812486,scf_step
-22330.98125815,scf_step
-22330.9812636,scf_step
-22330.98126434,scf_step
-22330.9812644,scf_step
-22330.98126451,scf_step
-22330.98126452,BFGS_step
-22330.98138321,scf_step
-22330.98138562,scf_step
-22330.98138332,scf_step
-22330.98138589,scf_step
-22330.98138894,scf_step
-22330.98139024,scf_step
-22330.98139033,scf_step
-22330.98139035,BFGS_step
-22330.98151364,scf_step
-22330.98151265,scf_step
-22330.98150453,scf_step
-22330.98151657,scf_step
-22330.98152216,scf_step
-22330.98152301,scf_step
-22330.98152303,scf_step
-22330.98152307,BFGS_step
-22330.98166678,scf_step
-22330.98165961,scf_step
-22330.98166046,scf_step
-22330.9816694,scf_step
-22330.98168053,scf_step
-22330.98168162,scf_step
-22330.98168172,scf_step
-22330.98168187,BFGS_step
-22330.98174338,scf_step
-22330.98173835,scf_step
-22330.9817305,scf_step
-22330.98174529,scf_step
-22330.98175381,scf_step
-22330.98175434,scf_step
-22330.98175441,scf_step
-22330.98175453,scf_step
-22330.98175454,BFGS_step
-22330.98181673,scf_step
-22330.98181279,scf_step
-22330.98177343,scf_step
-22330.98183092,scf_step
-22330.98183515,scf_step
-22330.98183685,scf_step
-22330.98183707,scf_step
-22330.98183724,scf_step
-22330.98183727,scf_step
-22330.98183728,BFGS_step
-22330.98192725,scf_step
-22330.98191959,scf_step
-22330.98187467,scf_step
-22330.98194243,scf_step
-22330.98194952,scf_step
-22330.98195225,scf_step
-22330.98195232,scf_step
-22330.98195246,scf_step
-22330.98195249,BFGS_step
-22330.98211848,scf_step
-22330.98210973,scf_step
-22330.98206071,scf_step
-22330.98213558,scf_step
-22330.98214263,scf_step
-22330.98214615,scf_step
-22330.9821463,scf_step
-22330.98214661,scf_step
-22330.98214665,BFGS_step
-22330.98239306,scf_step
-22330.9823845,scf_step
-22330.9823247,scf_step
-22330.98241578,scf_step
-22330.98242067,scf_step
-22330.98242362,scf_step
-22330.98242402,scf_step
-22330.98242425,scf_step
-22330.98242428,BFGS_step
-22330.98283258,scf_step
-22330.98282711,scf_step
-22330.98276108,scf_step
-22330.98285541,scf_step
-22330.9828629,scf_step
-22330.98286786,scf_step
-22330.98286836,scf_step
-22330.98286858,scf_step
-22330.98286858,BFGS_step
-22330.98310845,scf_step
-22330.98309465,scf_step
-22330.98301439,scf_step
-22330.9831318,scf_step
-22330.98314891,scf_step
-22330.98315385,scf_step
-22330.98315427,scf_step
-22330.98315465,scf_step
-22330.98315473,BFGS_step
-22330.9833776,scf_step
-22330.98336854,scf_step
-22330.98334419,scf_step
-22330.98337965,scf_step
-22330.98339895,scf_step
-22330.98340102,scf_step
-22330.98340157,scf_step
-22330.98340178,scf_step
-22330.98340186,BFGS_step
-22330.98364202,scf_step
-22330.9836389,scf_step
-22330.9836121,scf_step
-22330.98364861,scf_step
-22330.98365487,scf_step
-22330.98365596,scf_step
-22330.98365621,scf_step
-22330.98365628,scf_step
-22330.98365631,BFGS_step
-22330.984064,scf_step
-22330.98407112,scf_step
-22330.98406092,scf_step
-22330.98407584,scf_step
-22330.98408558,scf_step
-22330.98408903,scf_step
-22330.98408937,scf_step
-22330.98408959,scf_step
-22330.98408966,BFGS_step
-22330.9845094,scf_step
-22330.98448417,scf_step
-22330.9843587,scf_step
-22330.98453935,scf_step
-22330.98456563,scf_step
-22330.98457257,scf_step
-22330.98457353,scf_step
-22330.98457377,scf_step
-22330.9845738,BFGS_step
-22330.9848644,scf_step
-22330.98478136,scf_step
-22330.98456041,scf_step
-22330.98492329,scf_step
-22330.98497777,scf_step
-22330.98499394,scf_step
-22330.9849948,scf_step
-22330.98499644,scf_step
-22330.98499668,scf_step
-22330.98499673,BFGS_step
-22330.98527469,scf_step
-22330.98527832,scf_step
-22330.98526953,scf_step
-22330.98528114,scf_step
-22330.9852835,scf_step
-22330.98528415,scf_step
-22330.98528427,scf_step
-22330.9852843,scf_step
-22330.9852843,BFGS_step
-22330.9855084,scf_step
-22330.98549499,scf_step
-22330.98545743,scf_step
-22330.98553014,scf_step
-22330.98553955,scf_step
-22330.98554517,scf_step
-22330.98554531,scf_step
-22330.98554568,scf_step
-22330.9855457,BFGS_step
-22330.98575359,scf_step
-22330.98575779,scf_step
-22330.98575029,scf_step
-22330.98576006,scf_step
-22330.98576484,scf_step
-22330.98576586,scf_step
-22330.98576602,scf_step
-22330.98576611,scf_step
-22330.98576612,BFGS_step
-22330.98603353,scf_step
-22330.98602657,scf_step
-22330.98599111,scf_step
-22330.98605188,scf_step
-22330.98606259,scf_step
-22330.98606627,scf_step
-22330.98606657,scf_step
-22330.98606685,scf_step
-22330.98606688,BFGS_step
-22330.98630552,scf_step
-22330.98630589,scf_step
-22330.9862978,scf_step
-22330.9863092,scf_step
-22330.98631658,scf_step
-22330.98631799,scf_step
-22330.98631825,scf_step
-22330.98631831,scf_step
-22330.98631835,BFGS_step
-22330.98648226,scf_step
-22330.98647493,scf_step
-22330.9864542,scf_step
-22330.98648759,scf_step
-22330.98649307,scf_step
-22330.98649374,scf_step
-22330.98649395,scf_step
-22330.98649405,scf_step
-22330.98649408,BFGS_step
-22330.98674792,scf_step
-22330.9867294,scf_step
-22330.9866771,scf_step
-22330.98676547,scf_step
-22330.98677197,scf_step
-22330.98677436,scf_step
-22330.98677485,scf_step
-22330.98677501,scf_step
-22330.98677505,BFGS_step
-22330.98706271,scf_step
-22330.98703954,scf_step
-22330.98698877,scf_step
-22330.98708313,scf_step
-22330.98709251,scf_step
-22330.98709614,scf_step
-22330.98709662,scf_step
-22330.9870968,scf_step
-22330.98709682,BFGS_step
-22330.98730191,scf_step
-22330.98726108,scf_step
-22330.98721365,scf_step
-22330.98732247,scf_step
-22330.98733951,scf_step
-22330.98734267,scf_step
-22330.98734337,scf_step
-22330.98734371,scf_step
-22330.98734383,BFGS_step
-22330.98757898,scf_step
-22330.98755941,scf_step
-22330.98754345,scf_step
-22330.98758863,scf_step
-22330.98759612,scf_step
-22330.98759778,scf_step
-22330.98759808,scf_step
-22330.9875982,scf_step
-22330.98759825,BFGS_step
-22330.9877841,scf_step
-22330.98775999,scf_step
-22330.98774289,scf_step
-22330.9877968,scf_step
-22330.98780181,scf_step
-22330.98780415,scf_step
-22330.98780443,scf_step
-22330.98780452,scf_step
-22330.98780454,BFGS_step
-22330.98801187,scf_step
-22330.98800818,scf_step
-22330.98800541,scf_step
-22330.9880178,scf_step
-22330.98802277,scf_step
-22330.98802396,scf_step
-22330.98802406,scf_step
-22330.98802417,scf_step
-22330.98802417,BFGS_step
-22330.98819858,scf_step
-22330.98817958,scf_step
-22330.98816991,scf_step
-22330.98821538,scf_step
-22330.98821894,scf_step
-22330.98822198,scf_step
-22330.98822217,scf_step
-22330.98822228,scf_step
-22330.98822227,BFGS_step
-22330.98841954,scf_step
-22330.98842019,scf_step
-22330.98842102,scf_step
-22330.98842929,scf_step
-22330.98843262,scf_step
-22330.98843398,scf_step
-22330.98843403,scf_step
-22330.98843412,scf_step
-22330.98843412,BFGS_step
