energy,energy_error,gradient_error
-22330.98141651,0.0,0.0083
-22330.9814314,1.5e-05,0.0072
-22330.98148293,5.2e-05,0.0025
-22330.98150323,2e-05,0.005
-22330.9815424,3.9e-05,0.0064
-22330.98159559,5.3e-05,0.0035
-22330.98163688,4.1e-05,0.0021
-22330.98168277,4.6e-05,0.0034
-22330.98173675,5.4e-05,0.0042
-22330.98179476,5.8e-05,0.0037
-22330.98186548,7.1e-05,0.0031
-22330.98195788,9.2e-05,0.003
-22330.9820408,8.3e-05,0.0046
-22330.98211225,7.1e-05,0.0041
-22330.98225232,0.00014,0.003
-22330.98232342,7.1e-05,0.0027
-22330.98241,8.7e-05,0.0029
-22330.9824567,4.7e-05,0.0037
-22330.98251792,6.1e-05,0.0032
-22330.98256828,5e-05,0.0024
-22330.98260144,3.3e-05,0.0028
-22330.98262353,2.2e-05,0.0051
-22330.98265386,3e-05,0.0019
-22330.98266596,1.2e-05,0.0008
-22330.98267982,1.4e-05,0.003
-22330.98269317,1.3e-05,0.0027
-22330.98271,1.7e-05,0.0021
-22330.98272909,1.9e-05,0.0016
-22330.98275495,2.6e-05,0.00064
-22330.98277845,2.4e-05,0.00077
-22330.9827947,1.6e-05,0.0012
-22330.98281397,1.9e-05,0.0016
-22330.98283488,2.1e-05,0.0017
-22330.98287815,4.3e-05,0.0019
-22330.9829256,4.7e-05,0.0015
-22330.98296501,3.9e-05,0.0014
-22330.98300647,4.1e-05,0.0015
-22330.9830603,5.4e-05,0.0016
-22330.98311922,5.9e-05,0.0025
-22330.98320367,8.4e-05,0.0029
-22330.98334319,0.00014,0.0031
-22330.98348309,0.00014,0.0038
-22330.98367546,0.00019,0.0049
-22330.98403581,0.00036,0.0055
-22330.98439882,0.00036,0.0049
-22330.98476593,0.00037,0.0046
-22330.98501673,0.00025,0.0064
-22330.98526428,0.00025,0.0045
-22330.98549503,0.00023,0.0044
-22330.98569813,0.0002,0.004
-22330.98595699,0.00026,0.0031
-22330.98613284,0.00018,0.0033
-22330.98641903,0.00029,0.0042
-22330.98662684,0.00021,0.0049
-22330.98708103,0.00045,0.0056
-22330.9875046,0.00042,0.0045
-22330.9878985,0.00039,0.0059
-22330.98840485,0.00051,0.0061
-22330.98889324,0.00049,0.0046
-22330.9893138,0.00042,0.0041
-22330.98972204,0.00041,0.0067
-22330.99020532,0.00048,0.0083
-22330.99078146,0.00058,0.006
-22330.99113498,0.00035,0.0046
-22330.99173041,0.0006,0.0055
-22330.9924524,0.00072,0.0072
-22330.99307457,0.00062,0.0086
-22330.99400728,0.00093,0.0051
-22330.99481273,0.00081,0.0041
-22330.99555366,0.00074,0.0061
-22330.99655715,0.001,0.0055
-22330.99800371,0.0014,0.013
-22330.99966193,0.0017,0.014
-22331.00147024,0.0018,0.011
-22331.00324128,0.0018,0.016
-22331.00536966,0.0021,0.013
-22331.00834318,0.003,0.021
-22331.0127983,0.0045,0.029
-22331.01534249,0.0025,0.024
-22331.01895642,0.0036,0.025
-22331.0215549,0.0026,0.014
-22331.02521285,0.0037,0.013
-22331.02877064,0.0036,0.017
-22331.03176391,0.003,0.015
-22331.03385945,0.0021,0.0098
-22331.03571485,0.0019,0.013
-22331.03681304,0.0011,0.011
-22331.03819279,0.0014,0.011
-22331.03959301,0.0014,0.0088
-22331.04063745,0.001,0.011
-22331.04122157,0.00058,0.0083
-22331.04181745,0.0006,0.0049
-22331.04237156,0.00055,0.0091
-22331.04283536,0.00046,0.0082
-22331.0431665,0.00033,0.0045
-22331.04344582,0.00028,0.0029
-22331.04374102,0.0003,0.0065
-22331.04404472,0.0003,0.0087
-22331.04426028,0.00022,0.0061
-22331.0444277,0.00017,0.0019
