energy,energy_error,gradient_error
-22331.04686744,0.0,0.0011
-22331.0468665,9.4e-07,0.0041
-22331.0468688,1.4e-06,0.0018
-22331.04687606,7.3e-06,0.0018
-22331.0468834,7.3e-06,0.0041
-22331.04689767,1.4e-05,0.0016
-22331.04690666,9e-06,0.0019
-22331.04691393,7.3e-06,0.0017
-22331.04692069,6.8e-06,0.0013
-22331.0469291,8.4e-06,0.0008
-22331.04693884,9.7e-06,0.00059
-22331.04694744,8.6e-06,0.001
-22331.04695325,5.8e-06,0.001
-22331.04696545,1.2e-05,0.00071
-22331.04698445,1.9e-05,0.00088
-22331.04700636,2.2e-05,0.0018
-22331.04702938,2.3e-05,0.0014
-22331.04705249,2.3e-05,0.0014
-22331.04708431,3.2e-05,0.00069
-22331.04711284,2.9e-05,0.00098
-22331.04713127,1.8e-05,0.001
-22331.04715455,2.3e-05,0.0014
-22331.04719631,4.2e-05,0.0018
-22331.04725096,5.5e-05,0.0018
-22331.04728954,3.9e-05,0.0018
-22331.0473305,4.1e-05,0.0016
-22331.04737829,4.8e-05,0.0019
-22331.04742996,5.2e-05,0.0019
-22331.0475055,7.6e-05,0.0021
-22331.04758272,7.7e-05,0.0022
