energy,energy_error,gradient_error
-22331.01002611,0.0,0.0061
-22331.00996768,5.8e-05,0.02
-22331.01007168,4.6e-05,0.0046
-22331.01011662,4.5e-05,0.0075
-22331.01025799,0.00014,0.0036
-22331.01036633,0.00011,0.0035
-22331.01049458,0.00013,0.0045
-22331.01065675,0.00016,0.0052
-22331.01086242,0.00021,0.0051
-22331.01110373,0.00024,0.0067
-22331.01136293,0.00026,0.0061
-22331.01157938,0.00022,0.0051
-22331.01198243,0.0004,0.0056
-22331.01229683,0.00031,0.007
-22331.01251735,0.00022,0.0071
-22331.012816,0.0003,0.0053
-22331.01314205,0.00033,0.0046
-22331.01330394,0.00016,0.0057
-22331.01347402,0.00017,0.0056
-22331.01379774,0.00032,0.0055
-22331.01405748,0.00026,0.0055
-22331.0143323,0.00027,0.0051
-22331.01469784,0.00037,0.0061
-22331.01513301,0.00044,0.0062
-22331.01549177,0.00036,0.0063
-22331.01588743,0.0004,0.0041
-22331.01627805,0.00039,0.0053
-22331.01670489,0.00043,0.007
-22331.01713063,0.00043,0.0057
-22331.01744303,0.00031,0.0041
-22331.017742,0.0003,0.0046
-22331.01801679,0.00027,0.0048
-22331.01837547,0.00036,0.0056
-22331.01876815,0.00039,0.0067
-22331.01922899,0.00046,0.01
-22331.0198635,0.00063,0.0096
-22331.02038868,0.00053,0.0054
-22331.02072854,0.00034,0.0055
-22331.02104301,0.00031,0.0051
-22331.02127503,0.00023,0.0047
-22331.02149015,0.00022,0.0041
-22331.02173637,0.00025,0.0037
-22331.0219071,0.00017,0.0044
-22331.02210592,0.0002,0.0041
-22331.02229704,0.00019,0.0045
-22331.02253846,0.00024,0.0053
-22331.02284871,0.00031,0.0056
-22331.02304926,0.0002,0.0052
-22331.02325012,0.0002,0.0043
-22331.0234247,0.00017,0.0056
-22331.02366075,0.00024,0.006
-22331.02384668,0.00019,0.0052
-22331.02408795,0.00024,0.0034
-22331.02425902,0.00017,0.0039
-22331.02440999,0.00015,0.0035
-22331.02461122,0.0002,0.0045
-22331.0248363,0.00023,0.0039
-22331.02508466,0.00025,0.0053
-22331.02528885,0.0002,0.0051
-22331.02545695,0.00017,0.0041
-22331.02570458,0.00025,0.0031
-22331.0259247,0.00022,0.0052
-22331.02620685,0.00028,0.008
-22331.02662056,0.00041,0.0085
-22331.0271252,0.0005,0.0062
-22331.02758626,0.00046,0.0074
-22331.02782864,0.00024,0.004
-22331.02805894,0.00023,0.0029
-22331.02856582,0.00051,0.0031
-22331.02896957,0.0004,0.0072
-22331.02929354,0.00032,0.0058
-22331.02978432,0.00049,0.0037
-22331.03035047,0.00057,0.0058
-22331.03091383,0.00056,0.0074
-22331.03157039,0.00066,0.0073
-22331.03210228,0.00053,0.0059
-22331.03262928,0.00053,0.0052
-22331.03319463,0.00057,0.0054
-22331.03384023,0.00065,0.0072
-22331.03436941,0.00053,0.0065
-22331.03483936,0.00047,0.0045
-22331.03531544,0.00048,0.0054
-22331.03575698,0.00044,0.0059
-22331.0364423,0.00069,0.0066
-22331.03694221,0.0005,0.0083
-22331.03739624,0.00045,0.0082
-22331.03831826,0.00092,0.0049
-22331.03931593,0.001,0.006
-22331.04042996,0.0011,0.01
-22331.04180746,0.0014,0.011
-22331.04340023,0.0016,0.0089
-22331.04471527,0.0013,0.0072
-22331.04619691,0.0015,0.0089
-22331.04796685,0.0018,0.017
-22331.05026532,0.0023,0.023
-22331.05224865,0.002,0.012
-22331.05370667,0.0015,0.0096
-22331.05493609,0.0012,0.014
-22331.05670021,0.0018,0.018
-22331.05887068,0.0022,0.017
