energy,step_type
-22326.80542115,scf_step
-22313.93307522,scf_step
-22330.00293055,scf_step
-22330.8465433,scf_step
-22331.02085488,scf_step
-22331.01796305,scf_step
-22331.01643411,scf_step
-22331.01857498,scf_step
-22331.01801614,scf_step
-22331.01574195,scf_step
-22331.00746149,scf_step
-22331.00978514,scf_step
-22331.00995898,scf_step
-22331.00997696,scf_step
-22331.01001899,scf_step
-22331.01002469,scf_step
-22331.0100254,scf_step
-22331.01002553,scf_step
-22331.01002591,scf_step
-22331.01002601,scf_step
-22331.01002611,BFGS_step
-22331.00993497,scf_step
-22331.00994942,scf_step
-22331.00994546,scf_step
-22331.00996128,scf_step
-22331.0099663,scf_step
-22331.00996789,scf_step
-22331.00996768,BFGS_step
-22331.01004742,scf_step
-22331.01004185,scf_step
-22331.01006744,scf_step
-22331.01006944,scf_step
-22331.01006988,scf_step
-22331.01007168,BFGS_step
-22331.01007481,scf_step
-22331.01000691,scf_step
-22331.01010722,scf_step
-22331.01011303,scf_step
-22331.01011573,scf_step
-22331.01011642,scf_step
-22331.01011656,scf_step
-22331.0101166,scf_step
-22331.01011662,BFGS_step
-22331.01025236,scf_step
-22331.01025539,scf_step
-22331.01025325,scf_step
-22331.01025631,scf_step
-22331.01025761,scf_step
-22331.01025794,scf_step
-22331.01025799,scf_step
-22331.01025799,BFGS_step
-22331.01036314,scf_step
-22331.01036436,scf_step
-22331.01036222,scf_step
-22331.01036512,scf_step
-22331.01036615,scf_step
-22331.01036629,scf_step
-22331.01036633,BFGS_step
-22331.01048822,scf_step
-22331.01049073,scf_step
-22331.01048699,scf_step
-22331.01049215,scf_step
-22331.01049426,scf_step
-22331.0104945,scf_step
-22331.0104946,scf_step
-22331.01049458,BFGS_step
-22331.01064315,scf_step
-22331.01064241,scf_step
-22331.01063569,scf_step
-22331.0106499,scf_step
-22331.01065604,scf_step
-22331.01065641,scf_step
-22331.01065665,scf_step
-22331.01065673,scf_step
-22331.01065675,BFGS_step
-22331.01083506,scf_step
-22331.01084731,scf_step
-22331.01082024,scf_step
-22331.0108562,scf_step
-22331.01086082,scf_step
-22331.01086178,scf_step
-22331.01086239,scf_step
-22331.01086242,BFGS_step
-22331.01104152,scf_step
-22331.01107016,scf_step
-22331.01101138,scf_step
-22331.01108832,scf_step
-22331.01110004,scf_step
-22331.01110232,scf_step
-22331.01110364,scf_step
-22331.01110369,scf_step
-22331.01110373,scf_step
-22331.01110373,BFGS_step
-22331.01115637,scf_step
-22331.01124732,scf_step
-22331.01104577,scf_step
-22331.01131306,scf_step
-22331.01135076,scf_step
-22331.01135845,scf_step
-22331.01136249,scf_step
-22331.01136267,scf_step
-22331.01136292,scf_step
-22331.01136293,BFGS_step
-22331.01152918,scf_step
-22331.01154743,scf_step
-22331.01148864,scf_step
-22331.01156729,scf_step
-22331.01157606,scf_step
-22331.01157829,scf_step
-22331.01157916,scf_step
-22331.01157931,scf_step
-22331.01157938,BFGS_step
-22331.01194544,scf_step
-22331.01195213,scf_step
-22331.0119049,scf_step
-22331.01197113,scf_step
-22331.01197886,scf_step
-22331.01198161,scf_step
-22331.01198223,scf_step
-22331.01198238,scf_step
-22331.01198243,BFGS_step
-22331.01220777,scf_step
-22331.01221842,scf_step
-22331.01207042,scf_step
-22331.01228177,scf_step
-22331.01229018,scf_step
-22331.01229496,scf_step
-22331.01229651,scf_step
-22331.01229669,scf_step
-22331.01229683,scf_step
-22331.01229683,BFGS_step
-22331.01236512,scf_step
-22331.012421,scf_step
-22331.01222409,scf_step
-22331.01249505,scf_step
-22331.01250851,scf_step
-22331.01251453,scf_step
-22331.0125171,scf_step
-22331.01251724,scf_step
-22331.01251733,scf_step
-22331.01251735,BFGS_step
-22331.01268479,scf_step
-22331.01272609,scf_step
-22331.01255032,scf_step
-22331.01279826,scf_step
-22331.01280789,scf_step
-22331.01281366,scf_step
-22331.01281557,scf_step
-22331.01281586,scf_step
-22331.01281598,scf_step
-22331.012816,BFGS_step
-22331.01296949,scf_step
-22331.01301953,scf_step
-22331.01278603,scf_step
-22331.01312397,scf_step
-22331.01313298,scf_step
-22331.01313913,scf_step
-22331.0131417,scf_step
-22331.01314195,scf_step
-22331.01314201,scf_step
-22331.01314205,BFGS_step
-22331.01320682,scf_step
-22331.01322641,scf_step
-22331.01308858,scf_step
-22331.01328937,scf_step
-22331.01329711,scf_step
-22331.01330248,scf_step
-22331.01330351,scf_step
-22331.01330385,scf_step
-22331.01330393,scf_step
-22331.01330394,BFGS_step
-22331.0134201,scf_step
-22331.01342905,scf_step
-22331.0133445,scf_step
-22331.01346868,scf_step
-22331.01347088,scf_step
-22331.01347341,scf_step
-22331.013474,scf_step
-22331.01347406,scf_step
-22331.01347402,BFGS_step
-22331.01371911,scf_step
-22331.01369421,scf_step
-22331.01360956,scf_step
-22331.01377596,scf_step
-22331.01379399,scf_step
-22331.01379658,scf_step
-22331.01379736,scf_step
-22331.01379767,scf_step
-22331.01379774,BFGS_step
-22331.01386864,scf_step
-22331.01391003,scf_step
-22331.01363617,scf_step
-22331.01403306,scf_step
-22331.01404719,scf_step
-22331.01405436,scf_step
-22331.01405716,scf_step
-22331.01405734,scf_step
-22331.01405747,scf_step
-22331.01405748,BFGS_step
-22331.01409493,scf_step
-22331.01416088,scf_step
-22331.01382457,scf_step
-22331.01430313,scf_step
-22331.01431811,scf_step
-22331.01432802,scf_step
-22331.01433164,scf_step
-22331.01433203,scf_step
-22331.01433229,scf_step
-22331.0143323,BFGS_step
-22331.01412567,scf_step
-22331.01426642,scf_step
-22331.01341761,scf_step
-22331.01463869,scf_step
-22331.01466613,scf_step
-22331.01468901,scf_step
-22331.01469717,scf_step
-22331.01469759,scf_step
-22331.01469774,scf_step
-22331.01469784,scf_step
-22331.01469784,BFGS_step
-22331.01450408,scf_step
-22331.01457045,scf_step
-22331.01360012,scf_step
-22331.01505894,scf_step
-22331.01509333,scf_step
-22331.01512318,scf_step
-22331.01513083,scf_step
-22331.01513232,scf_step
-22331.01513295,scf_step
-22331.015133,scf_step
-22331.01513301,BFGS_step
-22331.01531227,scf_step
-22331.01533632,scf_step
-22331.01507661,scf_step
-22331.01547142,scf_step
-22331.01547979,scf_step
-22331.01548905,scf_step
-22331.01549112,scf_step
-22331.01549161,scf_step
-22331.01549177,scf_step
-22331.01549177,BFGS_step
-22331.01569266,scf_step
-22331.01575374,scf_step
-22331.01550397,scf_step
-22331.01586365,scf_step
-22331.01587497,scf_step
-22331.01588459,scf_step
-22331.01588681,scf_step
-22331.01588723,scf_step
-22331.01588742,scf_step
-22331.01588743,BFGS_step
-22331.0161506,scf_step
-22331.01621259,scf_step
-22331.01609109,scf_step
-22331.01625785,scf_step
-22331.01626962,scf_step
-22331.01627623,scf_step
-22331.01627787,scf_step
-22331.01627804,scf_step
-22331.01627807,scf_step
-22331.01627805,BFGS_step
-22331.01644692,scf_step
-22331.01658511,scf_step
-22331.01635289,scf_step
-22331.01665817,scf_step
-22331.01668608,scf_step
-22331.01670073,scf_step
-22331.01670371,scf_step
-22331.01670466,scf_step
-22331.01670485,scf_step
-22331.01670489,BFGS_step
-22331.01675739,scf_step
-22331.01700363,scf_step
-22331.01672686,scf_step
-22331.01708428,scf_step
-22331.01711182,scf_step
-22331.0171231,scf_step
-22331.01712979,scf_step
-22331.01713037,scf_step
-22331.01713055,scf_step
-22331.01713063,BFGS_step
-22331.01729012,scf_step
-22331.01739288,scf_step
-22331.01729227,scf_step
-22331.01741567,scf_step
-22331.01743172,scf_step
-22331.01744052,scf_step
-22331.01744249,scf_step
-22331.01744289,scf_step
-22331.01744303,scf_step
-22331.01744303,BFGS_step
-22331.01754228,scf_step
-22331.01764611,scf_step
-22331.01743019,scf_step
-22331.01771947,scf_step
-22331.01772892,scf_step
-22331.01773893,scf_step
-22331.0177417,scf_step
