energy,step_type
-22326.24342607,scf_step
-22311.58306851,scf_step
-22330.50020605,scf_step
-22330.61917999,scf_step
-22330.99955889,scf_step
-22331.00088482,scf_step
-22330.99981329,scf_step
-22330.99801122,scf_step
-22330.99706854,scf_step
-22330.9936951,scf_step
-22330.9748659,scf_step
-22330.97850355,scf_step
-22330.97855642,scf_step
-22330.9785613,scf_step
-22330.97862669,scf_step
-22330.97867119,scf_step
-22330.97867344,scf_step
-22330.97867573,scf_step
-22330.97867637,scf_step
-22330.97867651,scf_step
-22330.97867668,BFGS_step
-22330.97867152,scf_step
-22330.97867249,scf_step
-22330.97867193,scf_step
-22330.97867721,scf_step
-22330.97867947,scf_step
-22330.9786799,BFGS_step
-22330.97871166,scf_step
-22330.9787089,scf_step
-22330.97871704,scf_step
-22330.97871674,scf_step
-22330.97871873,scf_step
-22330.97871887,scf_step
-22330.97871895,scf_step
-22330.97871895,scf_step
-22330.97871895,BFGS_step
-22330.97868261,scf_step
-22330.9786872,scf_step
-22330.97868463,scf_step
-22330.97869093,scf_step
-22330.97869184,scf_step
-22330.97869211,scf_step
-22330.97869216,scf_step
-22330.97869217,scf_step
-22330.97869217,BFGS_step
-22330.97872561,scf_step
-22330.97872723,scf_step
-22330.97872589,scf_step
-22330.97872923,scf_step
-22330.97872954,scf_step
-22330.97872961,scf_step
-22330.97872963,BFGS_step
-22330.97874969,scf_step
-22330.97874961,scf_step
-22330.97875008,scf_step
-22330.97875014,scf_step
-22330.97875032,scf_step
-22330.97875036,scf_step
-22330.97875037,scf_step
-22330.97875037,BFGS_step
-22330.97876952,scf_step
-22330.97876944,scf_step
-22330.97876962,scf_step
-22330.97876964,scf_step
-22330.9787698,scf_step
-22330.97876981,scf_step
-22330.97876981,BFGS_step
-22330.97879221,scf_step
-22330.97879194,scf_step
-22330.97879268,scf_step
-22330.9787928,scf_step
-22330.9787928,scf_step
-22330.97879284,scf_step
-22330.97879286,scf_step
-22330.97879286,BFGS_step
-22330.97881724,scf_step
-22330.97881695,scf_step
-22330.97881658,scf_step
-22330.97881752,scf_step
-22330.97881788,scf_step
-22330.9788179,scf_step
-22330.97881791,scf_step
-22330.97881792,BFGS_step
-22330.97883918,scf_step
-22330.97883895,scf_step
-22330.978838,scf_step
-22330.97883958,scf_step
-22330.9788403,scf_step
-22330.97884039,scf_step
-22330.97884041,scf_step
-22330.97884042,scf_step
-22330.97884042,BFGS_step
-22330.97885478,scf_step
-22330.9788547,scf_step
-22330.97885378,scf_step
-22330.97885499,scf_step
-22330.97885533,scf_step
-22330.97885542,scf_step
-22330.97885543,scf_step
-22330.97885543,BFGS_step
-22330.97887177,scf_step
-22330.97886934,scf_step
-22330.97886788,scf_step
-22330.97887166,scf_step
-22330.97887511,scf_step
-22330.97887538,scf_step
-22330.97887544,scf_step
-22330.97887547,scf_step
-22330.97887548,BFGS_step
-22330.97890308,scf_step
-22330.9789032,scf_step
-22330.97890311,scf_step
-22330.97890336,scf_step
-22330.97890368,scf_step
-22330.97890378,scf_step
-22330.97890379,scf_step
-22330.97890379,BFGS_step
-22330.97892806,scf_step
-22330.97892766,scf_step
-22330.9789282,scf_step
-22330.97892826,scf_step
-22330.97892884,scf_step
-22330.9789289,scf_step
-22330.97892892,scf_step
-22330.97892892,BFGS_step
-22330.97895248,scf_step
-22330.97895226,scf_step
-22330.9789513,scf_step
-22330.9789528,scf_step
-22330.9789534,scf_step
-22330.97895362,scf_step
-22330.97895363,scf_step
-22330.97895364,scf_step
-22330.97895364,BFGS_step
-22330.97897292,scf_step
-22330.97897216,scf_step
-22330.97896993,scf_step
-22330.97897343,scf_step
-22330.97897395,scf_step
-22330.97897428,scf_step
-22330.9789743,scf_step
-22330.97897431,scf_step
-22330.9789743,BFGS_step
-22330.97899138,scf_step
-22330.97899004,scf_step
-22330.97898808,scf_step
-22330.97899131,scf_step
-22330.97899254,scf_step
-22330.97899281,scf_step
-22330.97899282,scf_step
-22330.97899284,scf_step
-22330.97899284,BFGS_step
-22330.97901714,scf_step
-22330.97901546,scf_step
-22330.97901258,scf_step
-22330.9790176,scf_step
-22330.97901832,scf_step
-22330.97901866,scf_step
-22330.97901869,scf_step
-22330.97901871,scf_step
-22330.97901871,BFGS_step
-22330.979049,scf_step
-22330.97904632,scf_step
-22330.97904159,scf_step
-22330.97905034,scf_step
-22330.97905114,scf_step
-22330.97905168,scf_step
-22330.97905172,scf_step
-22330.97905174,scf_step
-22330.97905174,BFGS_step
-22330.97907674,scf_step
-22330.97907099,scf_step
-22330.97906305,scf_step
-22330.97907795,scf_step
-22330.97908122,scf_step
-22330.97908205,scf_step
-22330.97908213,scf_step
-22330.97908219,scf_step
-22330.97908219,BFGS_step
-22330.97910099,scf_step
-22330.97909769,scf_step
-22330.97909448,scf_step
-22330.97910172,scf_step
-22330.97910322,scf_step
-22330.97910377,scf_step
-22330.97910384,scf_step
-22330.97910386,scf_step
-22330.97910386,BFGS_step
-22330.97913034,scf_step
-22330.97912617,scf_step
-22330.97912155,scf_step
-22330.97913116,scf_step
-22330.97913294,scf_step
-22330.97913356,scf_step
-22330.97913359,scf_step
-22330.97913363,scf_step
-22330.97913363,BFGS_step
-22330.97916909,scf_step
-22330.97916028,scf_step
-22330.97914811,scf_step
-22330.97917167,scf_step
-22330.97917409,scf_step
-22330.9791756,scf_step
-22330.97917569,scf_step
-22330.97917575,scf_step
-22330.97917577,scf_step
-22330.97917577,BFGS_step
-22330.97922558,scf_step
-22330.97920634,scf_step
-22330.97917542,scf_step
-22330.97923319,scf_step
-22330.97923699,scf_step
-22330.97923963,scf_step
-22330.97923971,scf_step
-22330.97923981,scf_step
-22330.97923984,BFGS_step
-22330.97932059,scf_step
-22330.97926921,scf_step
-22330.97919276,scf_step
-22330.97934158,scf_step
-22330.97935118,scf_step
-22330.9793592,scf_step
-22330.97935945,scf_step
-22330.97935983,scf_step
-22330.97935993,scf_step
-22330.97935994,BFGS_step
-22330.97938311,scf_step
-22330.97928648,scf_step
-22330.97912499,scf_step
-22330.97942057,scf_step
-22330.97944184,scf_step
-22330.97945582,scf_step
-22330.97945612,scf_step
-22330.97945658,scf_step
-22330.97945682,scf_step
-22330.97945683,BFGS_step
-22330.97948217,scf_step
-22330.97929816,scf_step
-22330.97900404,scf_step
-22330.97953716,scf_step
-22330.97957683,scf_step
-22330.9796012,scf_step
-22330.97960176,scf_step
-22330.97960241,scf_step
-22330.9796028,scf_step
-22330.97960282,BFGS_step
-22330.97965662,scf_step
-22330.97943353,scf_step
-22330.97907162,scf_step
-22330.9797155,scf_step
-22330.97976438,scf_step
-22330.97979263,scf_step
-22330.97979351,scf_step
-22330.97979397,scf_step
-22330.97979438,scf_step
-22330.9797944,BFGS_step
-22330.97977715,scf_step
-22330.97926095,scf_step
-22330.97844122,scf_step
-22330.9799055,scf_step
-22330.98001926,scf_step
-22330.98008184,scf_step
-22330.98008408,scf_step
-22330.98008519,scf_step
-22330.98008599,scf_step
-22330.98008614,scf_step
-22330.98008615,BFGS_step
-22330.98022607,scf_step
-22330.9799496,scf_step
-22330.97948234,scf_step
-22330.98027903,scf_step
-22330.98035247,scf_step
-22330.98038463,scf_step
-22330.98038569,scf_step
-22330.9803873,scf_step
-22330.98038782,scf_step
-22330.9803879,scf_step
-22330.98038791,BFGS_step
-22330.9807122,scf_step
-22330.98065642,scf_step
-22330.98060106,scf_step
-22330.98076076,scf_step
-22330.98076762,scf_step
-22330.98077585,scf_step
-22330.98077645,scf_step
-22330.98077659,scf_step
-22330.98077673,scf_step
-22330.98077675,BFGS_step
-22330.98109413,scf_step
-22330.9810933,scf_step
-22330.98106867,scf_step
-22330.98110397,scf_step
-22330.98110578,scf_step
-22330.98110719,scf_step
-22330.98110732,scf_step
-22330.98110737,scf_step
-22330.98110736,BFGS_step
-22330.98144106,scf_step
-22330.98141977,scf_step
-22330.98135023,scf_step
-22330.98145907,scf_step
-22330.98147023,scf_step
-22330.98147753,scf_step
-22330.98147784,scf_step
-22330.98147808,scf_step
-22330.98147816,scf_step
-22330.98147817,BFGS_step
-22330.98188032,scf_step
-22330.98182397,scf_step
-22330.98162587,scf_step
-22330.98195034,scf_step
-22330.98197212,scf_step
-22330.98198664,scf_step
-22330.98198779,scf_step
-22330.98198791,scf_step
-22330.98198803,scf_step
-22330.98198804,BFGS_step
-22330.98240504,scf_step
-22330.98241268,scf_step
-22330.98241366,scf_step
-22330.98242379,scf_step
-22330.98242567,scf_step
-22330.98242607,scf_step
-22330.982427,scf_step
-22330.982427,BFGS_step
-22330.98262842,scf_step
-22330.98228897,scf_step
-22330.98192582,scf_step
-22330.98279587,scf_step
-22330.98284663,scf_step
-22330.98289328,scf_step
-22330.98289444,scf_step
-22330.98289659,scf_step
-22330.98289721,scf_step
-22330.98289725,BFGS_step
-22330.98339197,scf_step
-22330.98334424,scf_step
-22330.98321483,scf_step
-22330.98343163,scf_step
-22330.98344458,scf_step
-22330.98345416,scf_step
-22330.98345446,scf_step
-22330.98345487,scf_step
-22330.983455,BFGS_step
-22330.98398754,scf_step
-22330.98399983,scf_step
-22330.98398008,scf_step
-22330.98400131,scf_step
-22330.98401432,scf_step
-22330.98401992,scf_step
-22330.98402029,scf_step
-22330.98402046,scf_step
-22330.98402047,BFGS_step
-22330.9842033,scf_step
-22330.98390212,scf_step
-22330.98344831,scf_step
-22330.9842589,scf_step
-22330.9843482,scf_step
-22330.98438472,scf_step
-22330.98438597,scf_step
-22330.98438837,scf_step
-22330.98438892,scf_step
-22330.98438898,BFGS_step
