,index,energy,energy_error,gradient_error
0,0,-22330.98011146,0.0,0.012
1,1,-22330.98012935,1.8e-05,0.012
2,2,-22330.98021063,8.1e-05,0.0028
3,3,-22330.98022005,9.4e-06,0.011
4,4,-22330.98026197,4.2e-05,0.0044
5,5,-22330.98030073,3.9e-05,0.0025
6,6,-22330.98033698,3.6e-05,0.0031
7,7,-22330.98037129,3.4e-05,0.0036
8,8,-22330.98040066,2.9e-05,0.0027
9,9,-22330.98042807,2.7e-05,0.0019
10,10,-22330.98045691,2.9e-05,0.0019
11,11,-22330.98047221,1.5e-05,0.0019
12,12,-22330.98049041,1.8e-05,0.0021
13,13,-22330.98051272,2.2e-05,0.0015
14,14,-22330.9805331,2e-05,0.002
15,15,-22330.98055345,2e-05,0.0017
16,16,-22330.98058011,2.7e-05,0.003
17,17,-22330.98060641,2.6e-05,0.0025
18,18,-22330.98064438,3.8e-05,0.0026
19,19,-22330.98069807,5.4e-05,0.0031
20,20,-22330.98078794,9e-05,0.0035
21,21,-22330.98087069,8.3e-05,0.0043
22,22,-22330.98102133,0.00015,0.0043
23,23,-22330.98112104,0.0001,0.0038
24,24,-22330.98117748,5.6e-05,0.0038
25,25,-22330.98126452,8.7e-05,0.0046
26,26,-22330.98139035,0.00013,0.0071
27,27,-22330.98152307,0.00013,0.0069
28,28,-22330.98168187,0.00016,0.0019
29,29,-22330.98175454,7.3e-05,0.002
30,30,-22330.98183728,8.3e-05,0.0032
31,31,-22330.98195249,0.00012,0.0043
32,32,-22330.98214665,0.00019,0.0066
33,33,-22330.98242428,0.00028,0.0075
34,34,-22330.98286858,0.00044,0.0074
35,35,-22330.98315473,0.00029,0.0041
36,36,-22330.98340186,0.00025,0.0027
37,37,-22330.98365631,0.00025,0.0046
38,38,-22330.98408966,0.00043,0.0096
39,39,-22330.9845738,0.00048,0.01
40,40,-22330.98499673,0.00042,0.0047
41,41,-22330.9852843,0.00029,0.0037
42,42,-22330.9855457,0.00026,0.0057
43,43,-22330.98576612,0.00022,0.0066
44,44,-22330.98606688,0.0003,0.0038
45,45,-22330.98631835,0.00025,0.0036
46,46,-22330.98649408,0.00018,0.0044
47,47,-22330.98677505,0.00028,0.0059
48,48,-22330.98709682,0.00032,0.0048
49,49,-22330.98734383,0.00025,0.0033
50,50,-22330.98759825,0.00025,0.0035
51,51,-22330.98780454,0.00021,0.0041
52,52,-22330.98802417,0.00022,0.0043
53,53,-22330.98822227,0.0002,0.0036
54,54,-22330.98843412,0.00021,0.0024
55,55,-22330.98855446,0.00012,0.0031
56,56,-22330.98873995,0.00019,0.004
57,57,-22330.98895745,0.00022,0.0048
58,58,-22330.98930995,0.00035,0.0058
59,59,-22330.98956711,0.00026,0.0065
60,60,-22330.98990727,0.00034,0.0053
61,61,-22330.99018436,0.00028,0.0044
62,62,-22330.99068728,0.0005,0.0041
63,63,-22330.99125177,0.00056,0.0047
64,64,-22330.99200541,0.00075,0.0076
65,65,-22330.99298041,0.00098,0.011
66,66,-22330.99449828,0.0015,0.014
67,67,-22330.9967659,0.0023,0.017
68,68,-22330.99904943,0.0023,0.013
69,69,-22331.00124793,0.0022,0.0081
70,70,-22331.00340664,0.0022,0.0098
71,71,-22331.00557518,0.0022,0.015
72,72,-22331.00677663,0.0012,0.016
73,73,-22331.00984254,0.0031,0.013
74,74,-22331.01268594,0.0028,0.0091
75,75,-22331.0157276,0.003,0.008
76,76,-22331.01793268,0.0022,0.0095
77,77,-22331.0200217,0.0021,0.011
78,78,-22331.02206837,0.002,0.011
79,79,-22331.02509516,0.003,0.0078
80,80,-22331.02734339,0.0022,0.006
81,81,-22331.02937193,0.002,0.0088
82,82,-22331.03117591,0.0018,0.0088
83,83,-22331.03274529,0.0016,0.0083
84,84,-22331.03403282,0.0013,0.0057
85,85,-22331.03478805,0.00076,0.0052
86,86,-22331.03513271,0.00034,0.0035
87,87,-22331.03546764,0.00033,0.0038
88,88,-22331.0357717,0.0003,0.0042
