,index,energy,energy_error,gradient_error
0,0,-22330.97867668,0.0,0.0062
1,1,-22330.9786799,3.2e-06,0.0092
2,2,-22330.97871895,3.9e-05,0.0036
3,3,-22330.97869217,2.7e-05,0.011
4,4,-22330.97872963,1.1e-05,0.0017
5,5,-22330.97875037,2.1e-05,0.0016
6,6,-22330.97876981,1.9e-05,0.0014
7,7,-22330.97879286,2.3e-05,0.0011
8,8,-22330.97881792,2.5e-05,0.00099
9,9,-22330.97884042,2.3e-05,0.0013
10,10,-22330.97885543,1.5e-05,0.0019
11,11,-22330.97887548,2e-05,0.0018
12,12,-22330.97890379,2.8e-05,0.0011
13,13,-22330.97892892,2.5e-05,0.00084
14,14,-22330.97895364,2.5e-05,0.0009
15,15,-22330.9789743,2.1e-05,0.0013
16,16,-22330.97899284,1.9e-05,0.0017
17,17,-22330.97901871,2.6e-05,0.0017
18,18,-22330.97905174,3.3e-05,0.0012
19,19,-22330.97908219,3e-05,0.0011
20,20,-22330.97910386,2.2e-05,0.0019
21,21,-22330.97913363,3e-05,0.0021
22,22,-22330.97917577,4.2e-05,0.0024
23,23,-22330.97923984,6.4e-05,0.0023
24,24,-22330.97935994,0.00012,0.0026
25,25,-22330.97945683,9.7e-05,0.0035
26,26,-22330.97960282,0.00015,0.0042
27,27,-22330.9797944,0.00019,0.0045
28,28,-22330.98008615,0.00029,0.0038
29,29,-22330.98038791,0.0003,0.0048
30,30,-22330.98077675,0.00039,0.0079
31,31,-22330.98110736,0.00033,0.0038
32,32,-22330.98147817,0.00037,0.0063
33,33,-22330.98198804,0.00051,0.01
34,34,-22330.982427,0.00044,0.0072
35,35,-22330.98289725,0.00047,0.0072
36,36,-22330.983455,0.00056,0.0053
37,37,-22330.98402047,0.00057,0.0095
38,38,-22330.98438898,0.00037,0.0077
39,39,-22330.98481301,0.00042,0.006
40,40,-22330.98528393,0.00047,0.0045
41,41,-22330.98570165,0.00042,0.0037
42,42,-22330.98618454,0.00048,0.0057
43,43,-22330.98665891,0.00047,0.0055
44,44,-22330.98708814,0.00043,0.0048
45,45,-22330.98772664,0.00064,0.0067
46,46,-22330.98831924,0.00059,0.0081
47,47,-22330.9888629,0.00054,0.0052
48,48,-22330.98944273,0.00058,0.0065
49,49,-22330.99010972,0.00067,0.0061
50,50,-22330.99065815,0.00055,0.0074
51,51,-22330.99118072,0.00052,0.0067
52,52,-22330.99171875,0.00054,0.0055
53,53,-22330.99255333,0.00083,0.007
54,54,-22330.99359322,0.001,0.0074
55,55,-22330.99487736,0.0013,0.0099
56,56,-22330.99598856,0.0011,0.0083
57,57,-22330.99727703,0.0013,0.009
58,58,-22330.99909062,0.0018,0.0092
59,59,-22331.00145619,0.0024,0.0094
60,60,-22331.00359936,0.0021,0.013
61,61,-22331.00640737,0.0028,0.014
62,62,-22331.00813198,0.0017,0.012
63,63,-22331.01026427,0.0021,0.012
64,64,-22331.012311,0.002,0.01
65,65,-22331.01532955,0.003,0.011
66,66,-22331.01758995,0.0023,0.01
67,67,-22331.01991682,0.0023,0.0084
68,68,-22331.02143439,0.0015,0.0086
69,69,-22331.02345912,0.002,0.0082
70,70,-22331.02562119,0.0022,0.01
71,71,-22331.02748733,0.0019,0.0084
72,72,-22331.02926091,0.0018,0.0073
73,73,-22331.03073006,0.0015,0.0067
74,74,-22331.03170654,0.00098,0.0077
75,75,-22331.03285514,0.0011,0.009
76,76,-22331.0339674,0.0011,0.0058
77,77,-22331.03469337,0.00073,0.0041
78,78,-22331.03515919,0.00047,0.0033
79,79,-22331.0354801,0.00032,0.0037
80,80,-22331.03588132,0.0004,0.0051
81,81,-22331.03620939,0.00033,0.0034
82,82,-22331.03652093,0.00031,0.0039
83,83,-22331.03670127,0.00018,0.0031
84,84,-22331.03691656,0.00022,0.0027
85,85,-22331.03711512,0.0002,0.0028
86,86,-22331.03738943,0.00027,0.0026
87,87,-22331.03760237,0.00021,0.0026
88,88,-22331.03773908,0.00014,0.0028
89,89,-22331.03789813,0.00016,0.002
90,90,-22331.0380688,0.00017,0.0023
91,91,-22331.03817799,0.00011,0.0018
92,92,-22331.03825914,8.1e-05,0.002
93,93,-22331.03835008,9.1e-05,0.0021
94,94,-22331.03844221,9.2e-05,0.0022
95,95,-22331.03854319,0.0001,0.0023
96,96,-22331.03863903,9.6e-05,0.0017
97,97,-22331.03873733,9.8e-05,0.0015
98,98,-22331.03880715,7e-05,0.0015
99,99,-22331.03890469,9.8e-05,0.0017
100,0,-22331.03902215,0.0,0.0023
101,1,-22331.03906629,4.4e-05,0.0024
102,2,-22331.03910481,3.9e-05,0.0022
103,3,-22331.03914232,3.8e-05,0.0034
104,4,-22331.03917659,3.4e-05,0.002
105,5,-22331.03921251,3.6e-05,0.0029
