energy,energy_error,gradient_error
-22199.1056506,0.0,0.0075
-22199.10579064,0.00014,0.0069
-22199.10596099,0.00017,0.0065
-22199.10613156,0.00017,0.0062
-22199.10635974,0.00023,0.0057
-22199.10665613,0.0003,0.0052
-22199.10701302,0.00036,0.0045
-22199.10737991,0.00037,0.0033
-22199.10761145,0.00023,0.0034
-22199.10768876,7.7e-05,0.0035
-22199.10779844,0.00011,0.0042
-22199.10797269,0.00017,0.0042
-22199.108029,5.6e-05,0.0023
-22199.10805724,2.8e-05,0.0023
-22199.10808347,2.6e-05,0.0023
-22199.10813062,4.7e-05,0.0027
-22199.10819726,6.7e-05,0.0033
-22199.10828114,8.4e-05,0.0039
-22199.10836737,8.6e-05,0.0046
-22199.10843634,6.9e-05,0.0048
-22199.10848529,4.9e-05,0.0032
-22199.10855309,6.8e-05,0.0013
-22199.10862098,6.8e-05,0.0028
-22199.1086458,2.5e-05,0.0029
-22199.1086666,2.1e-05,0.0016
-22199.10867969,1.3e-05,0.001
-22199.10869249,1.3e-05,0.0014
-22199.10870868,1.6e-05,0.0026
-22199.10872851,2e-05,0.002
-22199.10874942,2.1e-05,0.00087
-22199.10876872,1.9e-05,0.001
-22199.10878841,2e-05,0.0024
-22199.10880556,1.7e-05,0.0022
-22199.10882125,1.6e-05,0.0016
-22199.10883461,1.3e-05,0.00072
-22199.10884486,1e-05,0.0011
-22199.10885781,1.3e-05,0.0017
-22199.10887299,1.5e-05,0.0014
-22199.10888144,8.4e-06,0.0008
-22199.10888744,6e-06,0.00049
