energy,step_type
-22198.60935726,scf_step
-22199.07544649,scf_step
-22199.07553835,scf_step
-22199.06506522,scf_step
-22199.09948877,scf_step
-22199.10533678,scf_step
-22199.10557697,scf_step
-22199.10563545,scf_step
-22199.10564728,scf_step
-22199.10565001,scf_step
-22199.1056506,BFGS_step
-22199.10576603,scf_step
-22199.10576959,scf_step
-22199.10576959,scf_step
-22199.10579028,scf_step
-22199.1057904,scf_step
-22199.10579064,BFGS_step
-22199.10595997,scf_step
-22199.10595952,scf_step
-22199.10595956,scf_step
-22199.10596056,scf_step
-22199.10596098,scf_step
-22199.10596099,BFGS_step
-22199.10613072,scf_step
-22199.10613089,scf_step
-22199.10613025,scf_step
-22199.10613122,scf_step
-22199.10613156,scf_step
-22199.10613156,BFGS_step
-22199.10635779,scf_step
-22199.10635727,scf_step
-22199.10635616,scf_step
-22199.10635877,scf_step
-22199.10635971,scf_step
-22199.10635974,BFGS_step
-22199.10665223,scf_step
-22199.10665195,scf_step
-22199.10664813,scf_step
-22199.10665455,scf_step
-22199.10665596,scf_step
-22199.1066561,scf_step
-22199.10665613,BFGS_step
-22199.10700677,scf_step
-22199.10700775,scf_step
-22199.10699892,scf_step
-22199.10701138,scf_step
-22199.10701264,scf_step
-22199.107013,scf_step
-22199.10701302,BFGS_step
-22199.10736767,scf_step
-22199.10736685,scf_step
-22199.10734356,scf_step
-22199.10737761,scf_step
-22199.1073792,scf_step
-22199.1073798,scf_step
-22199.10737989,scf_step
-22199.10737991,BFGS_step
-22199.10758891,scf_step
-22199.1075819,scf_step
-22199.10753035,scf_step
-22199.10760641,scf_step
-22199.10761034,scf_step
-22199.10761118,scf_step
-22199.1076114,scf_step
-22199.10761145,BFGS_step
-22199.10768764,scf_step
-22199.10768776,scf_step
-22199.10768797,scf_step
-22199.10768817,scf_step
-22199.10768875,scf_step
-22199.10768876,BFGS_step
-22199.10779715,scf_step
-22199.10779645,scf_step
-22199.10779686,scf_step
-22199.10779808,scf_step
-22199.10779843,scf_step
-22199.10779844,BFGS_step
-22199.10796812,scf_step
-22199.10796876,scf_step
-22199.10796709,scf_step
-22199.10797167,scf_step
-22199.10797253,scf_step
-22199.10797268,scf_step
-22199.10797269,BFGS_step
-22199.10802446,scf_step
-22199.1080258,scf_step
-22199.10802432,scf_step
-22199.10802831,scf_step
-22199.1080288,scf_step
-22199.108029,BFGS_step
-22199.10805631,scf_step
-22199.10805613,scf_step
-22199.10805635,scf_step
-22199.10805712,scf_step
-22199.10805721,scf_step
-22199.10805724,BFGS_step
-22199.10808258,scf_step
-22199.10808257,scf_step
-22199.10808252,scf_step
-22199.10808332,scf_step
-22199.10808344,scf_step
-22199.10808347,BFGS_step
-22199.10812889,scf_step
-22199.10812877,scf_step
-22199.10812852,scf_step
-22199.10813028,scf_step
-22199.10813057,scf_step
-22199.10813063,scf_step
-22199.10813062,BFGS_step
-22199.10819444,scf_step
-22199.10819429,scf_step
-22199.10819273,scf_step
-22199.10819667,scf_step
-22199.1081971,scf_step
-22199.10819726,scf_step
-22199.10819726,BFGS_step
-22199.10827539,scf_step
-22199.10827482,scf_step
-22199.1082705,scf_step
-22199.10828023,scf_step
