energy,step_type
-22197.81890216,scf_step
-22198.2726278,scf_step
-22198.2746178,scf_step
-22198.2466565,scf_step
-22198.29501441,scf_step
-22198.298048,scf_step
-22198.298367,scf_step
-22198.29841967,scf_step
-22198.29842645,scf_step
-22198.29842888,scf_step
-22198.29842962,BFGS_step
-22198.29863895,scf_step
-22198.29864262,scf_step
-22198.2986409,scf_step
-22198.29865248,scf_step
-22198.29865272,scf_step
-22198.2986529,BFGS_step
-22198.2990232,scf_step
-22198.29902507,scf_step
-22198.29902226,scf_step
-22198.29902532,scf_step
-22198.29902709,scf_step
-22198.29902731,BFGS_step
-22198.29949506,scf_step
-22198.29949424,scf_step
-22198.29948715,scf_step
-22198.29949622,scf_step
-22198.29950056,scf_step
-22198.2995008,scf_step
-22198.29950083,BFGS_step
-22198.3000743,scf_step
-22198.30007684,scf_step
-22198.30007604,scf_step
-22198.30007852,scf_step
-22198.30008131,scf_step
-22198.30008243,scf_step
-22198.30008246,BFGS_step
-22198.30071905,scf_step
-22198.30072052,scf_step
-22198.30070729,scf_step
-22198.30071914,scf_step
-22198.30072928,scf_step
-22198.30073077,scf_step
-22198.3007309,scf_step
-22198.30073093,BFGS_step
-22198.30135534,scf_step
-22198.30134264,scf_step
-22198.30128577,scf_step
-22198.30131423,scf_step
-22198.30135073,scf_step
-22198.30135491,scf_step
-22198.30135514,scf_step
-22198.30135524,BFGS_step
-22198.30169093,scf_step
-22198.30169436,scf_step
-22198.30166013,scf_step
-22198.30169954,scf_step
-22198.30170722,scf_step
-22198.30170866,scf_step
-22198.30170883,scf_step
-22198.30170889,BFGS_step
-22198.3020456,scf_step
-22198.30205437,scf_step
-22198.30204452,scf_step
-22198.30205446,scf_step
-22198.30206009,scf_step
-22198.30206105,scf_step
-22198.30206108,scf_step
-22198.3020611,BFGS_step
-22198.30227444,scf_step
-22198.30227512,scf_step
-22198.30227365,scf_step
-22198.30227603,scf_step
-22198.30227706,scf_step
-22198.30227714,BFGS_step
-22198.30243518,scf_step
-22198.3024372,scf_step
-22198.30243571,scf_step
-22198.30243934,scf_step
-22198.30243984,scf_step
-22198.30243997,scf_step
-22198.30243999,BFGS_step
-22198.30249897,scf_step
-22198.302501,scf_step
-22198.30250014,scf_step
-22198.30250196,scf_step
-22198.30250219,scf_step
-22198.30250229,BFGS_step
-22198.30258332,scf_step
-22198.30258369,scf_step
-22198.30258341,scf_step
-22198.30258544,scf_step
-22198.3025858,scf_step
-22198.30258588,BFGS_step
-22198.30265946,scf_step
-22198.30265884,scf_step
-22198.30265686,scf_step
-22198.30266173,scf_step
-22198.3026627,scf_step
-22198.30266282,scf_step
-22198.30266282,BFGS_step
-22198.30274095,scf_step
-22198.30273893,scf_step
-22198.30273308,scf_step
-22198.30274435,scf_step
-22198.302746,scf_step
-22198.30274624,scf_step
-22198.30274623,BFGS_step
-22198.30281549,scf_step
-22198.3028148,scf_step
-22198.3028103,scf_step
-22198.30281828,scf_step
-22198.30281908,scf_step
-22198.3028192,scf_step
-22198.30281922,BFGS_step
-22198.30288635,scf_step
-22198.30288538,scf_step
-22198.30288119,scf_step
-22198.30288984,scf_step
-22198.30289148,scf_step
-22198.30289164,scf_step
-22198.30289167,scf_step
-22198.30289168,BFGS_step
-22198.30299326,scf_step
-22198.3029917,scf_step
-22198.30298142,scf_step
-22198.30300228,scf_step
-22198.30300472,scf_step
-22198.3030051,scf_step
-22198.30300512,scf_step
-22198.30300513,BFGS_step
-22198.30313737,scf_step
-22198.30313427,scf_step
-22198.30311764,scf_step
-22198.30315599,scf_step
-22198.30316116,scf_step
-22198.30316201,scf_step
-22198.30316205,scf_step
-22198.30316208,BFGS_step
-22198.30329664,scf_step
-22198.30329379,scf_step
-22198.30326367,scf_step
-22198.30333519,scf_step
-22198.3033469,scf_step
-22198.30334886,scf_step
-22198.30334891,scf_step
-22198.30334897,BFGS_step
-22198.30343367,scf_step
-22198.30343669,scf_step
-22198.30342471,scf_step
-22198.30344504,scf_step
-22198.30345129,scf_step
-22198.30345202,scf_step
-22198.30345206,scf_step
-22198.30345209,BFGS_step
-22198.30352806,scf_step
-22198.30352831,scf_step
-22198.30352645,scf_step
-22198.30352878,scf_step
-22198.30352992,scf_step
-22198.30352998,scf_step
-22198.30352999,scf_step
-22198.30352999,BFGS_step
-22198.30361401,scf_step
-22198.30361261,scf_step
-22198.30361116,scf_step
-22198.30361552,scf_step
-22198.30361563,scf_step
-22198.3036157,BFGS_step
-22198.30367924,scf_step
-22198.3036825,scf_step
-22198.30368143,scf_step
-22198.3036821,scf_step
-22198.30368436,scf_step
-22198.30368487,scf_step
-22198.30368486,BFGS_step
-22198.30373196,scf_step
-22198.30373287,scf_step
-22198.30372992,scf_step
-22198.30373311,scf_step
-22198.30373502,scf_step
-22198.30373515,scf_step
-22198.30373515,BFGS_step
-22198.30376395,scf_step
-22198.30376474,scf_step
-22198.30376511,scf_step
-22198.30376735,scf_step
-22198.30376729,scf_step
-22198.30376776,scf_step
-22198.30376782,scf_step
-22198.30376782,BFGS_step
-22198.3037928,scf_step
-22198.30379708,scf_step
-22198.30378985,scf_step
-22198.30379825,scf_step
-22198.3038016,scf_step
-22198.303802,scf_step
-22198.30380202,scf_step
-22198.30380203,BFGS_step
-22198.30383661,scf_step
-22198.30384106,scf_step
-22198.30384159,scf_step
-22198.30384315,scf_step
-22198.30384318,scf_step
-22198.30384341,scf_step
-22198.30384351,scf_step
-22198.30384352,BFGS_step
-22198.30389625,scf_step
-22198.30389946,scf_step
-22198.30388807,scf_step
-22198.30390349,scf_step
-22198.30390494,scf_step
-22198.30390514,scf_step
-22198.30390519,scf_step
-22198.3039052,BFGS_step
-22198.3039431,scf_step
-22198.30394116,scf_step
-22198.30393425,scf_step
-22198.30394702,scf_step
-22198.3039473,scf_step
-22198.3039474,scf_step
-22198.30394741,BFGS_step
-22198.30397375,scf_step
-22198.30397312,scf_step
-22198.30397347,scf_step
-22198.30397506,scf_step
-22198.30397544,scf_step
-22198.30397548,scf_step
-22198.30397549,BFGS_step
-22198.30399515,scf_step
-22198.30399348,scf_step
-22198.3039907,scf_step
-22198.30399594,scf_step
-22198.30399627,scf_step
-22198.30399633,scf_step
-22198.30399633,BFGS_step
-22198.30401097,scf_step
-22198.30401083,scf_step
-22198.30401065,scf_step
-22198.30401084,scf_step
-22198.30401121,scf_step
-22198.30401123,scf_step
-22198.30401123,BFGS_step
-22198.30402177,scf_step
-22198.30402185,scf_step
-22198.30402176,scf_step
-22198.30402191,scf_step
-22198.30402208,scf_step
-22198.30402211,scf_step
-22198.30402211,BFGS_step
-22198.30403553,scf_step
-22198.30403585,scf_step
-22198.3040346,scf_step
-22198.30403629,scf_step
-22198.30403654,scf_step
-22198.30403659,scf_step
-22198.3040366,scf_step
-22198.3040366,BFGS_step
-22198.30404856,scf_step
-22198.30404947,scf_step
-22198.30404549,scf_step
