energy,energy_error,gradient_error
-29583.17943026,0.0,0.0088
-29583.17969807,0.00027,0.012
-29583.17993746,0.00024,0.012
-29583.18025815,0.00032,0.012
-29583.1806883,0.00043,0.01
-29583.18125558,0.00057,0.0091
-29583.18197279,0.00072,0.011
-29583.18277585,0.0008,0.015
-29583.18346929,0.00069,0.017
-29583.18384826,0.00038,0.01
-29583.18416477,0.00032,0.0057
-29583.18428388,0.00012,0.0042
-29583.18440791,0.00012,0.0064
-29583.18447666,6.9e-05,0.0059
-29583.18453264,5.6e-05,0.0041
-29583.18458259,5e-05,0.0047
-29583.18464941,6.7e-05,0.0043
-29583.18472186,7.2e-05,0.0033
-29583.18479256,7.1e-05,0.0035
-29583.18486779,7.5e-05,0.0035
-29583.18494752,8e-05,0.0027
-29583.18504139,9.4e-05,0.0034
-29583.18517446,0.00013,0.0035
-29583.18532119,0.00015,0.0013
-29583.18536953,4.8e-05,0.0012
-29583.18540848,3.9e-05,0.0012
-29583.1854839,7.5e-05,0.002
-29583.18552995,4.6e-05,0.0013
-29583.18557588,4.6e-05,0.0011
-29583.1856051,2.9e-05,0.0012
-29583.18562328,1.8e-05,0.00076
-29583.18564303,2e-05,0.00079
-29583.18566064,1.8e-05,0.0009
-29583.18567056,9.9e-06,0.00087
-29583.18568554,1.5e-05,0.0006
-29583.18570107,1.6e-05,0.0013
-29583.18570922,8.1e-06,0.0012
-29583.18571555,6.3e-06,0.001
-29583.18572361,8.1e-06,0.00062
-29583.18573026,6.7e-06,0.0005
-29583.18573349,3.2e-06,0.00049
