energy,step_type
-22198.37549824,scf_step
-22198.68196603,scf_step
-22198.59804424,scf_step
-22198.78072283,scf_step
-22198.78116259,scf_step
-22198.78932071,scf_step
-22198.79010195,scf_step
-22198.79037131,scf_step
-22198.79039754,scf_step
-22198.79040183,scf_step
-22198.79040382,scf_step
-22198.79040448,BFGS_step
-22198.79051675,scf_step
-22198.79052345,scf_step
-22198.79052099,scf_step
-22198.79053795,scf_step
-22198.79053973,scf_step
-22198.79053955,BFGS_step
-22198.79070049,scf_step
-22198.79069682,scf_step
-22198.79071378,scf_step
-22198.79071336,scf_step
-22198.7907138,scf_step
-22198.79071429,BFGS_step
-22198.79089651,scf_step
-22198.79088956,scf_step
-22198.79089774,scf_step
-22198.79089907,scf_step
-22198.79089978,scf_step
-22198.79089987,scf_step
-22198.79089988,BFGS_step
-22198.7911378,scf_step
-22198.79113685,scf_step
-22198.79113626,scf_step
-22198.79113781,scf_step
-22198.79114012,scf_step
-22198.7911404,scf_step
-22198.79114044,scf_step
-22198.79114044,BFGS_step
-22198.79143974,scf_step
-22198.79144034,scf_step
-22198.79143303,scf_step
-22198.79144141,scf_step
-22198.79144468,scf_step
-22198.79144494,scf_step
-22198.79144509,scf_step
-22198.79144512,BFGS_step
-22198.79176705,scf_step
-22198.79176917,scf_step
-22198.79175132,scf_step
-22198.79177305,scf_step
-22198.79177728,scf_step
-22198.79177782,scf_step
-22198.79177788,scf_step
-22198.79177792,scf_step
-22198.79177793,BFGS_step
-22198.79204315,scf_step
-22198.79204632,scf_step
-22198.79200208,scf_step
-22198.79205611,scf_step
-22198.79206805,scf_step
-22198.79207002,scf_step
-22198.79207051,scf_step
-22198.79207067,scf_step
-22198.79207069,BFGS_step
-22198.79221551,scf_step
-22198.79221531,scf_step
-22198.79219582,scf_step
-22198.79222116,scf_step
-22198.7922233,scf_step
-22198.79222396,scf_step
-22198.79222411,scf_step
-22198.79222412,BFGS_step
-22198.79242223,scf_step
-22198.79242226,scf_step
-22198.79241144,scf_step
-22198.79242506,scf_step
-22198.79243002,scf_step
-22198.79243011,scf_step
-22198.79243023,scf_step
-22198.79243026,BFGS_step
-22198.79259871,scf_step
-22198.79259866,scf_step
-22198.79258456,scf_step
-22198.79260312,scf_step
-22198.79260681,scf_step
-22198.79260719,scf_step
-22198.79260743,scf_step
-22198.79260744,BFGS_step
-22198.79281011,scf_step
-22198.79281047,scf_step
-22198.79279554,scf_step
-22198.79281492,scf_step
-22198.7928207,scf_step
-22198.79282129,scf_step
-22198.79282155,scf_step
-22198.7928216,scf_step
-22198.79282162,BFGS_step
-22198.79293245,scf_step
-22198.79293435,scf_step
-22198.79291955,scf_step
-22198.79293866,scf_step
-22198.79294075,scf_step
-22198.79294153,scf_step
-22198.79294163,scf_step
-22198.79294166,BFGS_step
-22198.79310202,scf_step
-22198.79310222,scf_step
-22198.79309151,scf_step
-22198.79310365,scf_step
-22198.79310967,scf_step
-22198.79310984,scf_step
-22198.79310992,scf_step
-22198.79310999,BFGS_step
-22198.79327769,scf_step
-22198.79327824,scf_step
-22198.79326176,scf_step
-22198.79328111,scf_step
-22198.7932851,scf_step
-22198.79328568,scf_step
-22198.79328589,scf_step
-22198.79328591,BFGS_step
-22198.79343647,scf_step
-22198.79343649,scf_step
-22198.7934176,scf_step
-22198.79343864,scf_step
-22198.79344651,scf_step
-22198.79344675,scf_step
-22198.79344708,scf_step
-22198.79344714,BFGS_step
-22198.79353787,scf_step
-22198.79353499,scf_step
-22198.79352774,scf_step
-22198.79353595,scf_step
-22198.79354177,scf_step
-22198.79354214,scf_step
-22198.7935423,scf_step
-22198.79354233,BFGS_step
-22198.79364693,scf_step
-22198.79364602,scf_step
-22198.79363552,scf_step
-22198.79364785,scf_step
-22198.79365071,scf_step
-22198.79365089,scf_step
-22198.79365101,scf_step
-22198.79365103,BFGS_step
-22198.79376779,scf_step
-22198.79376445,scf_step
-22198.79375107,scf_step
-22198.79376737,scf_step
-22198.79377341,scf_step
-22198.7937737,scf_step
-22198.79377392,scf_step
-22198.79377394,BFGS_step
-22198.79391254,scf_step
-22198.79390618,scf_step
-22198.79386377,scf_step
-22198.79391893,scf_step
-22198.79392238,scf_step
-22198.79392277,scf_step
-22198.79392301,scf_step
-22198.79392311,scf_step
-22198.79392312,BFGS_step
-22198.79397297,scf_step
-22198.79397142,scf_step
-22198.79394879,scf_step
-22198.79397891,scf_step
-22198.7939806,scf_step
-22198.79398116,scf_step
-22198.79398136,scf_step
-22198.79398138,BFGS_step
-22198.79402699,scf_step
-22198.79402649,scf_step
-22198.79402185,scf_step
-22198.79402739,scf_step
-22198.79403005,scf_step
-22198.79403012,scf_step
-22198.79403025,scf_step
-22198.79403025,BFGS_step
-22198.79406589,scf_step
-22198.79406556,scf_step
-22198.79406429,scf_step
-22198.7940658,scf_step
-22198.79406752,scf_step
-22198.79406766,scf_step
-22198.79406771,scf_step
-22198.79406771,BFGS_step
-22198.79411602,scf_step
-22198.79411602,scf_step
-22198.79411199,scf_step
-22198.79411685,scf_step
-22198.79411749,scf_step
-22198.7941176,scf_step
-22198.79411761,scf_step
-22198.79411761,BFGS_step
-22198.79415981,scf_step
-22198.79415851,scf_step
-22198.79415655,scf_step
-22198.79415952,scf_step
-22198.79416127,scf_step
-22198.79416142,scf_step
-22198.79416146,scf_step
-22198.79416146,BFGS_step
-22198.79419251,scf_step
-22198.7941919,scf_step
-22198.79418884,scf_step
-22198.79419202,scf_step
-22198.79419409,scf_step
-22198.79419422,scf_step
-22198.79419432,scf_step
-22198.79419432,BFGS_step
-22198.7942117,scf_step
-22198.79421162,scf_step
-22198.79421163,scf_step
-22198.7942117,scf_step
-22198.79421256,scf_step
-22198.79421258,scf_step
-22198.79421258,scf_step
-22198.79421258,BFGS_step
-22198.79423486,scf_step
-22198.79423448,scf_step
-22198.79423134,scf_step
-22198.79423477,scf_step
-22198.79423688,scf_step
-22198.79423713,scf_step
-22198.79423718,scf_step
-22198.79423719,scf_step
-22198.7942372,BFGS_step
-22198.79426016,scf_step
-22198.79426054,scf_step
-22198.79425971,scf_step
-22198.79426066,scf_step
-22198.79426097,scf_step
-22198.79426104,scf_step
-22198.79426106,scf_step
-22198.79426106,BFGS_step
-22198.79428603,scf_step
-22198.79428626,scf_step
-22198.79428421,scf_step
-22198.79428667,scf_step
-22198.79428746,scf_step
-22198.79428752,scf_step
-22198.79428755,scf_step
-22198.79428757,BFGS_step
-22198.79431586,scf_step
-22198.79431677,scf_step
-22198.79431212,scf_step
-22198.79431782,scf_step
-22198.79431859,scf_step
-22198.79431886,scf_step
-22198.7943189,scf_step
-22198.79431892,BFGS_step
-22198.79434853,scf_step
-22198.79434985,scf_step
-22198.79434168,scf_step
-22198.79435128,scf_step
-22198.79435354,scf_step
-22198.7943538,scf_step
-22198.7943539,scf_step
-22198.79435394,BFGS_step
-22198.79438914,scf_step
-22198.79439234,scf_step
-22198.79437221,scf_step
-22198.794397,scf_step
-22198.79439953,scf_step
-22198.79440044,scf_step
-22198.79440064,scf_step
-22198.7944007,scf_step
-22198.79440071,BFGS_step
-22198.79444177,scf_step
-22198.79444675,scf_step
-22198.7944318,scf_step
-22198.79444988,scf_step
-22198.79445235,scf_step
-22198.79445331,scf_step
-22198.79445351,scf_step
-22198.79445355,scf_step
-22198.79445355,BFGS_step
-22198.79450897,scf_step
-22198.79452045,scf_step
-22198.79449204,scf_step
-22198.79452785,scf_step
-22198.79453165,scf_step
-22198.79453323,scf_step
-22198.7945337,scf_step
-22198.79453376,scf_step
-22198.79453377,BFGS_step
-22198.79457978,scf_step
-22198.79460181,scf_step
-22198.79457849,scf_step
-22198.79460709,scf_step
-22198.79461647,scf_step
-22198.79461783,scf_step
-22198.7946186,scf_step
-22198.79461874,scf_step
-22198.79461877,BFGS_step
-22198.79466732,scf_step
-22198.79467029,scf_step
-22198.79467072,scf_step
-22198.79467186,scf_step
-22198.79467193,scf_step
-22198.79467202,scf_step
-22198.79467209,scf_step
-22198.79467211,BFGS_step
-22198.79472855,scf_step
-22198.79472293,scf_step
-22198.79472402,scf_step
-22198.79473074,scf_step
-22198.79473222,scf_step
-22198.79473238,scf_step
-22198.79473248,scf_step
-22198.79473247,BFGS_step
-22198.79479227,scf_step
-22198.79479905,scf_step
-22198.79479535,scf_step
-22198.7947992,scf_step
-22198.79480478,scf_step
-22198.79480567,scf_step
-22198.79480581,scf_step
-22198.79480585,scf_step
-22198.79480587,BFGS_step
-22198.79488595,scf_step
-22198.79489476,scf_step
-22198.7948937,scf_step
-22198.79490064,scf_step
-22198.79490034,scf_step
-22198.79490223,scf_step
-22198.79490303,scf_step
-22198.7949031,scf_step
-22198.79490311,BFGS_step
-22198.79496814,scf_step
-22198.79499107,scf_step
-22198.79498896,scf_step
-22198.79499395,scf_step
-22198.7950043,scf_step
-22198.7950068,scf_step
-22198.79500786,scf_step
-22198.795008,scf_step
-22198.79500803,BFGS_step
-22198.79505965,scf_step
-22198.79508306,scf_step
-22198.79507153,scf_step
-22198.79508589,scf_step
-22198.79509873,scf_step
-22198.79510219,scf_step
-22198.79510335,scf_step
-22198.79510348,scf_step
-22198.79510351,BFGS_step
-22198.7951411,scf_step
-22198.79515829,scf_step
-22198.79513233,scf_step
-22198.7951639,scf_step
-22198.79517418,scf_step
-22198.7951762,scf_step
-22198.79517717,scf_step
-22198.7951773,scf_step
-22198.79517732,BFGS_step
-22198.79522196,scf_step
-22198.79524098,scf_step
-22198.79516883,scf_step
-22198.79525444,scf_step
-22198.79527183,scf_step
-22198.79527541,scf_step
-22198.79527684,scf_step
-22198.79527711,scf_step
-22198.79527714,BFGS_step
-22198.7951777,scf_step
-22198.79520186,scf_step
-22198.79492049,scf_step
-22198.79525802,scf_step
-22198.79530488,scf_step
-22198.79531257,scf_step
-22198.79531763,scf_step
-22198.79531843,scf_step
-22198.79531856,scf_step
-22198.79531854,BFGS_step
-22198.79539705,scf_step
-22198.79541648,scf_step
-22198.79540115,scf_step
-22198.79540633,scf_step
-22198.79542168,scf_step
-22198.79542561,scf_step
-22198.79542604,scf_step
-22198.7954262,scf_step
-22198.79542623,BFGS_step
-22198.79545827,scf_step
-22198.79546125,scf_step
-22198.79539802,scf_step
-22198.79547926,scf_step
-22198.79548349,scf_step
-22198.79548463,scf_step
-22198.79548529,scf_step
-22198.79548543,scf_step
-22198.79548545,BFGS_step
-22198.7955043,scf_step
-22198.79549503,scf_step
-22198.79545415,scf_step
-22198.7955128,scf_step
-22198.79551738,scf_step
-22198.79551759,scf_step
-22198.79551803,scf_step
-22198.79551809,scf_step
-22198.7955181,BFGS_step
-22198.79554024,scf_step
-22198.79554103,scf_step
-22198.79553207,scf_step
-22198.79554251,scf_step
-22198.79554516,scf_step
-22198.79554547,scf_step
-22198.79554567,scf_step
-22198.7955457,scf_step
-22198.79554571,BFGS_step
-22198.79558239,scf_step
-22198.79558044,scf_step
