energy,energy_error,gradient_error
-22198.55898313,0.0,0.0086
-22198.55916977,0.00019,0.0097
-22198.5593748,0.00021,0.0071
-22198.55958219,0.00021,0.0056
-22198.5598669,0.00028,0.0055
-22198.56025374,0.00039,0.0056
-22198.5607631,0.00051,0.0055
-22198.56138851,0.00063,0.0066
-22198.56201725,0.00063,0.012
-22198.56240421,0.00039,0.012
-22198.56264821,0.00024,0.0052
-22198.5628605,0.00021,0.0053
-22198.56314344,0.00028,0.006
-22198.56347894,0.00034,0.0079
-22198.56359861,0.00012,0.0056
-22198.56367655,7.8e-05,0.0032
-22198.56374206,6.6e-05,0.0031
-22198.56378421,4.2e-05,0.0034
-22198.5638315,4.7e-05,0.0022
-22198.56387075,3.9e-05,0.0011
-22198.56389146,2.1e-05,0.0011
-22198.56390891,1.7e-05,0.002
-22198.56393337,2.4e-05,0.0023
-22198.56397051,3.7e-05,0.0019
-22198.56399494,2.4e-05,0.0013
-22198.56400678,1.2e-05,0.0011
-22198.56401579,9e-06,0.0012
-22198.56403293,1.7e-05,0.0014
-22198.56405101,1.8e-05,0.0016
-22198.56406751,1.7e-05,0.0013
-22198.56407781,1e-05,0.00075
-22198.56408932,1.2e-05,0.00079
-22198.56410214,1.3e-05,0.0011
-22198.56411343,1.1e-05,0.0015
-22198.56412629,1.3e-05,0.0016
-22198.56414651,2e-05,0.0013
-22198.56416799,2.1e-05,0.0009
-22198.56418187,1.4e-05,0.001
-22198.56419833,1.6e-05,0.00089
-22198.5642163,1.8e-05,0.00087
-22198.5642375,2.1e-05,0.00075
-22198.56425532,1.8e-05,0.00072
-22198.56427017,1.5e-05,0.00074
-22198.56428729,1.7e-05,0.00061
-22198.5643015,1.4e-05,0.00066
-22198.56431578,1.4e-05,0.00069
-22198.56432601,1e-05,0.00063
-22198.56434508,1.9e-05,0.00069
-22198.56436906,2.4e-05,0.00073
-22198.56439516,2.6e-05,0.00083
-22198.56442069,2.6e-05,0.001
-22198.56444615,2.5e-05,0.0011
-22198.56447667,3.1e-05,0.0011
-22198.56452488,4.8e-05,0.0011
-22198.56459674,7.2e-05,0.0012
-22198.56469502,9.8e-05,0.0015
-22198.56475172,5.7e-05,0.0031
-22198.56480675,5.5e-05,0.002
-22198.56483947,3.3e-05,0.0034
-22198.56492736,8.8e-05,0.0024
-22198.56500948,8.2e-05,0.0021
-22198.56505119,4.2e-05,0.0018
-22198.56514625,9.5e-05,0.0015
-22198.56523613,9e-05,0.0014
-22198.56535711,0.00012,0.0016
-22198.56550895,0.00015,0.0024
-22198.56570624,0.0002,0.0033
-22198.56589022,0.00018,0.0028
-22198.56613854,0.00025,0.0023
-22198.56654925,0.00041,0.0048
-22198.56682808,0.00028,0.0069
-22198.56706539,0.00024,0.0037
-22198.56739862,0.00033,0.0035
-22198.56762286,0.00022,0.0036
-22198.56818516,0.00056,0.0033
-22198.5688152,0.00063,0.004
-22198.56951762,0.0007,0.0063
-22198.57012425,0.00061,0.0065
-22198.57089711,0.00077,0.0043
-22198.57170531,0.00081,0.0051
-22198.57230379,0.0006,0.0046
-22198.57276389,0.00046,0.0041
-22198.5732319,0.00047,0.0043
-22198.57423867,0.001,0.0046
-22198.57534969,0.0011,0.0052
-22198.57608954,0.00074,0.0059
-22198.57674902,0.00066,0.005
-22198.57739972,0.00065,0.0052
-22198.57776422,0.00036,0.0056
-22198.57833554,0.00057,0.0056
-22198.57950511,0.0012,0.0045
-22198.58062113,0.0011,0.0057
-22198.58176625,0.0011,0.0097
-22198.5826553,0.00089,0.0078
-22198.58373152,0.0011,0.0076
-22198.58509614,0.0014,0.0067
-22198.5865811,0.0015,0.0056
-22198.58840251,0.0018,0.0055
-22198.5901252,0.0017,0.0066
-22198.59211196,0.002,0.0081
