energy,step_type
-160.36100408,scf_step
-160.60164424,scf_step
-160.63216678,scf_step
-160.63131086,scf_step
-160.63270248,scf_step
-160.63321589,scf_step
-160.63318347,scf_step
-160.63320939,scf_step
-160.633211,BFGS_step
-160.63900224,scf_step
-160.64026044,scf_step
-160.64055787,scf_step
-160.6406012,scf_step
-160.64060628,scf_step
-160.64060702,BFGS_step
-160.66004885,scf_step
-160.66018095,scf_step
-160.66023985,scf_step
-160.66025084,scf_step
-160.66025191,scf_step
-160.66025208,BFGS_step
-160.66259035,scf_step
-160.66273402,scf_step
-160.66276172,scf_step
-160.66276801,scf_step
-160.66276861,BFGS_step
-160.6642931,scf_step
-160.66429682,scf_step
-160.66430409,scf_step
-160.66430461,scf_step
-160.66430471,BFGS_step
-160.66492018,scf_step
-160.66493278,scf_step
-160.66493559,scf_step
-160.66493617,scf_step
-160.66493624,BFGS_step
-160.66512496,scf_step
-160.66513182,scf_step
-160.66513389,scf_step
-160.66513423,scf_step
-160.66513429,BFGS_step
-160.66519901,scf_step
-160.66520086,scf_step
-160.66520118,scf_step
-160.66520126,BFGS_step
-160.66525133,scf_step
-160.66525199,scf_step
-160.6652521,scf_step
-160.66525213,BFGS_step
-160.6652928,scf_step
-160.66529301,scf_step
-160.66529311,scf_step
-160.66529314,BFGS_step
-160.66534156,scf_step
-160.66534196,scf_step
-160.66534213,scf_step
-160.66534216,BFGS_step
-160.66539837,scf_step
-160.66539894,scf_step
-160.66539939,scf_step
-160.66539944,scf_step
-160.66539944,BFGS_step
-160.66545144,scf_step
-160.66545273,scf_step
-160.66545358,scf_step
-160.66545369,scf_step
-160.66545371,BFGS_step
-160.66547881,scf_step
-160.66547957,scf_step
-160.66548027,scf_step
-160.66548033,scf_step
-160.66548035,BFGS_step
-160.66549933,scf_step
-160.66549972,scf_step
-160.66549994,scf_step
-160.66549996,scf_step
-160.66549996,BFGS_step
-160.66552456,scf_step
-160.66552495,scf_step
-160.66552522,scf_step
-160.66552525,scf_step
-160.66552526,BFGS_step
-160.66554547,scf_step
-160.66554577,scf_step
-160.66554604,scf_step
-160.66554608,scf_step
-160.66554607,BFGS_step
-160.66555859,scf_step
-160.66555879,scf_step
-160.66555891,scf_step
-160.66555893,BFGS_step
-160.66556987,scf_step
-160.66557026,scf_step
-160.66557043,scf_step
-160.66557047,scf_step
-160.66557048,BFGS_step
-160.66557757,scf_step
-160.66557775,scf_step
-160.66557786,scf_step
-160.66557788,scf_step
-160.66557789,BFGS_step
-160.66558291,scf_step
-160.66558302,scf_step
-160.66558307,scf_step
-160.66558309,scf_step
-160.66558309,BFGS_step
-160.66558825,scf_step
-160.66558836,scf_step
-160.66558844,scf_step
-160.66558846,scf_step
-160.66558846,BFGS_step
-160.66559239,scf_step
-160.66559251,scf_step
-160.66559258,scf_step
-160.6655926,scf_step
-160.66559259,BFGS_step
-160.66559446,scf_step
-160.6655945,scf_step
-160.66559453,scf_step
-160.66559454,BFGS_step
