energy,step_type
-22294.83480964,scf_step
-22294.98275427,scf_step
-22295.13323151,scf_step
-22295.24229307,scf_step
-22295.42327294,scf_step
-22295.42771715,scf_step
-22295.42794312,scf_step
-22295.4281591,scf_step
-22295.4282184,scf_step
-22295.42822676,scf_step
-22295.42822877,scf_step
-22295.42822903,BFGS_step
-22295.42890477,scf_step
-22295.42891348,scf_step
-22295.4288879,scf_step
-22295.42893292,scf_step
-22295.428937,scf_step
-22295.42893804,BFGS_step
-22295.42924411,scf_step
-22295.429241,scf_step
-22295.42924447,scf_step
-22295.42925123,scf_step
-22295.42925302,scf_step
-22295.42925312,BFGS_step
-22295.42949185,scf_step
-22295.42949288,scf_step
-22295.4294918,scf_step
-22295.42949582,scf_step
-22295.42949672,scf_step
-22295.42949679,scf_step
-22295.42949681,BFGS_step
-22295.42974966,scf_step
-22295.42974887,scf_step
-22295.42974632,scf_step
-22295.42975285,scf_step
-22295.42975376,scf_step
-22295.4297539,scf_step
-22295.42975389,BFGS_step
-22295.43001114,scf_step
-22295.43000725,scf_step
-22295.42999956,scf_step
-22295.43001869,scf_step
-22295.43001906,scf_step
-22295.43001935,scf_step
-22295.43001938,scf_step
-22295.43001938,BFGS_step
-22295.43019931,scf_step
-22295.43019752,scf_step
-22295.43018022,scf_step
-22295.43020943,scf_step
-22295.43021026,scf_step
-22295.43021063,scf_step
-22295.43021068,scf_step
-22295.43021069,BFGS_step
-22295.43034211,scf_step
-22295.43034423,scf_step
-22295.43033554,scf_step
-22295.43034923,scf_step
-22295.43035024,scf_step
-22295.43035062,scf_step
-22295.43035065,scf_step
-22295.43035066,BFGS_step
-22295.43048288,scf_step
-22295.43048815,scf_step
-22295.43047934,scf_step
-22295.43049144,scf_step
-22295.43049211,scf_step
-22295.4304926,scf_step
-22295.43049262,scf_step
-22295.43049262,BFGS_step
-22295.43058044,scf_step
-22295.43058378,scf_step
-22295.4305817,scf_step
-22295.43058347,scf_step
-22295.43058451,scf_step
-22295.43058478,scf_step
-22295.43058479,BFGS_step
-22295.43068787,scf_step
-22295.43068946,scf_step
-22295.43068546,scf_step
-22295.43068987,scf_step
-22295.43069094,scf_step
-22295.43069117,scf_step
-22295.43069118,BFGS_step
-22295.43086956,scf_step
-22295.43086369,scf_step
-22295.43082867,scf_step
-22295.43087605,scf_step
-22295.43087839,scf_step
-22295.43087923,scf_step
-22295.43087931,scf_step
-22295.43087934,scf_step
-22295.43087934,BFGS_step
-22295.43105382,scf_step
-22295.43103458,scf_step
-22295.43098521,scf_step
-22295.43106401,scf_step
-22295.43106574,scf_step
-22295.43106628,scf_step
-22295.43106643,scf_step
-22295.43106644,BFGS_step
-22295.43121822,scf_step
-22295.43121024,scf_step
-22295.43119031,scf_step
-22295.43122439,scf_step
-22295.4312262,scf_step
-22295.43122661,scf_step
-22295.43122669,scf_step
-22295.4312267,BFGS_step
-22295.43138039,scf_step
-22295.43136752,scf_step
-22295.4313533,scf_step
-22295.43138513,scf_step
-22295.43138709,scf_step
-22295.43138759,scf_step
-22295.43138763,scf_step
-22295.43138764,BFGS_step
-22295.43156899,scf_step
-22295.43154526,scf_step
-22295.43150697,scf_step
-22295.43157786,scf_step
-22295.43158073,scf_step
-22295.43158146,scf_step
-22295.43158154,scf_step
-22295.43158156,BFGS_step
-22295.43175451,scf_step
-22295.4317346,scf_step
-22295.43168532,scf_step
-22295.43176729,scf_step
-22295.43177195,scf_step
-22295.43177344,scf_step
-22295.43177355,scf_step
-22295.43177359,BFGS_step
-22295.43199246,scf_step
-22295.43197924,scf_step
-22295.43190274,scf_step
-22295.43202518,scf_step
-22295.43203352,scf_step
-22295.43203571,scf_step
-22295.43203587,scf_step
-22295.43203593,scf_step
-22295.43203593,BFGS_step
-22295.43211576,scf_step
-22295.43203508,scf_step
-22295.43178204,scf_step
-22295.43220918,scf_step
-22295.43222752,scf_step
-22295.43223199,scf_step
-22295.43223278,scf_step
-22295.43223298,scf_step
-22295.43223302,scf_step
-22295.43223302,BFGS_step
-22295.43235501,scf_step
-22295.43234366,scf_step
-22295.43230852,scf_step
-22295.43236633,scf_step
-22295.43236892,scf_step
-22295.43236964,scf_step
-22295.43236972,scf_step
-22295.43236971,BFGS_step
-22295.43251881,scf_step
-22295.43250783,scf_step
-22295.43246689,scf_step
-22295.43252987,scf_step
-22295.43253369,scf_step
-22295.43253494,scf_step
-22295.43253505,scf_step
-22295.43253509,scf_step
-22295.43253509,BFGS_step
-22295.43265977,scf_step
-22295.43261608,scf_step
-22295.43251538,scf_step
-22295.43268857,scf_step
-22295.43269445,scf_step
-22295.43269533,scf_step
-22295.43269573,scf_step
-22295.4326958,scf_step
-22295.43269582,BFGS_step
-22295.43286666,scf_step
-22295.43281346,scf_step
-22295.43267345,scf_step
-22295.43290072,scf_step
-22295.43290769,scf_step
-22295.43290913,scf_step
-22295.4329097,scf_step
-22295.43290977,scf_step
-22295.43290979,BFGS_step
-22295.43303569,scf_step
-22295.43302609,scf_step
-22295.43299326,scf_step
-22295.4330412,scf_step
-22295.43304243,scf_step
-22295.43304288,scf_step
-22295.43304298,scf_step
-22295.43304297,BFGS_step
-22295.43315655,scf_step
-22295.43314026,scf_step
-22295.4330996,scf_step
