energy,step_type
-22315.63866971,scf_step
-22315.88279941,scf_step
-22316.13744037,scf_step
-22316.12316548,scf_step
-22316.2603722,scf_step
-22316.27083235,scf_step
-22316.27127853,scf_step
-22316.27168859,scf_step
-22316.27172913,scf_step
-22316.27174461,scf_step
-22316.27174631,scf_step
-22316.27174635,BFGS_step
-22316.27244451,scf_step
-22316.27241968,scf_step
-22316.27238738,scf_step
-22316.27247047,scf_step
-22316.27248488,scf_step
-22316.27248572,scf_step
-22316.27248568,BFGS_step
-22316.27283576,scf_step
-22316.27283781,scf_step
-22316.27284354,scf_step
-22316.27284325,scf_step
-22316.27284609,scf_step
-22316.27284635,scf_step
-22316.27284638,BFGS_step
-22316.27310768,scf_step
-22316.27310855,scf_step
-22316.27310526,scf_step
-22316.27311019,scf_step
-22316.27311244,scf_step
-22316.27311261,scf_step
-22316.27311263,scf_step
-22316.27311263,BFGS_step
-22316.27334252,scf_step
-22316.27334034,scf_step
-22316.27333591,scf_step
-22316.27334791,scf_step
-22316.27334872,scf_step
-22316.273349,scf_step
-22316.273349,BFGS_step
-22316.27356807,scf_step
-22316.27356291,scf_step
-22316.27355715,scf_step
-22316.27357606,scf_step
-22316.27357828,scf_step
-22316.27357883,scf_step
-22316.27357886,BFGS_step
-22316.2738244,scf_step
-22316.27381969,scf_step
-22316.27381377,scf_step
-22316.27383069,scf_step
-22316.2738311,scf_step
-22316.27383143,scf_step
-22316.27383146,BFGS_step
-22316.27430927,scf_step
-22316.27429661,scf_step
-22316.27425116,scf_step
-22316.27434108,scf_step
-22316.27434393,scf_step
-22316.27434574,scf_step
-22316.27434593,scf_step
-22316.27434595,BFGS_step
-22316.27497275,scf_step
-22316.27496933,scf_step
-22316.2748328,scf_step
-22316.27504836,scf_step
-22316.27505917,scf_step
-22316.2750625,scf_step
-22316.27506291,scf_step
-22316.27506297,BFGS_step
-22316.27563635,scf_step
-22316.27566448,scf_step
-22316.2754965,scf_step
-22316.27573958,scf_step
-22316.275757,scf_step
-22316.27576125,scf_step
-22316.27576181,scf_step
-22316.27576186,BFGS_step
-22316.27617703,scf_step
-22316.27618692,scf_step
-22316.27607434,scf_step
-22316.27623752,scf_step
-22316.27625999,scf_step
-22316.27626284,scf_step
-22316.27626339,scf_step
-22316.27626346,BFGS_step
-22316.27663324,scf_step
-22316.27663707,scf_step
-22316.27661109,scf_step
-22316.27664788,scf_step
-22316.27665535,scf_step
-22316.27665589,scf_step
-22316.27665596,scf_step
-22316.27665597,BFGS_step
-22316.27699774,scf_step
-22316.27697302,scf_step
-22316.2768956,scf_step
-22316.27704514,scf_step
-22316.27705221,scf_step
-22316.27705469,scf_step
-22316.27705502,scf_step
-22316.27705507,BFGS_step
-22316.27740402,scf_step
-22316.27738589,scf_step
-22316.27736081,scf_step
-22316.27742585,scf_step
-22316.27742823,scf_step
-22316.27742906,scf_step
-22316.2774292,scf_step
-22316.27742921,BFGS_step
-22316.27769487,scf_step
-22316.27767403,scf_step
-22316.27764133,scf_step
-22316.27772245,scf_step
-22316.27772519,scf_step
-22316.27772645,scf_step
-22316.27772667,scf_step
-22316.2777267,BFGS_step
-22316.27807629,scf_step
-22316.27803377,scf_step
-22316.27795472,scf_step
-22316.27814192,scf_step
-22316.27814662,scf_step
-22316.2781491,scf_step
-22316.27814959,scf_step
-22316.27814965,BFGS_step
-22316.27841491,scf_step
-22316.27835832,scf_step
-22316.27813721,scf_step
-22316.27858116,scf_step
-22316.27859138,scf_step
-22316.27859699,scf_step
-22316.27859803,scf_step
-22316.27859821,scf_step
-22316.27859822,scf_step
-22316.27859823,BFGS_step
-22316.27867677,scf_step
-22316.27864765,scf_step
-22316.27846891,scf_step
-22316.27879355,scf_step
-22316.27880167,scf_step
-22316.27880633,scf_step
-22316.27880703,scf_step
-22316.27880714,scf_step
-22316.27880714,BFGS_step
-22316.2789375,scf_step
-22316.27893501,scf_step
-22316.27884365,scf_step
-22316.27899046,scf_step
-22316.27899619,scf_step
-22316.27899876,scf_step
-22316.27899915,scf_step
-22316.2789992,BFGS_step
-22316.27928835,scf_step
-22316.27929681,scf_step
-22316.27928946,scf_step
-22316.27929913,scf_step
-22316.27930092,scf_step
-22316.27930137,scf_step
-22316.27930143,scf_step
-22316.27930144,BFGS_step
-22316.27949076,scf_step
-22316.27950089,scf_step
-22316.2794573,scf_step
-22316.2795225,scf_step
-22316.27952588,scf_step
-22316.27952736,scf_step
-22316.27952758,scf_step
-22316.27952761,BFGS_step
-22316.27970638,scf_step
-22316.27971113,scf_step
-22316.27968584,scf_step
-22316.27972529,scf_step
-22316.27972886,scf_step
-22316.27972958,scf_step
-22316.27972968,scf_step
-22316.27972969,BFGS_step
-22316.27988667,scf_step
-22316.27989257,scf_step
-22316.27986904,scf_step
-22316.27990517,scf_step
-22316.2799095,scf_step
-22316.27991016,scf_step
-22316.27991026,scf_step
-22316.27991027,BFGS_step
-22316.28002829,scf_step
-22316.28002676,scf_step
-22316.28000211,scf_step
-22316.28004488,scf_step
-22316.28004829,scf_step
-22316.28004892,scf_step
-22316.28004904,scf_step
-22316.28004906,BFGS_step
-22316.28017816,scf_step
-22316.28017851,scf_step
-22316.28014328,scf_step
-22316.28019978,scf_step
-22316.28020324,scf_step
-22316.2802041,scf_step
-22316.28020422,scf_step
-22316.28020425,scf_step
-22316.28020425,BFGS_step
-22316.28043133,scf_step
-22316.28046382,scf_step
-22316.28036696,scf_step
-22316.28050575,scf_step
-22316.28051763,scf_step
-22316.28052062,scf_step
-22316.28052112,scf_step
-22316.28052122,scf_step
-22316.28052122,BFGS_step
-22316.28061414,scf_step
-22316.28073124,scf_step
-22316.28050629,scf_step
-22316.28081397,scf_step
-22316.28084311,scf_step
-22316.2808515,scf_step
-22316.28085292,scf_step
-22316.28085315,scf_step
-22316.28085319,scf_step
-22316.2808532,BFGS_step
-22316.28092402,scf_step
-22316.28098073,scf_step
-22316.28078637,scf_step
-22316.28106453,scf_step
-22316.28107581,scf_step
-22316.28108163,scf_step
-22316.2810825,scf_step
-22316.28108264,scf_step
-22316.28108264,BFGS_step
-22316.28105078,scf_step
-22316.28122502,scf_step
-22316.28100162,scf_step
-22316.2812916,scf_step
-22316.28132364,scf_step
-22316.28133469,scf_step
-22316.28133636,scf_step
-22316.28133658,scf_step
-22316.28133662,scf_step
-22316.28133664,BFGS_step
-22316.28155828,scf_step
-22316.28155868,scf_step
-22316.28155537,scf_step
-22316.28156067,scf_step
-22316.28156122,scf_step
-22316.28156135,scf_step
-22316.28156136,BFGS_step
-22316.28171617,scf_step
-22316.28171684,scf_step
-22316.28171443,scf_step
-22316.28171806,scf_step
-22316.28171927,scf_step
-22316.28171936,scf_step
-22316.28171937,BFGS_step
-22316.28184402,scf_step
-22316.28185057,scf_step
-22316.28184754,scf_step
-22316.28185041,scf_step
-22316.28185236,scf_step
-22316.28185281,scf_step
-22316.28185283,scf_step
-22316.28185284,BFGS_step
-22316.28202384,scf_step
-22316.28202944,scf_step
-22316.28200958,scf_step
-22316.28203642,scf_step
-22316.28204113,scf_step
-22316.28204166,scf_step
-22316.28204171,scf_step
-22316.28204172,scf_step
-22316.28204172,BFGS_step
-22316.28209977,scf_step
-22316.28212022,scf_step
-22316.2820706,scf_step
-22316.28213754,scf_step
-22316.28214595,scf_step
-22316.28214745,scf_step
-22316.2821477,scf_step
-22316.28214774,scf_step
-22316.28214775,BFGS_step
-22316.28219471,scf_step
-22316.28223023,scf_step
-22316.28215743,scf_step
-22316.28225418,scf_step
-22316.28226666,scf_step
-22316.28226913,scf_step
-22316.28226957,scf_step
-22316.28226963,scf_step
-22316.28226965,scf_step
-22316.28226966,BFGS_step
-22316.28236209,scf_step
-22316.28238159,scf_step
-22316.28230919,scf_step
-22316.28241117,scf_step
-22316.28241942,scf_step
-22316.28242149,scf_step
-22316.28242176,scf_step
-22316.28242182,scf_step
-22316.28242183,BFGS_step
-22316.28249269,scf_step
-22316.28251472,scf_step
-22316.28244041,scf_step
-22316.28254439,scf_step
-22316.28255453,scf_step
-22316.28255679,scf_step
-22316.28255723,scf_step
-22316.28255729,scf_step
-22316.28255729,BFGS_step
-22316.28262324,scf_step
-22316.28262744,scf_step
-22316.28259836,scf_step
-22316.28264067,scf_step
-22316.28264354,scf_step
-22316.28264439,scf_step
-22316.28264457,scf_step
-22316.28264459,BFGS_step
-22316.28273058,scf_step
-22316.28273212,scf_step
-22316.28272915,scf_step
-22316.28273306,scf_step
-22316.28273385,scf_step
-22316.282734,scf_step
-22316.28273403,scf_step
-22316.28273403,BFGS_step
-22316.28281056,scf_step
-22316.28280941,scf_step
-22316.28280457,scf_step
-22316.28281266,scf_step
-22316.28281291,scf_step
-22316.28281302,scf_step
-22316.28281303,scf_step
-22316.28281304,BFGS_step
-22316.28289305,scf_step
-22316.28289212,scf_step
-22316.28288342,scf_step
-22316.2828977,scf_step
-22316.28289834,scf_step
-22316.28289855,scf_step
-22316.28289858,scf_step
-22316.28289858,BFGS_step
-22316.28296467,scf_step
-22316.28296895,scf_step
-22316.28293958,scf_step
-22316.28298452,scf_step
-22316.28298765,scf_step
-22316.2829884,scf_step
-22316.28298848,scf_step
-22316.2829885,scf_step
-22316.2829885,BFGS_step
-22316.2829807,scf_step
-22316.2830043,scf_step
-22316.28289665,scf_step
-22316.28305686,scf_step
-22316.28306882,scf_step
-22316.28307154,scf_step
-22316.28307201,scf_step
-22316.2830721,scf_step
-22316.28307212,scf_step
-22316.28307212,BFGS_step
-22316.28308811,scf_step
-22316.28311088,scf_step
-22316.28304647,scf_step
-22316.28314014,scf_step
-22316.28314798,scf_step
-22316.28314971,scf_step
-22316.28314995,scf_step
-22316.28315001,scf_step
-22316.28315002,scf_step
-22316.28315002,BFGS_step
-22316.28315784,scf_step
-22316.28319418,scf_step
-22316.28311117,scf_step
-22316.28323022,scf_step
-22316.28324144,scf_step
-22316.28324375,scf_step
-22316.2832441,scf_step
-22316.28324418,scf_step
-22316.2832442,scf_step
-22316.2832442,BFGS_step
-22316.28326765,scf_step
-22316.28330203,scf_step
-22316.28324185,scf_step
-22316.2833265,scf_step
-22316.28333564,scf_step
-22316.28333747,scf_step
-22316.28333774,scf_step
-22316.28333781,scf_step
-22316.28333782,scf_step
-22316.28333782,BFGS_step
-22316.28340324,scf_step
-22316.28341601,scf_step
-22316.283401,scf_step
-22316.28342118,scf_step
-22316.28342394,scf_step
-22316.2834246,scf_step
-22316.28342467,scf_step
-22316.28342469,scf_step
-22316.28342469,BFGS_step
-22316.28348394,scf_step
-22316.28349757,scf_step
-22316.28347372,scf_step
-22316.28350704,scf_step
-22316.28350971,scf_step
-22316.28351059,scf_step
-22316.28351074,scf_step
-22316.28351076,scf_step
-22316.28351077,BFGS_step
-22316.28358055,scf_step
-22316.2835949,scf_step
-22316.28356384,scf_step
-22316.28360822,scf_step
-22316.28361005,scf_step
-22316.28361108,scf_step
-22316.28361126,scf_step
-22316.28361129,BFGS_step
-22316.2836707,scf_step
-22316.28367762,scf_step
-22316.28366703,scf_step
-22316.28368009,scf_step
-22316.28368516,scf_step
-22316.28368574,scf_step
-22316.28368581,scf_step
-22316.28368583,scf_step
-22316.28368584,BFGS_step
