,index,energy,energy_error,gradient_error
0,0,-22294.01600543,0.0,0.0046
1,1,-22294.01609776,9.2e-05,0.0044
2,2,-22294.0162548,0.00016,0.0043
3,3,-22294.01645874,0.0002,0.0054
4,4,-22294.01672813,0.00027,0.0064
5,5,-22294.01706268,0.00033,0.0075
6,6,-22294.0174223,0.00036,0.0067
7,0,-22294.01776324,0.0,0.0087
8,1,-22294.01801417,0.00025,0.0057
9,2,-22294.01846772,0.00045,0.0061
10,3,-22294.01879834,0.00033,0.0045
11,4,-22294.01894116,0.00014,0.0049
12,5,-22294.01922777,0.00029,0.0054
13,6,-22294.01955748,0.00033,0.006
14,7,-22294.01987773,0.00032,0.0081
15,8,-22294.02021811,0.00034,0.0054
16,9,-22294.02079186,0.00057,0.0085
17,10,-22294.02158723,0.0008,0.0098
18,0,-22294.02251565,0.0,0.014
19,1,-22294.02317343,0.00066,0.0095
20,2,-22294.02380517,0.00063,0.0068
21,3,-22294.0240977,0.00029,0.0051
22,4,-22294.02442401,0.00033,0.0041
23,5,-22294.02458401,0.00016,0.0041
24,6,-22294.02475645,0.00017,0.0039
25,7,-22294.0248397,8.3e-05,0.0037
26,8,-22294.02491076,7.1e-05,0.0028
27,9,-22294.0250097,9.9e-05,0.0034
28,10,-22294.02514013,0.00013,0.005
29,11,-22294.0253082,0.00017,0.0049
30,12,-22294.02550634,0.0002,0.0045
31,13,-22294.02581245,0.00031,0.0051
32,14,-22294.02622323,0.00041,0.011
33,15,-22294.0266003,0.00038,0.016
34,16,-22294.02688562,0.00029,0.012
35,17,-22294.02729451,0.00041,0.0052
36,18,-22294.02748335,0.00019,0.0032
37,19,-22294.02769049,0.00021,0.0036
38,20,-22294.02777901,8.9e-05,0.004
39,21,-22294.02787618,9.7e-05,0.0032
40,0,-22294.12961576,0.0,0.0071
41,1,-22294.13036052,0.00074,0.0073
42,2,-22294.13110276,0.00074,0.0066
43,3,-22294.13216558,0.0011,0.0064
44,4,-22294.13361303,0.0014,0.006
45,5,-22294.13553515,0.0019,0.0069
46,6,-22294.13792416,0.0024,0.0054
47,7,-22294.14058542,0.0027,0.0074
48,8,-22294.14297007,0.0024,0.0078
49,9,-22294.14416687,0.0012,0.01
50,10,-22294.14536635,0.0012,0.006
51,11,-22294.14714367,0.0018,0.0058
52,12,-22294.14984036,0.0027,0.016
53,13,-22294.15075078,0.00091,0.0088
54,14,-22294.15101761,0.00027,0.0038
55,15,-22294.15111869,0.0001,0.0049
56,16,-22294.15119099,7.2e-05,0.0018
57,17,-22294.15123722,4.6e-05,0.0014
58,18,-22294.15127687,4e-05,0.0019
59,19,-22294.15130065,2.4e-05,0.0012
60,20,-22294.15131245,1.2e-05,0.001
61,21,-22294.1513244,1.2e-05,0.001
62,22,-22294.151336,1.2e-05,0.0013
63,23,-22294.15135209,1.6e-05,0.0012
64,24,-22294.15136742,1.5e-05,0.001
65,25,-22294.15138521,1.8e-05,0.0012
66,26,-22294.1514098,2.5e-05,0.0014
67,27,-22294.15142898,1.9e-05,0.0013
68,28,-22294.15145269,2.4e-05,0.0011
69,29,-22294.15148465,3.2e-05,0.0017
70,30,-22294.15150821,2.4e-05,0.0018
71,31,-22294.15152793,2e-05,0.0014
72,32,-22294.15154248,1.5e-05,0.0014
73,33,-22294.15155942,1.7e-05,0.0013
74,34,-22294.1515775,1.8e-05,0.0015
75,35,-22294.15159891,2.1e-05,0.0019
76,36,-22294.15163856,4e-05,0.0027
77,37,-22294.15169202,5.3e-05,0.0033
78,38,-22294.15175568,6.4e-05,0.0038
79,39,-22294.15183262,7.7e-05,0.0038
80,40,-22294.15190718,7.5e-05,0.0028
81,41,-22294.15199017,8.3e-05,0.0014
82,42,-22294.15208252,9.2e-05,0.0021
83,43,-22294.15214871,6.6e-05,0.0026
84,44,-22294.15222233,7.4e-05,0.0024
85,45,-22294.15229009,6.8e-05,0.0016
86,46,-22294.15239942,0.00011,0.0017
87,47,-22294.15246649,6.7e-05,0.0019
88,48,-22294.15253054,6.4e-05,0.002
89,49,-22294.15260622,7.6e-05,0.0017
90,50,-22294.15268559,7.9e-05,0.0016
91,51,-22294.15272562,4e-05,0.00094
