energy,energy_error,gradient_error
-22294.02251565,0.0,0.014
-22294.02317343,0.00066,0.0095
-22294.02380517,0.00063,0.0068
-22294.0240977,0.00029,0.0051
-22294.02442401,0.00033,0.0041
-22294.02458401,0.00016,0.0041
-22294.02475645,0.00017,0.0039
-22294.0248397,8.3e-05,0.0037
-22294.02491076,7.1e-05,0.0028
-22294.0250097,9.9e-05,0.0034
-22294.02514013,0.00013,0.005
-22294.0253082,0.00017,0.0049
-22294.02550634,0.0002,0.0045
-22294.02581245,0.00031,0.0051
-22294.02622323,0.00041,0.011
-22294.0266003,0.00038,0.016
-22294.02688562,0.00029,0.012
-22294.02729451,0.00041,0.0052
-22294.02748335,0.00019,0.0032
-22294.02769049,0.00021,0.0036
-22294.02777901,8.9e-05,0.004
-22294.02787618,9.7e-05,0.0032
