energy,energy_error,gradient_error
-22294.03798344,0.0,0.0047
-22294.03802638,4.3e-05,0.0055
-22294.03809536,6.9e-05,0.0019
-22294.03815538,6e-05,0.0018
-22294.03823689,8.2e-05,0.003
-22294.03835547,0.00012,0.0045
-22294.03852319,0.00017,0.0063
-22294.03874107,0.00022,0.0081
-22294.03901677,0.00028,0.0095
-22294.03936847,0.00035,0.011
-22294.03981266,0.00044,0.012
-22294.04026974,0.00046,0.01
-22294.04077739,0.00051,0.0063
-22294.04176284,0.00099,0.0056
-22294.04311219,0.0013,0.011
-22294.04454142,0.0014,0.02
-22294.04531226,0.00077,0.021
-22294.04663639,0.0013,0.01
-22294.04796207,0.0013,0.01
-22294.04878626,0.00082,0.0095
-22294.04941415,0.00063,0.012
-22294.05024908,0.00083,0.012
-22294.05118473,0.00094,0.014
-22294.05217152,0.00099,0.013
-22294.05290571,0.00073,0.0092
-22294.05336215,0.00046,0.0055
-22294.05372041,0.00036,0.0096
-22294.05434372,0.00062,0.013
-22294.05503095,0.00069,0.01
-22294.05568729,0.00066,0.0089
-22294.05620699,0.00052,0.008
-22294.05666855,0.00046,0.0073
-22294.05713695,0.00047,0.007
-22294.05753127,0.00039,0.0046
-22294.05783354,0.0003,0.0037
-22294.0580723,0.00024,0.0049
-22294.05824067,0.00017,0.0058
-22294.05854456,0.0003,0.008
-22294.05873078,0.00019,0.0062
-22294.0588932,0.00016,0.0048
-22294.05911481,0.00022,0.0034
-22294.05940188,0.00029,0.0033
