,index,energy,energy_error,gradient_error
0,0,-22293.80296662,0.0,0.041
1,1,-22293.80582271,0.0029,0.035
2,2,-22293.81040213,0.0046,0.026
3,3,-22293.81548606,0.0051,0.023
4,4,-22293.81880531,0.0033,0.015
5,5,-22293.81968908,0.00088,0.0083
6,6,-22293.8213249,0.0016,0.013
7,7,-22293.82269456,0.0014,0.02
8,8,-22293.82345349,0.00076,0.01
9,9,-22293.82405093,0.0006,0.0071
10,10,-22293.82454977,0.0005,0.0074
11,11,-22293.82500568,0.00046,0.007
12,12,-22293.82558749,0.00058,0.0078
13,13,-22293.82619905,0.00061,0.013
14,14,-22293.82683666,0.00064,0.012
15,15,-22293.82745343,0.00062,0.011
16,16,-22293.82793148,0.00048,0.0069
17,17,-22293.82847714,0.00055,0.0087
18,18,-22293.82913562,0.00066,0.011
19,19,-22293.82981831,0.00068,0.014
20,20,-22293.83071527,0.0009,0.015
21,21,-22293.83188053,0.0012,0.016
22,22,-22293.83303755,0.0012,0.019
23,23,-22293.8337835,0.00075,0.016
24,24,-22293.83469314,0.00091,0.01
25,25,-22293.83528643,0.00059,0.011
26,26,-22293.83583153,0.00055,0.0097
27,27,-22293.83623716,0.00041,0.0046
28,28,-22293.83661299,0.00038,0.0056
29,29,-22293.83691349,0.0003,0.0058
30,30,-22293.8371759,0.00026,0.0053
31,31,-22293.83749459,0.00032,0.0033
32,32,-22293.83780653,0.00031,0.0043
33,33,-22293.83806047,0.00025,0.0048
34,34,-22293.83835044,0.00029,0.0045
35,35,-22293.83877299,0.00042,0.0039
36,36,-22293.83927651,0.0005,0.0049
37,37,-22293.83962948,0.00035,0.0032
38,38,-22293.83985881,0.00023,0.0031
39,39,-22293.84012092,0.00026,0.0034
40,40,-22293.84039293,0.00027,0.0032
41,0,-22293.82667883,0.0,0.0059
42,1,-22293.82708827,0.00041,0.0067
43,2,-22293.827493,0.0004,0.0061
44,3,-22293.82809865,0.00061,0.0058
45,4,-22293.82893753,0.00084,0.0055
46,5,-22293.83002888,0.0011,0.0051
47,6,-22293.83134614,0.0013,0.005
48,7,-22293.83267416,0.0013,0.0048
49,8,-22293.83339159,0.00072,0.0056
50,9,-22293.83370176,0.00031,0.0051
51,10,-22293.83407734,0.00038,0.0044
52,11,-22293.83476948,0.00069,0.0028
53,12,-22293.83526288,0.00049,0.0027
54,13,-22293.83535801,9.5e-05,0.0045
55,14,-22293.83549693,0.00014,0.0022
56,15,-22293.83569678,0.0002,0.0022
57,16,-22293.83590433,0.00021,0.0032
58,17,-22293.8360638,0.00016,0.0037
59,18,-22293.83626988,0.00021,0.0042
60,19,-22293.83662556,0.00036,0.0037
61,20,-22293.83695582,0.00033,0.0041
62,21,-22293.83712893,0.00017,0.0042
63,22,-22293.83724672,0.00012,0.0034
64,23,-22293.8374281,0.00018,0.0034
65,24,-22293.83755056,0.00012,0.0031
66,25,-22293.83766611,0.00012,0.0018
67,26,-22293.83776456,9.8e-05,0.0024
68,27,-22293.83788151,0.00012,0.0019
69,28,-22293.83797672,9.5e-05,0.0025
70,29,-22293.83806888,9.2e-05,0.0022
71,30,-22293.83819902,0.00013,0.0026
72,31,-22293.83834048,0.00014,0.0027
73,32,-22293.83845888,0.00012,0.002
74,33,-22293.83861141,0.00015,0.0021
75,34,-22293.83870339,9.2e-05,0.0019
76,35,-22293.83887554,0.00017,0.0024
77,36,-22293.83908183,0.00021,0.0026
78,37,-22293.8392482,0.00017,0.0026
79,38,-22293.83948696,0.00024,0.0028
80,39,-22293.83980936,0.00032,0.0035
81,40,-22293.84017196,0.00036,0.0036
82,41,-22293.84051696,0.00034,0.0037
83,42,-22293.84105735,0.00054,0.0046
84,43,-22293.8417092,0.00065,0.0047
85,44,-22293.84244443,0.00074,0.0039
86,45,-22293.8435272,0.0011,0.005
87,46,-22293.84467392,0.0011,0.0062
88,47,-22293.84677148,0.0021,0.0075
89,48,-22293.84912803,0.0024,0.009
90,49,-22293.84996226,0.00083,0.011
91,50,-22293.85260514,0.0026,0.011
92,51,-22293.85457518,0.002,0.0052
93,52,-22293.85599576,0.0014,0.005
94,53,-22293.85728376,0.0013,0.0056
95,54,-22293.85793843,0.00065,0.0049
96,55,-22293.85878912,0.00085,0.0046
97,56,-22293.85950319,0.00071,0.0044
98,57,-22293.86031729,0.00081,0.0039
99,58,-22293.86095591,0.00064,0.0034
100,59,-22293.86135648,0.0004,0.003
101,60,-22293.86183244,0.00048,0.0038
102,61,-22293.86227414,0.00044,0.005
103,62,-22293.86276284,0.00049,0.0045
104,63,-22293.86309145,0.00033,0.0042
105,64,-22293.86339026,0.0003,0.0034
106,65,-22293.8637233,0.00033,0.0034
107,66,-22293.86406464,0.00034,0.0042
108,67,-22293.86442094,0.00036,0.0044
109,68,-22293.86482822,0.00041,0.0039
110,69,-22293.86519975,0.00037,0.0038
111,70,-22293.86555904,0.00036,0.0032
112,71,-22293.86606702,0.00051,0.0049
113,72,-22293.86647124,0.0004,0.005
