,index,energy,energy_error,gradient_error
0,0,-22293.85838486,0.0,0.0076
1,1,-22293.85900588,0.00062,0.0086
2,2,-22293.85959209,0.00059,0.013
3,3,-22293.86047728,0.00089,0.016
4,4,-22293.86169486,0.0012,0.018
5,5,-22293.86331418,0.0016,0.02
6,6,-22293.86539349,0.0021,0.016
7,7,-22293.86760287,0.0022,0.0077
8,8,-22293.86893387,0.0013,0.0053
9,9,-22293.86911533,0.00018,0.005
10,10,-22293.86939753,0.00028,0.005
11,11,-22293.86970678,0.00031,0.0043
12,12,-22293.87012111,0.00041,0.005
13,13,-22293.87063928,0.00052,0.0077
14,14,-22293.87114387,0.0005,0.0096
15,15,-22293.87152648,0.00038,0.0082
16,16,-22293.87205218,0.00053,0.0055
17,17,-22293.87262048,0.00057,0.0054
18,18,-22293.87289544,0.00027,0.006
19,19,-22293.87321731,0.00032,0.0055
20,20,-22293.87341943,0.0002,0.0036
21,21,-22293.87359001,0.00017,0.0057
22,22,-22293.87371005,0.00012,0.0036
23,23,-22293.8738316,0.00012,0.0039
24,24,-22293.8739363,0.0001,0.0061
25,25,-22293.87404724,0.00011,0.0062
26,26,-22293.87419675,0.00015,0.0058
27,27,-22293.87436256,0.00017,0.0047
28,28,-22293.87454755,0.00018,0.0055
29,29,-22293.874711,0.00016,0.005
30,30,-22293.87482734,0.00012,0.0044
31,31,-22293.87491954,9.2e-05,0.0026
32,32,-22293.87501252,9.3e-05,0.0024
33,33,-22293.87509618,8.4e-05,0.0028
34,34,-22293.87516444,6.8e-05,0.0025
35,35,-22293.87522843,6.4e-05,0.0025
36,36,-22293.8753191,9.1e-05,0.0022
37,37,-22293.87540212,8.3e-05,0.0017
38,38,-22293.87545483,5.3e-05,0.002
39,39,-22293.87551257,5.8e-05,0.0023
40,40,-22293.87559949,8.7e-05,0.0025
41,41,-22293.87570767,0.00011,0.0028
42,42,-22293.8757958,8.8e-05,0.0022
43,43,-22293.87590585,0.00011,0.0033
44,44,-22293.8760544,0.00015,0.0034
45,45,-22293.87620685,0.00015,0.005
46,0,-22293.85976045,0.0,0.007
47,1,-22293.86020678,0.00045,0.0073
48,2,-22293.86075933,0.00055,0.012
49,3,-22293.86156999,0.00081,0.014
50,4,-22293.86276345,0.0012,0.013
51,5,-22293.86426682,0.0015,0.013
52,6,-22293.86598078,0.0017,0.011
53,7,-22293.86697764,0.001,0.0076
54,8,-22293.86734862,0.00037,0.0064
55,9,-22293.86769781,0.00035,0.005
56,10,-22293.86815229,0.00045,0.0042
57,11,-22293.868577,0.00042,0.0028
58,12,-22293.86881465,0.00024,0.0037
59,13,-22293.86892693,0.00011,0.0031
60,14,-22293.86905167,0.00012,0.0027
61,15,-22293.86925985,0.00021,0.0019
62,16,-22293.86935879,9.9e-05,0.0025
63,17,-22293.86946382,0.00011,0.003
64,18,-22293.86958308,0.00012,0.0034
65,19,-22293.86976017,0.00018,0.0032
66,20,-22293.87001685,0.00026,0.0028
67,21,-22293.87031056,0.00029,0.0032
68,22,-22293.87054022,0.00023,0.0049
69,23,-22293.87070436,0.00016,0.004
70,24,-22293.87085364,0.00015,0.0028
