energy,energy_error,gradient_error
-22293.56645386,0.0,0.0096
-22293.56678944,0.00034,0.008
-22293.56766161,0.00087,0.013
-22293.56869888,0.001,0.015
-22293.5698224,0.0011,0.012
-22293.57068621,0.00086,0.0089
-22293.57123742,0.00055,0.0089
-22293.57236102,0.0011,0.012
-22293.57396084,0.0016,0.011
-22293.57547332,0.0015,0.01
-22293.57601253,0.00054,0.0089
-22293.57652018,0.00051,0.0057
-22293.57692512,0.0004,0.0053
-22293.57711348,0.00019,0.0058
-22293.5773413,0.00023,0.0037
-22293.57755101,0.00021,0.0037
-22293.57783186,0.00028,0.0033
-22293.57812567,0.00029,0.0061
-22293.57832132,0.0002,0.0047
-22293.57871653,0.0004,0.0054
-22293.57919646,0.00048,0.0073
-22293.57995699,0.00076,0.011
-22293.58091136,0.00095,0.013
-22293.58195231,0.001,0.015
-22293.58269166,0.00074,0.015
-22293.58448958,0.0018,0.01
-22293.58564084,0.0012,0.016
-22293.5864536,0.00081,0.015
-22293.58734169,0.00089,0.013
-22293.58887181,0.0015,0.012
-22293.5905523,0.0017,0.012
-22293.59320463,0.0027,0.014
-22293.59591594,0.0027,0.013
-22293.59756395,0.0016,0.014
