energy,energy_error,gradient_error
-22293.59507253,0.0,0.0048
-22293.59508768,1.5e-05,0.0051
-22293.59510947,2.2e-05,0.0016
-22293.59513231,2.3e-05,0.0019
-22293.59515312,2.1e-05,0.0032
-22293.59516728,1.4e-05,0.0019
-22293.5951836,1.6e-05,0.0015
-22293.59519977,1.6e-05,0.0016
-22293.59522142,2.2e-05,0.0021
-22293.59524228,2.1e-05,0.0018
-22293.59526312,2.1e-05,0.0014
-22293.59528383,2.1e-05,0.0021
-22293.59531639,3.3e-05,0.0023
-22293.59536132,4.5e-05,0.0022
-22293.59539454,3.3e-05,0.0021
-22293.5954279,3.3e-05,0.0016
-22293.59546739,3.9e-05,0.0015
-22293.59551275,4.5e-05,0.0024
-22293.5955738,6.1e-05,0.0033
-22293.59565568,8.2e-05,0.0042
-22293.59576061,0.0001,0.0054
-22293.59590964,0.00015,0.0072
-22293.59617058,0.00026,0.014
-22293.59673949,0.00057,0.013
