,index,energy,energy_error,gradient_error
0,0,-22293.60299924,0.0,0.0083
1,1,-22293.60337809,0.00038,0.011
2,2,-22293.60425387,0.00088,0.012
3,3,-22293.60512778,0.00087,0.0096
4,4,-22293.60623118,0.0011,0.0086
5,5,-22293.60755238,0.0013,0.0061
6,6,-22293.60896118,0.0014,0.0052
7,7,-22293.61018206,0.0012,0.01
8,8,-22293.61108734,0.00091,0.0086
9,9,-22293.61248755,0.0014,0.013
10,10,-22293.61454594,0.0021,0.0093
11,11,-22293.61668472,0.0021,0.0085
12,12,-22293.61728158,0.0006,0.0071
13,13,-22293.61764956,0.00037,0.0074
14,14,-22293.61799431,0.00034,0.0049
15,15,-22293.61849262,0.0005,0.0054
16,16,-22293.61880976,0.00032,0.0058
17,17,-22293.61911564,0.00031,0.0043
18,18,-22293.61939778,0.00028,0.0047
19,19,-22293.61956263,0.00016,0.0038
20,20,-22293.61982245,0.00026,0.0037
21,21,-22293.62012609,0.0003,0.0041
22,22,-22293.62060762,0.00048,0.0063
23,23,-22293.62130228,0.00069,0.0075
24,24,-22293.62227876,0.00098,0.0098
25,25,-22293.6234753,0.0012,0.011
26,26,-22293.62460935,0.0011,0.011
27,27,-22293.62674938,0.0021,0.014
28,28,-22293.62786712,0.0011,0.011
29,29,-22293.62919284,0.0013,0.0098
30,30,-22293.62989518,0.0007,0.0088
31,31,-22293.63161296,0.0017,0.0091
32,32,-22293.63349156,0.0019,0.01
33,33,-22293.63521715,0.0017,0.0096
34,0,-22293.63143875,0.0,0.0082
35,1,-22293.63243073,0.00099,0.0077
36,2,-22293.63355858,0.0011,0.0062
37,3,-22293.63494406,0.0014,0.0069
38,4,-22293.63649732,0.0016,0.0071
39,5,-22293.63779859,0.0013,0.0096
40,6,-22293.63859059,0.00079,0.0088
41,7,-22293.63967537,0.0011,0.0065
42,8,-22293.64083065,0.0012,0.0077
43,9,-22293.64146223,0.00063,0.0076
44,10,-22293.64213159,0.00067,0.0074
45,11,-22293.64302834,0.0009,0.0079
46,12,-22293.64375379,0.00073,0.0089
47,13,-22293.64422723,0.00047,0.0075
48,14,-22293.64482165,0.00059,0.0071
49,15,-22293.64555095,0.00073,0.0079
50,16,-22293.64640971,0.00086,0.0066
51,17,-22293.64695974,0.00055,0.0055
