,index,energy,energy_error,gradient_error
0,0,-22293.60299924,0.0,0.0083
1,1,-22293.60337809,0.00038,0.011
2,2,-22293.60425387,0.00088,0.012
3,3,-22293.60512778,0.00087,0.0096
4,4,-22293.60623118,0.0011,0.0086
5,5,-22293.60755238,0.0013,0.0061
6,6,-22293.60896118,0.0014,0.0052
7,7,-22293.61018206,0.0012,0.01
8,8,-22293.61108734,0.00091,0.0086
9,9,-22293.61248755,0.0014,0.013
10,10,-22293.61454594,0.0021,0.0093
11,11,-22293.61668472,0.0021,0.0085
12,12,-22293.61728158,0.0006,0.0071
13,13,-22293.61764956,0.00037,0.0074
14,14,-22293.61799431,0.00034,0.0049
15,15,-22293.61849262,0.0005,0.0054
16,16,-22293.61880976,0.00032,0.0058
17,17,-22293.61911564,0.00031,0.0043
18,18,-22293.61939778,0.00028,0.0047
19,19,-22293.61956263,0.00016,0.0038
20,20,-22293.61982245,0.00026,0.0037
21,21,-22293.62012609,0.0003,0.0041
22,22,-22293.62060762,0.00048,0.0063
23,23,-22293.62130228,0.00069,0.0075
24,24,-22293.62227876,0.00098,0.0098
25,25,-22293.6234753,0.0012,0.011
26,26,-22293.62460935,0.0011,0.011
27,27,-22293.62674938,0.0021,0.014
28,28,-22293.62786712,0.0011,0.011
29,29,-22293.62919284,0.0013,0.0098
30,30,-22293.62989518,0.0007,0.0088
31,31,-22293.63161296,0.0017,0.0091
32,32,-22293.63349156,0.0019,0.01
33,33,-22293.63521715,0.0017,0.0096
34,0,-22293.63143875,0.0,0.0082
35,1,-22293.63243073,0.00099,0.0077
36,2,-22293.63355858,0.0011,0.0062
37,3,-22293.63494406,0.0014,0.0069
38,4,-22293.63649732,0.0016,0.0071
39,5,-22293.63779859,0.0013,0.0096
40,6,-22293.63859059,0.00079,0.0088
41,7,-22293.63967537,0.0011,0.0065
42,8,-22293.64083065,0.0012,0.0077
43,9,-22293.64146223,0.00063,0.0076
44,10,-22293.64213159,0.00067,0.0074
45,11,-22293.64302834,0.0009,0.0079
46,12,-22293.64375379,0.00073,0.0089
47,13,-22293.64422723,0.00047,0.0075
48,14,-22293.64482165,0.00059,0.0071
49,15,-22293.64555095,0.00073,0.0079
50,16,-22293.64640971,0.00086,0.0066
51,17,-22293.64695974,0.00055,0.0055
52,18,-22293.64721284,0.00025,0.0045
53,19,-22293.64756787,0.00036,0.0049
54,20,-22293.64799214,0.00042,0.0055
55,21,-22293.64855061,0.00056,0.0074
56,22,-22293.6490195,0.00047,0.0053
57,23,-22293.64944038,0.00042,0.0032
58,24,-22293.64991273,0.00047,0.0049
59,25,-22293.65039361,0.00048,0.0067
60,26,-22293.65124862,0.00086,0.0083
61,27,-22293.65220914,0.00096,0.0079
62,28,-22293.65314037,0.00093,0.0061
63,29,-22293.65405903,0.00092,0.0068
64,30,-22293.65523356,0.0012,0.0091
65,31,-22293.6562992,0.0011,0.01
66,32,-22293.65792263,0.0016,0.01
67,33,-22293.65877389,0.00085,0.0057
68,34,-22293.65974453,0.00097,0.0059
69,35,-22293.66063668,0.00089,0.0082
70,36,-22293.66174442,0.0011,0.011
71,37,-22293.66313066,0.0014,0.0097
72,38,-22293.66470026,0.0016,0.0092
73,39,-22293.66640184,0.0017,0.013
74,40,-22293.66866749,0.0023,0.012
75,41,-22293.67129934,0.0026,0.014
76,42,-22293.673501,0.0022,0.0098
77,43,-22293.67553302,0.002,0.011
78,44,-22293.67701467,0.0015,0.011
79,45,-22293.67862951,0.0016,0.0089
80,46,-22293.68032121,0.0017,0.0098
81,47,-22293.68193776,0.0016,0.013
82,48,-22293.68358679,0.0016,0.0093
83,49,-22293.68489314,0.0013,0.0073
84,50,-22293.68600534,0.0011,0.0064
85,51,-22293.68704323,0.001,0.012
86,52,-22293.68773507,0.00069,0.0085
87,53,-22293.68819718,0.00046,0.005
88,54,-22293.68866342,0.00047,0.0042
89,55,-22293.68888502,0.00022,0.0055
90,56,-22293.6892412,0.00036,0.0056
91,57,-22293.68960574,0.00036,0.0039
92,58,-22293.68995831,0.00035,0.0038
93,59,-22293.69027813,0.00032,0.0039
94,60,-22293.69063537,0.00036,0.0037
95,61,-22293.69110196,0.00047,0.004
96,62,-22293.69154177,0.00044,0.0037
97,63,-22293.69180404,0.00026,0.0028
98,64,-22293.69211398,0.00031,0.0027
99,65,-22293.69240873,0.00029,0.0044
100,66,-22293.69279257,0.00038,0.005
101,67,-22293.69322612,0.00043,0.0042
102,68,-22293.69359699,0.00037,0.0032
103,69,-22293.69393103,0.00033,0.0027
104,70,-22293.6942767,0.00035,0.0029
105,71,-22293.69463739,0.00036,0.0041
106,72,-22293.69498292,0.00035,0.0035
107,73,-22293.69531427,0.00033,0.0022
108,74,-22293.69559721,0.00028,0.003
109,75,-22293.69586131,0.00026,0.0037
110,76,-22293.6961731,0.00031,0.0032
111,77,-22293.69649756,0.00032,0.003
112,78,-22293.6967357,0.00024,0.0021
113,79,-22293.69686611,0.00013,0.0018
114,80,-22293.69699846,0.00013,0.0016
115,81,-22293.69711315,0.00011,0.0017
116,82,-22293.69724639,0.00013,0.0015
117,83,-22293.69736301,0.00012,0.0016
118,84,-22293.69745243,8.9e-05,0.0019
119,85,-22293.69754757,9.5e-05,0.0016
120,86,-22293.69762289,7.5e-05,0.0017
121,87,-22293.69769666,7.4e-05,0.0014
122,88,-22293.69774379,4.7e-05,0.0011
123,89,-22293.69777667,3.3e-05,0.00098
