energy,energy_error,gradient_error
-22293.63143875,0.0,0.0082
-22293.63243073,0.00099,0.0077
-22293.63355858,0.0011,0.0062
-22293.63494406,0.0014,0.0069
-22293.63649732,0.0016,0.0071
-22293.63779859,0.0013,0.0096
-22293.63859059,0.00079,0.0088
-22293.63967537,0.0011,0.0065
-22293.64083065,0.0012,0.0077
-22293.64146223,0.00063,0.0076
-22293.64213159,0.00067,0.0074
-22293.64302834,0.0009,0.0079
-22293.64375379,0.00073,0.0089
-22293.64422723,0.00047,0.0075
-22293.64482165,0.00059,0.0071
-22293.64555095,0.00073,0.0079
-22293.64640971,0.00086,0.0066
-22293.64695974,0.00055,0.0055
-22293.64721284,0.00025,0.0045
-22293.64756787,0.00036,0.0049
-22293.64799214,0.00042,0.0055
-22293.64855061,0.00056,0.0074
-22293.6490195,0.00047,0.0053
-22293.64944038,0.00042,0.0032
-22293.64991273,0.00047,0.0049
-22293.65039361,0.00048,0.0067
-22293.65124862,0.00086,0.0083
-22293.65220914,0.00096,0.0079
-22293.65314037,0.00093,0.0061
-22293.65405903,0.00092,0.0068
-22293.65523356,0.0012,0.0091
-22293.6562992,0.0011,0.01
-22293.65792263,0.0016,0.01
-22293.65877389,0.00085,0.0057
-22293.65974453,0.00097,0.0059
-22293.66063668,0.00089,0.0082
-22293.66174442,0.0011,0.011
-22293.66313066,0.0014,0.0097
-22293.66470026,0.0016,0.0092
-22293.66640184,0.0017,0.013
-22293.66866749,0.0023,0.012
-22293.67129934,0.0026,0.014
-22293.673501,0.0022,0.0098
-22293.67553302,0.002,0.011
-22293.67701467,0.0015,0.011
-22293.67862951,0.0016,0.0089
-22293.68032121,0.0017,0.0098
-22293.68193776,0.0016,0.013
-22293.68358679,0.0016,0.0093
-22293.68489314,0.0013,0.0073
-22293.68600534,0.0011,0.0064
-22293.68704323,0.001,0.012
-22293.68773507,0.00069,0.0085
-22293.68819718,0.00046,0.005
-22293.68866342,0.00047,0.0042
-22293.68888502,0.00022,0.0055
-22293.6892412,0.00036,0.0056
-22293.68960574,0.00036,0.0039
-22293.68995831,0.00035,0.0038
-22293.69027813,0.00032,0.0039
-22293.69063537,0.00036,0.0037
-22293.69110196,0.00047,0.004
-22293.69154177,0.00044,0.0037
-22293.69180404,0.00026,0.0028
-22293.69211398,0.00031,0.0027
-22293.69240873,0.00029,0.0044
-22293.69279257,0.00038,0.005
-22293.69322612,0.00043,0.0042
-22293.69359699,0.00037,0.0032
-22293.69393103,0.00033,0.0027
-22293.6942767,0.00035,0.0029
-22293.69463739,0.00036,0.0041
-22293.69498292,0.00035,0.0035
-22293.69531427,0.00033,0.0022
-22293.69559721,0.00028,0.003
-22293.69586131,0.00026,0.0037
-22293.6961731,0.00031,0.0032
-22293.69649756,0.00032,0.003
-22293.6967357,0.00024,0.0021
-22293.69686611,0.00013,0.0018
-22293.69699846,0.00013,0.0016
-22293.69711315,0.00011,0.0017
-22293.69724639,0.00013,0.0015
-22293.69736301,0.00012,0.0016
-22293.69745243,8.9e-05,0.0019
-22293.69754757,9.5e-05,0.0016
-22293.69762289,7.5e-05,0.0017
-22293.69769666,7.4e-05,0.0014
-22293.69774379,4.7e-05,0.0011
-22293.69777667,3.3e-05,0.00098
