energy,energy_error,gradient_error
-22314.84118711,0.0,0.0085
-22314.84132995,0.00014,0.0071
-22314.84155879,0.00023,0.0066
-22314.84179429,0.00024,0.0066
-22314.8421278,0.00033,0.0071
-22314.84257577,0.00045,0.0074
-22314.84313457,0.00056,0.0076
-22314.84371621,0.00058,0.0064
-22314.84409639,0.00038,0.0046
-22314.84439565,0.0003,0.0048
-22314.84489098,0.0005,0.0062
-22314.84573087,0.00084,0.0088
-22314.84620433,0.00047,0.011
-22314.84700991,0.00081,0.0072
-22314.84797616,0.00097,0.0089
-22314.84872532,0.00075,0.0078
-22314.8491433,0.00042,0.0064
-22314.84949798,0.00035,0.0041
-22314.84985349,0.00036,0.004
-22314.85012384,0.00027,0.0058
-22314.85039097,0.00027,0.0049
-22314.85065877,0.00027,0.0041
-22314.85098562,0.00033,0.0044
-22314.85119448,0.00021,0.005
-22314.85134452,0.00015,0.0036
-22314.85152,0.00018,0.004
-22314.85168327,0.00016,0.0046
-22314.85187387,0.00019,0.0037
-22314.85210617,0.00023,0.003
-22314.85233315,0.00023,0.0053
-22314.85256086,0.00023,0.0055
-22314.85294707,0.00039,0.0045
-22314.85330256,0.00036,0.0038
-22314.8534215,0.00012,0.0064
-22314.85358693,0.00017,0.003
-22314.85371162,0.00012,0.0032
-22314.85377131,6e-05,0.0031
-22314.85386536,9.4e-05,0.0022
-22314.85395946,9.4e-05,0.0018
-22314.85400611,4.7e-05,0.0016
-22314.8540347,2.9e-05,0.0013
-22314.85406667,3.2e-05,0.0013
-22314.85411568,4.9e-05,0.0012
-22314.85418874,7.3e-05,0.0018
-22314.85425913,7e-05,0.0021
-22314.85430575,4.7e-05,0.0018
