energy,energy_error,gradient_error
-22315.02415897,0.0,0.0012
-22315.0241676,8.6e-06,0.0013
-22315.02417847,1.1e-05,0.00087
-22315.0241878,9.3e-06,0.00079
-22315.02420007,1.2e-05,0.00079
-22315.02421577,1.6e-05,0.00086
-22315.02423548,2e-05,0.001
-22315.02425899,2.4e-05,0.0012
-22315.02428373,2.5e-05,0.0011
-22315.02430402,2e-05,0.0017
-22315.02432454,2.1e-05,0.0011
-22315.02434433,2e-05,0.00091
-22315.02437518,3.1e-05,0.00088
-22315.02439288,1.8e-05,0.001
-22315.02440661,1.4e-05,0.001
-22315.02443108,2.4e-05,0.00097
-22315.02446671,3.6e-05,0.00093
-22315.02449872,3.2e-05,0.0014
-22315.02452646,2.8e-05,0.0012
-22315.02456579,3.9e-05,0.001
-22315.02460583,4e-05,0.00092
-22315.02463074,2.5e-05,0.00094
-22315.02464825,1.8e-05,0.0011
-22315.02467059,2.2e-05,0.00099
-22315.02468589,1.5e-05,0.00067
-22315.02469688,1.1e-05,0.00072
-22315.02470538,8.5e-06,0.00066
-22315.02471462,9.2e-06,0.00062
-22315.02472408,9.5e-06,0.00056
-22315.02473679,1.3e-05,0.00052
-22315.02475577,1.9e-05,0.00067
-22315.0247668,1.1e-05,0.00071
-22315.02477922,1.2e-05,0.00059
-22315.02479294,1.4e-05,0.00051
-22315.02480498,1.2e-05,0.00054
-22315.02481281,7.8e-06,0.00066
-22315.0248168,4e-06,0.00066
-22315.02482669,9.9e-06,0.00056
-22315.02483382,7.1e-06,0.00067
-22315.02484126,7.4e-06,0.00079
