,index,energy,energy_error,gradient_error
0,0,-22314.65550683,0.0,0.009
1,1,-22314.65556898,6.2e-05,0.008
2,2,-22314.65565046,8.1e-05,0.0046
3,3,-22314.65571345,6.3e-05,0.0042
4,4,-22314.65579081,7.7e-05,0.0037
5,5,-22314.65588526,9.4e-05,0.0034
6,6,-22314.65598534,0.0001,0.0033
7,7,-22314.65605438,6.9e-05,0.0027
8,8,-22314.65607561,2.1e-05,0.0021
9,9,-22314.656099,2.3e-05,0.0019
10,10,-22314.65612666,2.8e-05,0.0012
11,11,-22314.6561343,7.6e-06,0.0013
12,12,-22314.6561431,8.8e-06,0.001
13,13,-22314.65615333,1e-05,0.00059
