energy,energy_error,gradient_error
-22314.6495167,0.0,0.0065
-22314.65013997,0.00062,0.0064
-22314.65075983,0.00062,0.0059
-22314.65162832,0.00087,0.0054
-22314.65279604,0.0012,0.005
-22314.65425321,0.0015,0.0042
-22314.65585973,0.0016,0.0047
-22314.65709301,0.0012,0.0059
-22314.65732533,0.00023,0.0084
-22314.65750021,0.00017,0.0034
-22314.65771371,0.00021,0.0067
-22314.65798569,0.00027,0.009
-22314.65815744,0.00017,0.0057
-22314.65822095,6.4e-05,0.0019
-22314.65828742,6.6e-05,0.0037
-22314.65834218,5.5e-05,0.0045
-22314.65842454,8.2e-05,0.0048
-22314.65853837,0.00011,0.0046
-22314.65867673,0.00014,0.0044
-22314.65882914,0.00015,0.0037
-22314.65896662,0.00014,0.0031
-22314.65901784,5.1e-05,0.0027
-22314.65905024,3.2e-05,0.002
-22314.65910006,5e-05,0.0016
-22314.65914529,4.5e-05,0.0016
-22314.6592037,5.8e-05,0.0028
-22314.65927728,7.4e-05,0.0028
-22314.65936009,8.3e-05,0.0033
-22314.65949612,0.00014,0.0038
-22314.65968927,0.00019,0.0057
-22314.65988316,0.00019,0.0095
-22314.66011224,0.00023,0.0082
-22314.66041498,0.0003,0.0065
-22314.66078436,0.00037,0.0046
-22314.66110654,0.00032,0.0047
-22314.66118262,7.6e-05,0.0032
-22314.66140408,0.00022,0.0036
-22314.66158041,0.00018,0.0033
