,index,energy,energy_error,gradient_error
0,0,-22314.43983674,0.0,0.01
1,1,-22314.43997724,0.00014,0.01
2,2,-22314.44027937,0.0003,0.0083
3,3,-22314.44057496,0.0003,0.009
4,4,-22314.44099779,0.00042,0.0095
5,5,-22314.44143471,0.00044,0.0087
6,6,-22314.44213289,0.0007,0.0082
7,7,-22314.44284621,0.00071,0.02
8,8,-22314.44347982,0.00063,0.031
9,9,-22314.44425543,0.00078,0.027
10,10,-22314.44536446,0.0011,0.019
11,11,-22314.44652353,0.0012,0.008
12,12,-22314.44737063,0.00085,0.011
13,13,-22314.44788564,0.00052,0.013
14,14,-22314.44854404,0.00066,0.019
15,15,-22314.44886546,0.00032,0.012
16,16,-22314.4497481,0.00088,0.0089
17,17,-22314.45014734,0.0004,0.0052
18,18,-22314.45058485,0.00044,0.0056
19,19,-22314.45100334,0.00042,0.0061
20,20,-22314.45155281,0.00055,0.011
21,21,-22314.45208349,0.00053,0.011
22,0,-22314.45271331,0.0,0.0088
23,1,-22314.45291217,0.0002,0.0085
24,2,-22314.45319397,0.00028,0.0073
25,3,-22314.453397,0.0002,0.0036
26,4,-22314.4536086,0.00021,0.0031
27,5,-22314.45383408,0.00023,0.0042
28,6,-22314.45405663,0.00022,0.0055
29,7,-22314.45426016,0.0002,0.0052
30,8,-22314.45449985,0.00024,0.0045
31,9,-22314.45484393,0.00034,0.0041
32,10,-22314.45511382,0.00027,0.005
33,11,-22314.45531621,0.0002,0.0046
34,12,-22314.4555743,0.00026,0.0043
35,13,-22314.45592161,0.00035,0.0049
36,14,-22314.45622362,0.0003,0.0052
37,15,-22314.4566087,0.00039,0.0049
38,16,-22314.45713724,0.00053,0.0054
39,17,-22314.45777442,0.00064,0.0069
40,18,-22314.45840599,0.00063,0.0079
41,19,-22314.45879887,0.00039,0.0069
42,20,-22314.45944133,0.00064,0.0061
43,21,-22314.46017681,0.00074,0.0074
44,22,-22314.46089706,0.00072,0.0087
45,23,-22314.46144057,0.00054,0.0084
46,24,-22314.46220107,0.00076,0.0055
47,25,-22314.46261463,0.00041,0.007
48,26,-22314.46300099,0.00039,0.0075
49,27,-22314.46342864,0.00043,0.0061
50,28,-22314.46377409,0.00035,0.0035
51,29,-22314.4640426,0.00027,0.0035
52,30,-22314.46431558,0.00027,0.0041
53,31,-22314.46461847,0.0003,0.0049
54,32,-22314.46490613,0.00029,0.0032
55,33,-22314.46511046,0.0002,0.0031
56,34,-22314.46528401,0.00017,0.0024
57,35,-22314.46547032,0.00019,0.0036
58,36,-22314.46565616,0.00019,0.0027
59,37,-22314.46583916,0.00018,0.0042
60,38,-22314.46599402,0.00015,0.0047
61,39,-22314.4661812,0.00019,0.0039
62,40,-22314.46637513,0.00019,0.0032
63,41,-22314.46663941,0.00026,0.0045
64,42,-22314.46694386,0.0003,0.0042
65,43,-22314.46720615,0.00026,0.0032
66,44,-22314.46752015,0.00031,0.0035
67,45,-22314.46779885,0.00028,0.003
68,46,-22314.46813294,0.00033,0.004
69,47,-22314.46843598,0.0003,0.0039
