,index,energy,energy_error,gradient_error
0,0,-22310.28569535,0.0,0.14
1,1,-22310.32785548,0.042,0.13
2,2,-22310.34699548,0.019,0.06
3,3,-22310.36449236,0.017,0.061
4,4,-22310.37795679,0.013,0.047
5,5,-22310.3833144,0.0054,0.019
6,6,-22310.38588625,0.0026,0.016
7,7,-22310.38808196,0.0022,0.015
8,8,-22310.39085592,0.0028,0.014
9,9,-22310.39403804,0.0032,0.016
10,10,-22310.39679612,0.0028,0.021
11,0,-22310.41952036,0.0,0.018
12,1,-22310.42076639,0.0012,0.013
13,2,-22310.42194025,0.0012,0.0095
14,3,-22310.42323496,0.0013,0.0063
15,4,-22310.42430749,0.0011,0.0095
16,5,-22310.42474691,0.00044,0.0087
17,6,-22310.42534593,0.0006,0.0067
18,7,-22310.42570979,0.00036,0.0059
19,8,-22310.42595059,0.00024,0.006
20,9,-22310.42627372,0.00032,0.005
21,10,-22310.42658642,0.00031,0.0045
22,11,-22310.42693604,0.00035,0.0051
23,12,-22310.42718971,0.00025,0.0047
24,13,-22310.427391,0.0002,0.0053
