,index,energy,energy_error,gradient_error
0,0,-22310.30250899,0.0,0.15
1,1,-22310.34083465,0.038,0.11
2,2,-22310.35694271,0.016,0.058
3,3,-22310.37370972,0.017,0.055
4,4,-22310.38739978,0.014,0.041
5,5,-22310.39243755,0.005,0.017
6,6,-22310.39508066,0.0026,0.014
7,7,-22310.3972828,0.0022,0.014
8,8,-22310.40013428,0.0029,0.015
9,9,-22310.40344018,0.0033,0.02
10,10,-22310.40655566,0.0031,0.026
11,11,-22310.40851143,0.002,0.019
12,12,-22310.41079487,0.0023,0.011
13,13,-22310.41229018,0.0015,0.012
14,14,-22310.41325002,0.00096,0.011
15,15,-22310.41481698,0.0016,0.012
16,16,-22310.41618989,0.0014,0.016
17,17,-22310.41698158,0.00079,0.0095
18,18,-22310.41755924,0.00058,0.01
19,19,-22310.41803554,0.00048,0.0089
20,20,-22310.41847548,0.00044,0.0076
21,21,-22310.41892452,0.00045,0.0054
22,22,-22310.41923983,0.00032,0.0049
23,23,-22310.41957838,0.00034,0.0062
24,24,-22310.41992569,0.00035,0.0058
25,25,-22310.42036288,0.00044,0.005
26,26,-22310.42086023,0.0005,0.0077
27,27,-22310.42137955,0.00052,0.0088
28,28,-22310.42193275,0.00055,0.01
29,29,-22310.42274763,0.00081,0.012
30,30,-22310.42379316,0.001,0.012
31,0,-22310.42112261,0.0,0.0076
32,1,-22310.42190149,0.00078,0.0076
33,2,-22310.42273865,0.00084,0.0072
34,3,-22310.42379157,0.0011,0.007
35,4,-22310.42511455,0.0013,0.0066
36,5,-22310.42671078,0.0016,0.0068
37,6,-22310.42849872,0.0018,0.0095
38,7,-22310.43013738,0.0016,0.014
39,8,-22310.43118631,0.001,0.015
40,9,-22310.43271694,0.0015,0.0081
41,10,-22310.43522438,0.0025,0.0081
42,11,-22310.43638084,0.0012,0.014
43,12,-22310.43754136,0.0012,0.011
44,13,-22310.43922379,0.0017,0.0086
